tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
cyclonedx-go,https://github.com/tap8stry/orion,https://github.com/tap8stry/orion,2021-11-09T14:14:29Z,230,12,68,10,0,29,6,186,2,257,909,SPDX
bom,https://github.com/syspack/pakages,https://github.com/syspack/pakages,2022-05-13T23:45:30Z,2,3,1,,0,2,0,0,0,0,2,SPDX
bom,https://github.com/syself/cluster-api-provider-hetzner,https://github.com/syself/cluster-api-provider-hetzner,2021-08-25T11:32:07Z,9,3,3,,0,19,0,0,74,53,909,SPDX
syft,https://github.com/synapsecns/sanguine,https://github.com/synapsecns/sanguine,2022-05-24T08:16:06Z,3,3,3,4,0,3,2,6,5,20,111,SPDX
tools-golang,https://github.com/swinslow/kernel-spdx-ids,https://github.com/swinslow/spdx-oin,2018-12-09T23:15:32Z,8,9,12,,0,6,1,0,0,35,139,SPDX
tools-golang,https://github.com/swinslow/cncf-exceptions-maker,https://github.com/swinslow/cncf-exceptions-maker,2019-11-01T17:16:44Z,11,3,6,5,0,4,2,23,0,91,73,SPDX
cyclonedx-python,https://github.com/supakeen/pinnwand,https://github.com/supakeen/pinnwand,2019-02-20T16:52:16Z,92,11,41,,0,9,9,23,0,38,81,SPDX
build-info-go,https://github.com/sublimelsp/LSP-json,https://github.com/sublimelsp/LSP-json,2019-03-10T23:45:34Z,3,2,25,,0,7,0,0,0,687,812,SPDX
bom,https://github.com/spidernet-io/spiderpool,https://github.com/spidernet-io/spiderpool,2022-03-07T03:45:43Z,270,9,53,,1,38,58,64,19,578,"1,502",SPDX
bom,https://github.com/spidernet-io/spiderdoctor,https://github.com/spidernet-io/spiderdoctor,2022-11-11T03:27:17Z,2,2,3,,0,,0,0,0,0,54,SPDX
bom,https://github.com/spidernet-io/rocktemplate,https://github.com/spidernet-io/rocktemplate,2022-10-12T13:24:15Z,2,9,0,,0,,0,0,0,0,3,SPDX
bom,https://github.com/spidernet-io/egressgateway,https://github.com/spidernet-io/egressgateway,2022-10-24T07:14:58Z,0,1,0,,0,677,0,0,1,0,"29,100",SPDX
Spdx-Java-Library,https://github.com/spdx/tools-java,https://github.com/spdx/tools-java,2020-01-06T18:02:19Z,7,2,0,4,0,3,1,0,0,0,55,SPDX
Spdx-Java-Library,https://github.com/spdx/tools-golang,https://github.com/spdx/tools-golang,2019-01-10T21:31:26Z,13,7,4,,,6,1,2,2,3,11,SPDX
spdx-maven-plugin,https://github.com/spdx/tools,https://github.com/spdx/tools,2015-03-23T21:46:19Z,2,6,1,,0,235,1,0,7,7,"4,879",SPDX
tools-java,https://github.com/spdx/spdx-to-osv,https://github.com/spdx/spdx-to-osv,2021-09-29T18:40:04Z,2,5,2,,0,259,0,0,3,21,"5,808",SPDX
Spdx-Java-Library,https://github.com/spdx/spdx-testbed,https://github.com/spdx/spdx-testbed,2022-09-08T14:28:31Z,4,57,0,71,0,16,1,2,2,491,601,SPDX
tools-java,https://github.com/spdx/spdx-online-tools,https://github.com/spdx/spdx-online-tools,2017-05-22T23:58:36Z,0,1,1,3,6,3,5,44,9,267,542,SPDX
