link,type,tool_used,creation_date,language,contributors,openIssues,closedIssues,commits,openPRs,closedPRs,releases,forks,stars,watchers,LOC,size,PL_category,PL_typting
https://github.com/googleapis/google-cloud-go,CycloneDX,swift-package-sbom,2014-05-09T11:11:58Z,Go,391,280,4844,9206,87,1291,1000,1420,4257,267,"{""Go"": 10856586, ""Shell"": 46750, ""Makefile"": 1455, ""Python"": 718, ""Dockerfile"": 3548}",409789.0,GPL,static
https://github.com/zabbix/zabbix,CycloneDX,cyclonedx-gomod,2014-02-27T15:36:03Z,PHP,35,0,0,96321,82,63,0,1048,4899,132,"{""Makefile"": 246894, ""C"": 19396786, ""Shell"": 38874, ""PHP"": 27309539, ""C++"": 134626, ""M4"": 210451, ""Perl"": 52399, ""JavaScript"": 1607807, ""CSS"": 1251838, ""XSLT"": 456}",1843184.0,GPL,dynamic
https://github.com/open-policy-agent/conftest,CycloneDX,cyclonedx-go,2019-03-28T17:12:29Z,Go,100,40,315,1115,5,103,84,314,2969,27,"{""Go"": 288079, ""Dockerfile"": 1763, ""Shell"": 35480, ""Makefile"": 1810, ""Open Policy Agent"": 4665, ""Smarty"": 84}",4415.0,GPL,static
https://github.com/SchemaStore/schemastore,CycloneDX,build-info-go,2014-11-18T01:02:10Z,JavaScript,447,64,574,4334,6,302,0,1855,3345,35,"{""JavaScript"": 62112, ""CSS"": 2370, ""HTML"": 9070, ""Shell"": 153}",32279.0,GPL,dynamic
https://github.com/DataDog/datadog-agent,CycloneDX,cyclonedx-go,2016-01-19T17:40:41Z,Go,383,673,947,26192,597,7151,212,1300,3097,562,"{""Shell"": 201906, ""Go"": 38401869, ""Python"": 1999256, ""C"": 14925583, ""Ruby"": 231037, ""HTML"": 138471, ""C++"": 148019, ""JavaScript"": 401667, ""CSS"": 24370, ""Swift"": 12198}",562513.0,GPL,static
https://github.com/DependencyTrack/dependency-track,CycloneDX,cyclonedx-cli,2013-07-16T19:16:43Z,Java,146,838,1356,6066,47,286,70,626,3031,74,"{""Java"": 5583591, ""Shell"": 3756, ""Dockerfile"": 4100, ""HTML"": 488}",107609.0,GPL,static
https://github.com/oxsecurity/megalinter,CycloneDX,sbom-cli,2020-10-17T08:16:25Z,Dockerfile,122,38,1001,4431,20,662,157,256,2137,14,"{""Python"": 798807, ""Shell"": 18734, ""HTML"": 5072, ""C"": 650, ""Clojure"": 11999, ""CoffeeScript"": 4635, ""C++"": 646, ""C#"": 3345, ""CSS"": 2235, ""Dart"": 172}",819047.0,DSL,
https://github.com/oss-review-toolkit/ort,CycloneDX,pip-audit,2017-10-19T11:59:49Z,Kotlin,101,249,1150,17984,48,585,97,332,1741,38,"{""Shell"": 129127, ""Kotlin"": 5482640, ""Go"": 3849, ""Python"": 51191, ""Ruby"": 10138, ""JavaScript"": 333175, ""CSS"": 10260, ""HTML"": 98970, ""Dockerfile"": 20855, ""Rust"": 280}",145847.0,GPL,static
https://github.com/oracle/tribuo,CycloneDX,cyclonedx-maven-plugin,2020-06-16T09:59:48Z,Java,19,27,101,299,6,16,11,186,1321,57,"{""Java"": 6539160, ""Shell"": 7458, ""Python"": 24891, ""Jupyter Notebook"": 611285}",10047.0,GPL,static
https://github.com/dynobo/normcap,CycloneDX,cyclonedx-python,2019-08-14T18:07:03Z,Python,22,56,185,1779,0,45,56,100,2149,14,"{""Python"": 754195}",152311.0,GPL,dynamic
https://github.com/lkarlslund/Adalanche,CycloneDX,cyclonedx-gomod,2020-10-07T10:07:22Z,Go,1,1,36,777,0,6,18,187,1922,27,"{""Go"": 680223, ""JavaScript"": 88594, ""HTML"": 27847, ""CSS"": 6590, ""PowerShell"": 2815}",12683.0,GPL,static
https://github.com/ScoopInstaller/Main,CycloneDX,ko-build/ko,2019-01-31T07:05:24Z,PowerShell,424,88,3383,61181,62,605,0,1030,1693,35,"{""PowerShell"": 2951}",38149.0,DSL,
https://github.com/mattn/vim-lsp-settings,CycloneDX,build-info-go,2019-12-14T11:58:55Z,Vim Script,179,80,144,1350,8,25,1,240,1347,18,"{""Batchfile"": 30454, ""Shell"": 39785, ""Makefile"": 356, ""Vim Script"": 223557}",1483.0,DSL,
https://github.com/openclarity/kubeclarity,CycloneDX,cyclonedx-gomod,2024-08-10T14:13:46Z,Go,36,16,125,352,0,519,75,5,39,0,"{""Shell"": 1564, ""JavaScript"": 244771, ""Go"": 1007505, ""Makefile"": 10202, ""HTML"": 1505, ""SCSS"": 62120, ""Mustache"": 3572}",7826.0,GPL,static
