tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
sbom-tool,https://github.com/anderlli0053/AppArchive,2023-06-10T10:45:29Z,,3,1,0,,,,0,1,0,0,6,SPDX
ko-build/ko,https://github.com/anderlli0053/DEV-tools,2022-06-28T08:20:49Z,,70,7,15,,,10,9,155,0,26,"66,959",CycloneDX
tools-golang,https://github.com/AOSP-14-RMX2020/platform_build,2023-07-29T05:40:08Z,,0,0,0,,0,566,0,0,0,0,"85,319",SPDX
tools-golang,https://github.com/aosp-mirror/platform_build,2008-10-21T18:19:56Z,,420,62,738,,0,513,0,13,0,13,"85,611",SPDX
swift-package-sbom,https://github.com/apache/airflow,2015-04-13T18:04:58Z,,318000,764,129000,70,86,2619,712,7306,169,22884,"21,547",CycloneDX
bom,https://github.com/apache/beam,2016-02-02T08:00:06Z,,72000,259,4000,33,0,1136,4131,1908,123,22474,"40,491",SPDX
cyclonedx-gomod,https://github.com/apache/camel-k,2018-08-31T08:38:42Z,,794,58,321,79,0,107,160,1710,3,2892,"5,920",CycloneDX
cyclonedx-maven-plugin,https://github.com/apache/commons-parent,2017-08-29T07:00:08Z,,24,32,27,,0,26,1,304,1,304,"1,616",CycloneDX
bom,https://github.com/apache/solr-site,2021-02-20T11:54:24Z,,10,27,23,,0,69,2,92,2,92,"1,890",SPDX
swift-package-sbom,https://github.com/appknox/irene,2014-11-04T06:26:08Z,,16,12,10,90,0,21,5,334,20,907,"5,077",CycloneDX
cyclonedx-cli,https://github.com/aquaproj/aqua-registry,2021-09-02T03:49:29Z,,63,1,55,395,0,49,29,543,59,15105,"18,212",CycloneDX
gh-dotnet-generate-sbom,https://github.com/aquasecurity/chain-bench,2022-05-12T09:08:00Z,,661,11,58,11,,15,16,27,0,60,60,CycloneDX
cyclonedx-go,https://github.com/aquasecurity/trivy,2019-04-11T01:01:07Z,,187000,163,19000,126,1,333,157,2055,27,2184,"2,364",CycloneDX
cyclonedx-go,https://github.com/aquasecurity/trivy-operator,2022-05-08T06:31:32Z,,695,8,135,88,1,74,60,386,2,985,925,CycloneDX
pip-audit,https://github.com/aquasecurity/trivy-plugin-referrer,2023-03-26T09:04:33Z,,15,4,5,10,0,5,0,6,0,17,20,CycloneDX
bom,https://github.com/argoproj/argo-cd,2018-02-09T11:12:01Z,,142000,192,42000,323,1,1113,2612,4061,375,7055,"5,887",SPDX
bom,https://github.com/argoproj/argo-events,2018-05-17T15:06:49Z,,21000,35,684,64,0,250,112,855,5,1680,"1,452",SPDX
bom,https://github.com/argoproj/argo-rollouts,2018-11-17T18:28:39Z,,22000,35,684,61,2,218,272,752,45,1741,"1,447",SPDX
bom,https://github.com/argoproj/argo-workflows,2017-08-21T18:50:44Z,,135000,202,29000,267,1,770,851,4504,46,5488,"4,724",SPDX
ort,https://github.com/aws-containers/retail-store-sample-app,2022-10-04T16:30:46Z,,121,5,128,5,,12,16,10,12,298,429,SPDX
cyclonedx-python,https://github.com/aws-samples/cdk-fargate-gitlab-runner,2021-10-22T12:24:42Z,,27,4,13,,0,4,2,7,5,14,9,CycloneDX
bom,https://github.com/axenox/PackageManager,2015-11-08T12:24:02Z,,2,5,3,2,0,3,0,0,1,21,459,SPDX
sbom-tool,https://github.com/Azure/azure-functions-dapr-extension,2020-04-02T21:13:42Z,,79,18,25,6,0,16,15,28,1,109,206,SPDX
tools-golang,https://github.com/Azure/obom,2023-07-14T19:06:54Z,,4,3,3,4,0,6,0,1,0,13,64,SPDX
spdx-maven-plugin,https://github.com/BabelZilla/WTS,2014-06-11T21:02:38Z,,9,6,9,,0,3,1,1,0,6,34,SPDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-beslab,2023-08-08T05:53:57Z,,0,2,1,,0,,0,0,0,1,2,SPDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-sbomGenerator,2022-09-08T15:52:46Z,,0,1,2,,0,2,0,0,0,2,2,SPDX
sbom-tool,https://github.com/Be-Secure/BeS-dev-kit,2023-03-14T08:42:46Z,,0,2,5,6,0,4,4,15,0,34,79,SPDX
spdx-sbomgenerator,https://github.com/Be-Secure/besecure-ce-env-repo,2021-03-17T06:53:45Z,,1,3,15,2,0,8,2,1,1,15,94,SPDX
spdx-sbomgenerator,https://github.com/Be-Secure/BeSLab,2023-05-04T07:12:45Z,,1,2,3,1,0,5,0,0,0,3,47,SPDX
cyclonedx-python,https://github.com/benji6/moodtracker,2020-04-07T07:22:55Z,,38,6,6,,0,3,1,2,0,258,"1,401",CycloneDX
bom,https://github.com/bespoke-silicon-group/bsg_motherboards,2020-06-19T23:18:56Z,,5,7,0,,0,2,3,4,0,2,129,SPDX
cyclonedx-python,https://github.com/bmwiedemann/openSUSE,2019-09-11T14:31:22Z,,29,7,8,,0,,0,0,0,0,"116,540",CycloneDX
cyclonedx-go,https://github.com/bom-squad/protobom,2023-06-04T20:11:52Z,,71,5,15,1,0,11,20,22,2,67,304,CycloneDX
