link,type
https://github.com/freebsd/freebsd-ports-kde,CycloneDX
https://github.com/patriksvensson/covenant,CycloneDX
https://github.com/jfrog/build-info-go,CycloneDX
https://github.com/CycloneDX/cyclonedx-go,CycloneDX
https://github.com/davideshay/vulnscan,CycloneDX
https://github.com/pmckeown/dependency-track-maven-plugin,CycloneDX
https://github.com/wso2/security-tools,CycloneDX
https://github.com/gokrazy/tools,CycloneDX
https://github.com/istio/release-builder,CycloneDX
https://github.com/okibcn/ScoopMaster,CycloneDX
https://github.com/salaboy/platforms-on-k8s,CycloneDX
https://github.com/noironetworks/aci-containers,CycloneDX
https://github.com/CycloneDX/sbom-utility,CycloneDX
https://github.com/paketo-buildpacks/packit,CycloneDX
https://github.com/puzzle/skills,CycloneDX
https://github.com/benji6/moodtracker,CycloneDX
https://github.com/pypi-data/pypi-json-data,CycloneDX
https://github.com/chainguard-dev/bom-shelter,CycloneDX
https://github.com/paralax/ObsidianSailboat,CycloneDX
https://github.com/oracle/dbt-oracle,CycloneDX
https://github.com/rmkanda/secure-pipeline-java-demo,CycloneDX
https://github.com/MO-Movia/licit,CycloneDX
https://github.com/ko-build/setup-ko,CycloneDX
https://github.com/cncf/devstats,CycloneDX
https://github.com/volution/z-run,CycloneDX
https://github.com/fla-sil/PyTorrent,CycloneDX
https://github.com/groboclown/p4ic4idea,CycloneDX
https://github.com/abilian/nua,CycloneDX
https://github.com/bmwiedemann/openSUSE,CycloneDX
https://github.com/jfrog/jfrog-cli-core,CycloneDX
https://github.com/wulfland/AccelerateDevOps,CycloneDX
https://github.com/ghostbsd/ghostbsd-ports,CycloneDX
https://github.com/mrtazz/dotfiles,CycloneDX
https://github.com/DependencyTrack/hyades,CycloneDX
https://github.com/aws-samples/cdk-fargate-gitlab-runner,CycloneDX
https://github.com/opensourceways/sbom-tools,CycloneDX
https://github.com/sonatype-nexus-community/cargo-pants,CycloneDX
https://github.com/codepraxis-io/docker-deep-dive,CycloneDX
https://github.com/HumbleData/beginners-data-workshop,CycloneDX
https://github.com/algorandfoundation/algorun,CycloneDX
https://github.com/docker/packaging,CycloneDX
https://github.com/intelops/kubviz,CycloneDX
https://github.com/nscuro/traefik-plugin-geoblock,CycloneDX
https://github.com/apache/commons-parent,CycloneDX
https://github.com/buildpacks/libcnb,CycloneDX
https://github.com/luismayta/dotfiles,CycloneDX
https://github.com/CycloneDX/license-scanner,CycloneDX
https://github.com/ko-build/terraform-provider-ko,CycloneDX
https://github.com/WarnerMedia/artemis,CycloneDX
https://github.com/interlynk-io/sbomasm,CycloneDX
https://github.com/Lee-W/cookiecutter-python-template,CycloneDX
https://github.com/duosecurity/duo_client_java,CycloneDX
https://github.com/freenowtech/sauron,CycloneDX
https://github.com/carstencodes/pdm-bump,CycloneDX
https://github.com/volution/z-scratchpad,CycloneDX
https://github.com/DotPurpleApp/DotPurple-App,CycloneDX
https://github.com/scanoss/scanoss.py,CycloneDX
https://github.com/mlieberman85/supply-chain-examples,CycloneDX
https://github.com/planetmint/planetmint,CycloneDX
https://github.com/FraunhoferISST/diva,CycloneDX
https://github.com/sfermigier/tentakel,CycloneDX
https://github.com/duosecurity/duo_universal_python,CycloneDX
https://github.com/Mixeway/MixewayScanner,CycloneDX
https://github.com/oracle/nosql-java-sdk,CycloneDX
https://github.com/tap8stry/orion,CycloneDX
https://github.com/AlbanAndrieu/ansible-jenkins-slave,CycloneDX
https://github.com/conan-io/conan-extensions,CycloneDX
https://github.com/kyverno/policy-reporter-ui,CycloneDX
https://github.com/oracle/okafka,CycloneDX
https://github.com/nscuro/dtapac,CycloneDX
https://github.com/CycloneDX/cyclonedx-web-tool,CycloneDX
https://github.com/NC3-LU/Fit4Cybersecurity,CycloneDX
https://github.com/gromgit/homebrew-core-mojave,CycloneDX
https://github.com/RiverSafeUK/eze-cli,CycloneDX
https://github.com/Quobis/action-owasp-dependecy-track-check,CycloneDX
https://github.com/remcohaszing/vscode-schemastore,CycloneDX
https://github.com/appknox/irene,CycloneDX
https://github.com/john-sandall/python-productivity-powerups,CycloneDX
https://github.com/jetstack/tally,CycloneDX
https://github.com/cedricbonhomme/freshermeat,CycloneDX
https://github.com/kubernetes-sigs/release-utils,CycloneDX
https://github.com/aquasecurity/trivy-plugin-referrer,CycloneDX
https://github.com/ciaranmccormick/python-bods-client,CycloneDX
https://github.com/duo-labs/narrow,CycloneDX
https://github.com/trustification/trustification,CycloneDX
https://github.com/nodeshift/faas-js-runtime,CycloneDX
https://github.com/oss-compass/compass-web,CycloneDX
https://github.com/eclipse-leda/leda-distro,CycloneDX
https://github.com/planetmint/planetmint-driver-python,CycloneDX
https://github.com/on-nix/pkgs,CycloneDX
https://github.com/jfrog/jfrog-cli-plugins,CycloneDX
https://github.com/algorand-devrel/beaker-auction,CycloneDX
https://github.com/nicholasdille/docker-setup,CycloneDX
https://github.com/hboutemy/mcmm-yaml,CycloneDX
https://github.com/FrodeHus/ludvig,CycloneDX
https://github.com/siemens/continuous-clearing,CycloneDX
https://github.com/xhcoding/.emacs.d,CycloneDX
https://github.com/madpah/vexy,CycloneDX
https://github.com/opnfv/releng,CycloneDX
https://github.com/devops-kung-fu/lucha,CycloneDX
https://github.com/JetBrains/kotlin,SPDX
https://github.com/NervJS/taro,SPDX
https://github.com/gitlabhq/gitlabhq,SPDX
https://github.com/cilium/cilium,SPDX
https://github.com/GoogleContainerTools/distroless,SPDX
https://github.com/argoproj/argo-cd,SPDX
https://github.com/argoproj/argo-workflows,SPDX
https://github.com/kubernetes/community,SPDX
https://github.com/microsoft/winget-pkgs,SPDX
https://github.com/apache/beam,SPDX
https://github.com/moby/buildkit,SPDX
