tool_used,CommitCountPerDay,ContributorCountPerDay,DependencyCount
Spdx-Java-Library,0.65320013101231,0.02845338120365409,4
action-owasp-dependecy-track-check,0.0006263701847792045,0.00031318509238960227,1
bom,1805.9799722968762,33.374086216512524,118
build-info-go,122.91336251937373,1.2584640684370827,79
cyclonedx-cli,104.89878670107699,0.903621545921025,90
cyclonedx-conan,0.010067114093959731,0.003355704697986577,1
cyclonedx-dotnet,2.4944194722445125,0.31319120666783296,10
cyclonedx-dotnet-library,4.063782141796638,0.09562312620542272,13
cyclonedx-editor-validator,0.9027881065634435,0.014903138802286343,3
cyclonedx-go,74.80174093359285,5.5095668215329345,61
cyclonedx-gomod,217.01236941619965,0.742185876065469,55
cyclonedx-gradle-plugin,10.678677282335446,0.21654957085268756,23
cyclonedx-maven-plugin,38.74977435324984,0.6690155714944191,91
cyclonedx-node-module,0.6397450880064133,0.010420454666178232,4
cyclonedx-node-npm,185.39020627696127,1.3229046257574806,56
cyclonedx-php-composer,32.402670742388295,0.14427013931493007,24
cyclonedx-python,3437.4498305560187,1.1199641171579173,229
cyclonedx-python-lib,8266.739586932375,22.893435200993054,125
cyclonedx-ruby-gem,26.678132743069828,0.02439978952855979,10
cyclonedx-rust-cargo,0.5354523227383863,0.02444987775061125,1
cyclonedx-webpack-plugin,10.910424774999722,0.2686193413032854,25
distro2SBOM,0.13654618473895583,0.004016064257028112,1
dtrack-audit,5.247502885380366,0.04809116681420392,3
gh-dotnet-generate-sbom,3.4070506559659712,0.06927826621893748,8
gh-sbom,25.86387291847509,0.021481610295456165,4
ko-build/ko,326.9715827820555,3.537874513212064,64
ort,15.921667381628204,0.25203984131366713,41
pip-audit,8.25662035690889,0.0916730100014753,8
protobom,0.17272727272727273,0.0030303030303030303,1
rebar3_sbom,5.193879990437485,0.02916567057136027,1
sbom-cli,448.2749995242087,2.350441714992037,26
sbom-cli-plugin,7.541341959052638,0.113863230921313,10
sbom-tool,146.2049708568791,2.6699971555595363,42
sbom4files,51.72316127864695,1.301337099771688,14
spdx-maven-plugin,61.40919292039788,0.592636642355739,22
spdx-sbomgenerator,3.8513586334702556,0.07289816416135515,9
swift-package-sbom,18.12716924662875,1.1786944702099698,27
syft,1938.934682460361,17.227971933083982,1004
tools-golang,1084.427131606476,5.204914015385654,44
tools-java,7.871201215757358,0.15703402415825604,11
tools-python,10.878921531317351,0.2656932040355592,11
