Format,Tool,Repo,Stars,Watchers,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest,creation_date,age,Commits
SPDX,Github,basta1255s/owntoken.sol,11,1,,0,,,,0,0,2021-06-23T11:59:44Z,1057,5
SPDX,Github,bbqsrc/spdx-lookup-python,7,3,,0,,,,0,0,2015-12-29T09:57:22Z,3060,11
SPDX,Github,bbqsrc/spdx-python,0,2,,0,,,,0,0,2015-12-29T09:33:12Z,3060,9
SPDX,Github,bconnorwhite/spdx-license,1,1,,0,,,,0,0,2020-09-07T22:30:21Z,1346,6
CycloneDx,Github,bgnetworks/meta-dependencytrack,15,4,,0,,,,5,0,2022-05-13T23:28:33Z,733,4
CycloneDx,Official,bgnetworks/meta-dependencytrack,15,4,,0,,,,5,0,2022-05-13T23:28:33Z,733,4
SPDX,Github,bharat-1809/spdx_xml_parser,1,2,,0,,,,0,0,2021-03-20T10:39:46Z,1152,27
SPDX,Github,blackducksoftware/bd_export_spdx2.2,6,5,,2,3,,,2,5,2021-08-17T12:30:33Z,1002,80
SPDX,Official,blackducksoftware/bd_export_spdx2.2,6,5,,2,3,,,2,5,2021-08-17T12:30:33Z,1002,80
SPDX,Github,bluspider/spdx,0,1,,0,,,,1,0,2018-07-09T11:50:20Z,2137,2
SPDX,Github,bobby0809/spdx-license-list-XML,0,1,,0,15,,,1,1,2018-07-14T00:49:14Z,2133,2000
SPDX,Github,bobby0809/spdx.is,0,1,,0,2,,,0,0,2018-07-17T21:31:42Z,2129,78
SPDX,Github,boyter/lc,117,8,,9,6,,,0,31,2018-01-22T00:06:16Z,2306,393
CycloneDx,Github,BranBerAVI/python_advanced_bom_creator,0,1,,0,,,,0,0,2021-03-01T17:57:31Z,1171,9
SPDX,Github,BULLBITBULL/CONTRACT,0,1,,0,,,,0,0,2021-11-30T17:40:03Z,897,3
CycloneDx,Github,ButterB0wl/jake-sbom-ado-iq-example,0,2,,0,,,,0,0,2020-05-12T01:02:16Z,1465,7
SPDX,Github,Cantido/spdx_cli,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,CatalinStratu/SPDX-generics-code-refactoring-example,0,1,,0,,,,0,0,2022-04-03T07:25:35Z,773,1
SPDX,Official,CERTCC/SBOM,55,12,,0,2,,,0,4,2020-06-01T17:08:22Z,1444,50
SPDX,Official,chaoss/augur,N/A,N/A,,N/A,92,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,chinmoy12c/spdxLicense,0,1,,0,,,,0,0,2021-04-05T13:09:13Z,1136,1
SPDX,Github,chris-toenjes-deye/salus-spdx-to-osv,1,1,,0,4,,,0,1,2022-08-10T12:58:33Z,644,29
SPDX,Github,chris48s/joi-extension-spdx,0,2,,0,2,,,1,117,2022-06-26T18:50:34Z,689,223
SPDX,Github,ChristianMurphy/apache-category-a-spdx,0,3,,0,,,,0,0,2018-09-27T01:59:05Z,2058,5
SPDX,Github,ChristianMurphy/apache-category-b-spdx,0,3,,0,,,,0,0,2018-09-27T03:33:57Z,2057,2
SPDX,Github,ChristianMurphy/apache-category-x-spdx,0,3,,0,,,,0,0,2018-09-27T03:34:36Z,2057,4
CycloneDx,Official,cisco-open/kubei,1266,29,,71,13,,,18,490,2020-03-22T12:52:29Z,1515,348
SPDX,Github,citation-file-format/get-spdx-licenses,4,2,,0,,,,0,2,2021-05-15T10:38:21Z,1096,32
CycloneDx,Official,ckotzbauer/sbom-operator,181,5,,41,8,,,0,597,2022-01-08T11:06:01Z,858,889
SPDX,Github,clearlydefined/spdx,5,11,,1,6,,,6,21,2019-05-06T15:12:24Z,1836,44
SPDX,Github,cloudflightio/spdx-catalog,0,7,,8,2,,,0,17,2022-03-11T20:35:35Z,796,54
CycloneDx,Official,coinbase/salus,13,3,,107,33,,,21,743,2018-10-16T20:25:54Z,2038,2748
SPDX,Github,compenguy/spdx-dataset,0,2,,0,,,,0,0,2019-03-02T21:29:08Z,1901,8
SPDX,Github,composer/spdx-licenses,1389,9,,20,17,,,0,34,2015-07-14T15:27:19Z,3228,156
CycloneDx,Github,conda-forge/cyclonedx-bom-feedstock,0,7,,0,4,,,0,34,2022-01-17T18:01:18Z,849,116
CycloneDx,Github,conda-forge/cyclonedx-python-lib-feedstock,0,7,,0,4,,,0,59,2021-11-01T15:39:51Z,926,179
SPDX,Github,conda-forge/spdx-license-matcher-feedstock,0,7,,0,4,,,2,3,2022-02-05T08:42:39Z,830,11
SPDX,Github,condy0919/spdx.el,13,4,,0,3,,,0,10,2020-04-12T17:05:53Z,1494,232
CycloneDx,Official,Contrast-Security-OSS/jbom,106,11,,4,2,,,0,8,2021-12-20T23:24:04Z,877,67
SPDX,Github,cordlandwehr/akademy-2020-talk-spdx,0,2,,0,,,,0,0,2021-06-13T07:04:41Z,1067,2
SPDX,Github,cordlandwehr/akademy-2021-spdx-status,0,2,,0,,,,0,0,2021-06-18T14:14:11Z,1062,2
SPDX,Github,cthoyt/spdx-obo,0,3,,0,,,,0,0,2021-05-07T13:00:05Z,1104,3
SPDX,Github,ctron/cargo-clearlydefined,0,3,,1,,,,0,0,2020-09-03T15:50:35Z,1350,14
SPDX,Github,CultOfClang/Spdx,0,1,,0,,,,0,0,2020-12-01T02:20:53Z,1262,6
SPDX,Github,cutenode/conformance,9,1,,0,2,,,13,6,2019-07-29T18:09:11Z,1752,7
SPDX,Github,cwege/disco-opa,0,1,,0,,,,0,0,2021-12-05T21:16:35Z,892,3
CycloneDx,Github,CycloneDX/bom-examples,152,11,,0,5,,,0,25,2020-07-31T19:03:34Z,1384,118
CycloneDx,Github,CycloneDX/cyclonedx-authoring-tool,7,7,,0,3,,,7,85,2020-01-04T01:04:22Z,1594,16
SPDX,Github,CycloneDX/cyclonedx-authoring-tool,7,7,,0,3,,,7,85,2020-01-04T01:04:22Z,1594,16
CycloneDx,Github,CycloneDX/cyclonedx-bom-exchange-api,28,15,,0,,,,1,1,2021-06-18T09:46:35Z,1062,10
CycloneDx,Official,CycloneDX/cyclonedx-bom-repo-server,70,6,,12,4,,,13,354,2021-05-27T10:57:35Z,1084,231
CycloneDx,Github,CycloneDX/cyclonedx-bom-repo-server,70,6,,12,4,,,13,354,2021-05-27T10:57:35Z,1084,231
SPDX,Github,CycloneDX/cyclonedx-cli,261,14,,44,9,,,22,199,2020-10-22T11:25:26Z,1301,395
CycloneDx,Github,CycloneDX/cyclonedx-cli,261,14,,44,9,,,22,199,2020-10-22T11:25:26Z,1301,395
CycloneDx,Official,CycloneDX/cyclonedx-cli,261,14,,44,9,,,22,199,2020-10-22T11:25:26Z,1301,395
CycloneDx,Github,CycloneDX/cyclonedx-cocoapods,19,7,,6,5,,,0,34,2019-10-10T15:04:12Z,1679,191
CycloneDx,Official,CycloneDX/cyclonedx-cocoapods,19,7,,6,5,,,0,34,2019-10-10T15:04:12Z,1679,191
CycloneDx,Official,CycloneDX/cyclonedx-conan,23,5,,4,2,,,7,88,2021-10-14T11:05:30Z,944,42
CycloneDx,Github,CycloneDX/cyclonedx-conan,23,5,,4,2,,,7,88,2021-10-14T11:05:30Z,944,42
SPDX,Github,CycloneDX/cyclonedx-conan,23,5,,4,2,,,7,88,2021-10-14T11:05:30Z,944,42
CycloneDx,Github,CycloneDX/cyclonedx-core-java,68,7,,0,20,,,12,320,2018-05-30T22:50:46Z,2177,1003
CycloneDx,Official,CycloneDX/cyclonedx-core-java,68,7,,0,20,,,12,320,2018-05-30T22:50:46Z,2177,1003
SPDX,Github,CycloneDX/cyclonedx-core-java,68,7,,0,20,,,12,320,2018-05-30T22:50:46Z,2177,1003
CycloneDx,Github,CycloneDX/cyclonedx-dotnet,161,13,,43,21,,,19,673,2018-10-02T21:58:30Z,2052,932
SPDX,Github,CycloneDX/cyclonedx-dotnet,161,13,,43,21,,,19,673,2018-10-02T21:58:30Z,2052,932
CycloneDx,Github,CycloneDX/cyclonedx-dotnet-library,16,5,,38,15,,,22,232,2020-10-19T11:52:20Z,1304,864
CycloneDx,Github,CycloneDX/cyclonedx-go,64,8,,12,5,,,6,128,2021-03-02T11:20:02Z,1170,267
CycloneDx,Official,CycloneDX/cyclonedx-go,64,8,,12,5,,,6,128,2021-03-02T11:20:02Z,1170,267
CycloneDx,Official,CycloneDX/cyclonedx-gomod,125,7,,36,4,,,9,385,2021-03-07T19:21:22Z,1165,734
CycloneDx,Github,CycloneDX/cyclonedx-gomod,125,7,,36,5,,,9,385,2021-03-07T19:21:22Z,1165,734
CycloneDx,Github,CycloneDX/cyclonedx-gradle-plugin,141,10,,12,20,,,10,291,2018-05-30T14:52:05Z,2177,451
SPDX,Github,CycloneDX/cyclonedx-gradle-plugin,141,10,,12,20,,,10,291,2018-05-30T14:52:05Z,2177,451
CycloneDx,Github,CycloneDX/cyclonedx-javascript-library,14,6,,68,2,,,4,993,2022-02-04T18:20:43Z,831,916
CycloneDx,Github,CycloneDX/cyclonedx-linux-generator,38,7,,0,4,,,9,55,2021-05-20T15:48:46Z,1091,79
CycloneDx,Official,CycloneDX/cyclonedx-maven-plugin,273,14,,48,13,,,13,306,2017-06-04T04:33:47Z,2538,703
