Format,Tool,Repo,Stars,Watchers,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest,creation_date,age,Commits
CycloneDx,Github,georgearnall/yarn-workspaces-example,1,2,,0,,,,1,0,2020-10-02T13:01:32Z,1321,3
SPDX,Github,gkapi/SPDXCompatTools,3,2,,0,,,,0,0,2014-01-17T13:15:04Z,3771,8
SPDX,Github,GMishx/spdx-test-data,0,1,,0,,,,0,0,2019-07-08T12:50:12Z,1773,2
SPDX,Github,goneall/Spdx-Java-Xml-Store,0,1,,0,,,,0,0,2020-05-27T16:46:27Z,1449,1
SPDX,Github,goneall/spdx-use-cases,0,1,,0,2,,,0,1,2021-09-21T18:05:05Z,967,5
CycloneDx,Github,goneall/spdxcyclone,25,5,,6,2,,,0,24,2021-07-15T20:12:13Z,1035,85
CycloneDx,Official,goneall/spdxcyclone,25,5,,6,2,,,0,24,2021-07-15T20:12:13Z,1035,85
SPDX,Github,goneall/spdxcyclone,25,5,,6,2,,,0,24,2021-07-15T20:12:13Z,1035,85
SPDX,Github,goneall/SpdxEclipsePlugin,0,2,,0,,,,0,0,2015-03-18T05:10:06Z,3346,2
CycloneDx,Official,google/ko,7277,45,,32,62,,,14,917,2019-03-21T19:24:01Z,1882,989
SPDX,Github,gs146/software_package_data_exchange_list-SPDX-_scraping,0,2,,0,,,,0,0,2019-09-04T12:04:44Z,1715,4
SPDX,Github,hangal2001/SPDXHub,0,2,,0,,,,0,0,2015-02-09T23:12:46Z,3383,41
SPDX,Github,HansHammel/license-compatibility-checker,91,3,,0,2,,,2,4,2017-01-04T23:21:57Z,2688,95
CycloneDx,Github,hanstdam/cdx-bower-bom,0,1,,1,,,,0,1,2020-02-03T14:44:29Z,1563,13
SPDX,Github,hastagAB/SPDX-OSS-Dataset,0,2,,0,,,,1,0,2020-04-02T17:00:31Z,1504,3
SPDX,Github,hattya/license.vim,2,3,,0,,,,0,0,2016-05-18T14:32:29Z,2919,80
SPDX,Github,heliocastro/ortsample,0,1,,0,,,,0,0,2021-03-30T06:07:10Z,1142,1
SPDX,Github,hen/spdx-cheat-sheet,4,1,,0,3,,,0,2,2019-05-11T17:10:01Z,1831,20
SPDX,Github,hernanmd/license-selector,3,3,,0,2,,,0,1,2021-08-26T07:22:40Z,993,13
SPDX,Github,hesa/spdx-validator,1,2,,0,,,,0,18,2021-09-12T19:11:58Z,976,157
SPDX,Github,hfukuchi/SPDX_specification,4,2,,0,,,,0,5,2018-07-18T01:48:48Z,2129,110
SPDX,Github,hixio-mh/apis.google.com-js-api.js,1,1,,0,,,,0,0,2021-05-10T06:34:17Z,1101,1
SPDX,Github,hoijui/SPDX-identifiers,1,2,,0,,,,0,0,2021-10-22T08:03:26Z,936,23
SPDX,Github,hoijui/SPDX-identifiers-generator,0,2,,0,,,,0,0,2021-10-22T20:00:20Z,936,6
SPDX,Github,howderek/get-license,0,1,,0,,,,0,0,2017-06-09T17:28:51Z,2532,5
SPDX,Official,hyperledger-labs/SParts,12,10,,0,5,,,1,73,2018-03-12T21:51:02Z,2256,96
CycloneDx,Official,IBM/gauge,11,6,,0,3,,,0,12,2022-04-19T19:25:33Z,757,37
SPDX,Github,Inconnu08/multi-spdx-license-parser,0,2,,0,,,,0,0,2021-12-03T19:09:53Z,894,1
SPDX,Github,ItsNickBarry/hardhat-spdx-license-identifier,16,3,,0,4,,,1,22,2020-05-18T01:30:46Z,1459,76
SPDX,Github,JackTien/bd_export_spdx2.2,0,1,,0,4,,,0,0,2022-06-20T01:22:45Z,696,87
CycloneDx,Official,javixeneize/yasca,13,1,,4,,,,1,18,2022-04-24T17:08:41Z,752,116
SPDX,Github,jdelapla/GraphGenerator,0,1,,0,,,,0,0,2015-09-17T15:59:56Z,3163,18
SPDX,Github,jeremiah/spdxl,1,2,,0,,,,0,0,2015-08-20T21:35:27Z,3191,82
SPDX,Github,JeroenKnoops/test-spdx-action,1,3,,0,,,,3,0,2021-01-22T08:49:25Z,1209,22
SPDX,Github,jfontan/nonSpdx,0,2,,0,,,,0,0,2020-02-05T13:59:36Z,1561,1
CycloneDx,Official,jfrog/build-info-go,59,8,,63,12,,,5,218,2021-10-20T14:06:09Z,938,306
SPDX,Github,joerter/spdx-dashboard,0,4,,1,3,,,0,0,2014-01-29T20:00:23Z,3759,143
SPDX,Github,johannes-klein/spdx-eclipse-editor-plugin,1,0,,0,,,,0,0,2012-11-12T14:56:37Z,4202,15
SPDX,Github,johnjamesmccann/xerces-3.2.3-DTD-hotfix,0,1,,0,,,,0,0,2022-01-20T13:43:38Z,846,2
SPDX,Github,jonathanstowe/License-SPDX,0,2,,2,,,,0,1,2019-02-20T12:17:56Z,1911,38
SPDX,Github,joshdk/licensor,4,2,,1,,,,1,13,2017-12-03T06:03:05Z,2355,36
SPDX,Github,jslicense/npm-license-corrections.json,1,3,,0,4,,,0,10,2019-02-15T22:38:42Z,1916,69
SPDX,Github,jslicense/spdx-compare.js,3,2,,0,,,,1,1,2015-07-18T20:32:46Z,3224,21
SPDX,Github,jslicense/spdx-copyleft.json,4,2,,0,,,,0,0,2016-01-13T07:34:27Z,3045,12
SPDX,Github,jslicense/spdx-correct.js,31,4,,0,6,,,1,28,2015-04-29T20:40:33Z,3304,119
SPDX,Github,jslicense/spdx-exceptions.json,13,4,,0,2,,,1,5,2015-08-01T23:26:32Z,3210,44
SPDX,Github,jslicense/spdx-expression-parse.js,42,10,,0,5,,,4,15,2015-08-02T03:12:19Z,3210,169
SPDX,Github,jslicense/spdx-expression-validate.js,0,2,,0,2,,,0,0,2015-08-02T03:51:15Z,3209,86
SPDX,Github,jslicense/spdx-is-osi.js,0,2,,0,,,,0,1,2015-12-27T01:22:56Z,3063,22
SPDX,Github,jslicense/spdx-license-identifiers.json,2,2,,0,,,,0,0,2020-08-31T18:15:49Z,1353,12
SPDX,Github,jslicense/spdx-license-ids,31,4,,4,3,,,0,22,2014-10-31T04:06:09Z,3485,128
SPDX,Github,jslicense/spdx-osi.json,1,2,,0,2,,,0,0,2015-12-27T00:45:06Z,3063,68
SPDX,Github,jslicense/spdx-ranges.js,0,2,,0,,,,0,1,2015-08-01T23:52:35Z,3210,20
SPDX,Github,jslicense/spdx-satisfies.js,11,3,,0,4,,,2,9,2015-07-18T20:34:32Z,3224,66
SPDX,Github,jslicense/spdx-to-html.js,3,2,,0,2,,,0,2,2015-05-22T06:35:19Z,3281,48
SPDX,Github,jslicense/spdx-whitelisted.js,0,2,,0,3,,,0,0,2019-03-28T03:51:02Z,1875,47
SPDX,Github,jsvcycling/fetchalicense,0,3,,0,,,,0,0,2022-07-13T01:15:44Z,673,4
SPDX,Github,jthomp24/ProductHistoryUtility,0,2,,0,,,,0,0,2014-03-22T02:42:47Z,3707,75
SPDX,Github,juancarlospaco/parselicense,4,4,,0,,,,0,0,2020-04-08T11:26:20Z,1498,14
CycloneDx,Github,kakumara/cyclonedx-maven-plugin-test,0,1,,0,,,,0,0,2021-11-24T10:03:37Z,903,4
SPDX,Github,kariu87/test,0,1,,0,,,,0,0,2022-02-03T17:07:28Z,832,1
CycloneDx,Github,karolswdev/cyclonedx-0-9-1-bug,0,2,,0,,,,0,0,2020-02-10T20:33:19Z,1556,1
SPDX,Github,Kazzira/SPDX-Git-Test-Repo,0,2,,0,,,,0,0,2015-03-17T23:21:27Z,3347,12
SPDX,Github,KDE/licensedigger,4,4,,0,13,,,0,0,2020-06-20T07:59:29Z,1425,252
SPDX,Github,KeKo6988/K3k0,0,1,,0,,,,0,0,2021-05-06T00:25:39Z,1106,1
SPDX,Github,kemitchell/spdx.js,51,8,,0,3,,,0,7,2015-04-24T08:49:37Z,3309,81
SPDX,Github,kemitchell/spdx.kemitchell.com,0,3,,0,,,,0,0,2019-03-23T16:25:35Z,1880,5
SPDX,Github,keszybz/repo-license-summary,0,3,,0,,,,0,0,2021-01-28T09:19:28Z,1203,15
SPDX,Github,kit-ty-kate/spdx_licenses,6,3,,3,,,,0,0,2021-07-23T18:52:37Z,1027,34
SPDX,Github,kohldampfer/spdx-test,0,2,,0,,,,0,0,2018-10-01T12:27:36Z,2053,3
SPDX,Github,koizumistr/SPDX2Lite,1,2,,3,,,,0,0,2022-02-19T05:06:53Z,816,10
SPDX,Github,krysnuvadga/license-coverage-grader,0,2,,0,,,,0,10,2017-06-07T17:25:06Z,2534,91
SPDX,Github,krysnuvadga/wp-spdx-spec,0,2,,0,,,,0,0,2019-05-10T23:34:43Z,1832,13
SPDX,Github,kshitij5/spdx-license-fetcher,0,1,,0,,,,0,0,2021-04-10T19:57:00Z,1131,6
CycloneDx,Github,kube-tarian/fixer,0,1,,0,3,,,1,1,2022-07-26T06:29:23Z,659,12
SPDX,Github,kube-tarian/fixer,0,1,,0,3,,,1,1,2022-07-26T06:29:23Z,659,12
SPDX,Github,kubernetes-sigs/bom,304,11,,10,23,,,1,363,2021-11-19T13:06:36Z,908,1049
SPDX,Github,KY-Programming/license-to-json,0,1,,3,,,,0,0,2022-01-07T10:36:26Z,859,4
SPDX,Github,kyoh86/go-spdx,4,4,,0,3,,,0,3,2017-05-21T09:09:17Z,2551,51
CycloneDx,Official,kyverno/kyverno,5179,46,,214,141,,,70,6611,2019-02-04T16:25:48Z,1927,7278
SPDX,Github,L1malucas/AutoHeaderSPDX,0,1,,0,,,,0,0,2021-01-30T15:55:23Z,1201,1
SPDX,Github,lfpratik/spdx-conda-demo,0,2,,0,,,,0,0,2021-05-27T10:20:09Z,1084,2
SPDX,Github,lfpratik/spdx-gen-demo,0,2,,0,,,,0,0,2021-05-27T10:19:37Z,1084,2
SPDX,Github,lfpratik/spdx-pipenv-demo,0,2,,0,,,,3,0,2021-05-27T10:10:11Z,1084,13
SPDX,Github,lfpratik/spdx-poetry-demo,0,2,,0,2,,,0,1,2021-05-27T10:11:06Z,1084,19
SPDX,Github,lfpratik/spdx-venv-demo,0,2,,0,,,,0,0,2021-05-27T10:15:18Z,1084,16
SPDX,Github,lfscanning/spdx-acumos,0,1,,0,,,,0,0,2019-12-16T16:25:25Z,1612,359
SPDX,Github,lfscanning/spdx-aswf,0,1,,0,2,,,0,0,2020-01-09T19:47:50Z,1588,81
SPDX,Github,lfscanning/spdx-ccc,0,1,,0,,,,0,0,2020-10-07T16:06:08Z,1316,7
SPDX,Github,lfscanning/spdx-cncf,0,1,,0,,,,0,0,2019-12-09T19:33:45Z,1619,56
SPDX,Github,lfscanning/spdx-dent,0,1,,0,2,,,0,0,2021-09-28T14:16:26Z,960,5
SPDX,Github,lfscanning/spdx-hyperledger,0,1,,0,2,,,0,0,2019-12-10T16:09:10Z,1618,186
SPDX,Github,lfscanning/spdx-lfai,0,2,,0,2,,,0,0,2020-01-10T18:38:25Z,1587,187
SPDX,Github,lfscanning/spdx-lfenergy,2,1,,0,2,,,0,0,2021-01-28T15:57:03Z,1203,115
SPDX,Github,lfscanning/spdx-o-ran,0,1,,0,2,,,0,0,2020-05-22T15:45:24Z,1454,143
SPDX,Github,lfscanning/spdx-odim,0,1,,0,,,,0,0,2020-10-08T19:52:22Z,1315,2
SPDX,Github,lfscanning/spdx-odpi,0,2,,0,,,,0,0,2020-01-23T17:52:19Z,1574,4
SPDX,Github,lfscanning/spdx-omp,1,1,,0,,,,0,0,2020-01-31T19:16:16Z,1566,78
SPDX,Github,lfscanning/spdx-onap,0,1,,0,2,,,0,0,2019-12-06T17:01:22Z,1622,901
SPDX,Github,lfscanning/spdx-TEST-SPDX,0,2,,0,,,,0,0,2021-11-04T20:55:36Z,923,2
SPDX,Github,lfscanning/spdx-TEST-ZLIB,0,2,,0,,,,0,0,2021-11-13T02:07:27Z,915,2
SPDX,Github,lfscanning/spdx-xgvela,0,1,,0,,,,0,0,2021-01-12T16:52:10Z,1219,3
SPDX,Github,lfscanning/spdx-zowe,0,1,,0,,,,0,0,2020-04-27T17:02:05Z,1479,2
SPDX,Github,librariesio/license-compatibility,34,7,,0,4,,,0,7,2015-11-25T21:54:43Z,3094,75
SPDX,Github,librariesio/spdx,35,5,,7,8,,,0,39,2015-02-05T22:09:43Z,3387,167
SPDX,Github,linterhub/schema,2,4,,10,2,,,1,101,2018-06-13T20:10:00Z,2163,91
SPDX,Github,linux-mailinglist-archives/linux-spdx.vger.kernel.org.0,0,2,,0,76,,,0,0,2019-11-14T13:22:21Z,1644,903
SPDX,Github,lkoskela/license-expressions,5,1,,0,2,,,4,154,2021-11-23T06:49:41Z,904,201
SPDX,Github,lokeshjoshi01/Simple-Storage-Solidiy,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,lokeshjoshi01/Smart-Contract-Lottery-Solidity,0,1,,0,,,,0,0,2022-02-10T05:36:58Z,825,3
CycloneDx,Github,maciejwalkowiak/cyclonedx-spring-boot-sample,0,2,,0,,,,0,0,2022-07-25T12:05:06Z,660,3
CycloneDx,Github,madpah/vexy,17,3,,5,2,,,0,7,2022-07-04T14:37:59Z,681,71
CycloneDx,Official,madpah/vexy,17,3,,5,2,,,0,7,2022-07-04T14:37:59Z,681,71
CycloneDx,Github,magnusp/cyclonedx-aggregator-issue,0,2,,0,,,,0,0,2021-07-15T08:39:35Z,1035,4
SPDX,Github,manifoldfinance/legal,0,3,,2,,,,0,0,2021-03-08T08:52:26Z,1164,46
CycloneDx,Github,MartinStengard/rust-sbom-windows,2,3,,0,,,,0,0,2022-02-28T10:34:33Z,807,10
SPDX,Github,masami256/meta-spdxscanner,0,3,,0,,,,0,0,2021-08-20T07:55:44Z,999,17
CycloneDx,Github,mattermost/gobom,2,27,,0,3,,,6,10,2021-02-26T10:43:09Z,1174,54
CycloneDx,Official,mattermost/gobom,2,27,,0,3,,,6,10,2021-02-26T10:43:09Z,1174,54
SPDX,Github,matthewb66/bd_export_spdx2.2,4,3,,0,,,,0,2,2020-09-29T08:36:30Z,1324,25
SPDX,Github,matthewkmayer/spdx-go-repro,0,2,,0,,,,0,0,2021-02-24T19:43:46Z,1176,2
CycloneDx,Github,mattt/CycloneDX,4,1,,0,,,,0,0,2021-07-12T18:12:29Z,1038,1
CycloneDx,Github,mattt/swift-package-sbom,23,3,,0,,,,0,0,2021-07-15T20:37:32Z,1035,8
CycloneDx,Official,mattt/swift-package-sbom,23,3,,0,,,,0,0,2021-07-15T20:37:32Z,1035,8
SPDX,Github,maxhbr/spdx-tools-hs,0,4,,0,,,,0,0,2021-09-01T06:23:33Z,987,39
CycloneDx,Official,medavis-gmbh/LicenseComplianceTool,3,1,,0,,,,0,19,2022-07-27T06:36:52Z,658,35
SPDX,Github,merobi-hub/license-updater,0,1,,0,,,,0,0,2022-02-02T20:41:43Z,833,11
SPDX,Github,Micheal66/cotract-X-Wallet,2,1,,0,,,,0,0,2021-09-16T17:58:29Z,972,2
CycloneDx,Github,microdoc/cyclonedx-examples,0,1,,0,,,,0,0,2020-11-10T21:21:50Z,1282,4
SPDX,Github,microsoft/sbom-tool,1461,23,,55,9,,,16,350,2022-06-01T16:58:49Z,714,244
SPDX,Github,microsoft/spdx-simplify,9,10,,0,,,,1,1,2016-05-25T05:41:31Z,2912,3
SPDX,Github,micziz/Licenses-In-All-Languages,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,mil-oss/spdx-xsd,7,10,,0,2,,,0,2,2018-05-30T03:35:15Z,2178,122
SPDX,Github,mitchellh/go-spdx,23,4,,0,,,,0,0,2018-11-17T19:49:09Z,2006,5
SPDX,Github,mk-pmb/spdx-license-exceptions-js,0,2,,0,,,,0,0,2016-09-27T19:58:30Z,2787,2
SPDX,Github,mk-pmb/spdx-license-urls-js,0,3,,0,,,,0,0,2016-09-27T16:27:32Z,2787,3
SPDX,Github,mmurto/spdx-typescript,1,1,,0,,,,6,1,2020-04-20T19:41:32Z,1486,26
SPDX,Github,morficus/license-ls,19,2,,0,5,,,7,18,2019-06-22T17:48:37Z,1789,65
SPDX,Github,moritzruth/license-chooser,0,1,,0,2,,,5,32,2021-04-15T14:27:19Z,1126,49
SPDX,Github,moritzruth/spdx-license-data,0,1,,0,,,,0,0,2021-04-12T11:19:01Z,1129,27
CycloneDx,Github,mostafa/practical-cscrm,5,2,,0,,,,0,0,2022-06-01T12:30:55Z,714,12
SPDX,Github,MrUnfunny/spdx_printer,0,1,,0,,,,0,0,2021-03-23T03:55:11Z,1149,1
SPDX,Github,msmeissn/rpm-list-to-sbom,2,1,,0,,,,0,1,2022-07-25T11:43:46Z,660,9
SPDX,Github,mspiegel/spdx,0,3,,0,,,,0,0,2016-05-02T17:42:51Z,2935,8
SPDX,Github,mvo5/spdx-license-validator,0,3,,0,,,,0,0,2017-07-27T12:10:04Z,2484,4
SPDX,Github,myndzi/spdx-license-matcher,0,3,,0,,,,0,0,2015-07-15T14:15:37Z,3227,3
SPDX,Github,ndip007/spdx-build-tool,0,2,,0,,,,0,0,2018-05-18T18:41:20Z,2189,37
SPDX,Github,ndip007/spdx-tools-js,0,2,,0,,,,7,1,2019-06-04T15:16:47Z,1807,28
SPDX,Github,nektro/zig-detect-license,0,4,,0,2,,,0,1,2021-07-28T07:05:50Z,1022,12
SPDX,Github,nektro/zig-licenses,1,3,,0,,,,0,0,2021-02-15T01:59:38Z,1186,32
SPDX,Github,nektro/zig-licenses-text,1,3,,0,,,,0,0,2021-07-27T09:19:13Z,1023,9
SPDX,Github,nexB/license-expression,53,14,,5,14,,,1,43,2016-08-23T17:39:00Z,2822,611
SPDX,Github,nexB/scancode-toolkit,1991,73,,71,298,,,24,1220,2015-07-01T13:43:06Z,3241,11071
CycloneDx,Official,nexB/scancode-toolkit,1991,73,,71,298,,,24,1220,2015-07-01T13:43:06Z,3241,11071
SPDX,Official,nexB/scancode-toolkit,1991,73,,71,298,,,24,1220,2015-07-01T13:43:06Z,3241,11071
SPDX,Github,nexB/spdx-license-namespaces-registry,0,5,,0,,,,0,1,2019-03-06T18:41:02Z,1897,3
SPDX,Github,nexB/spdx-licenses,1,10,,0,3,,,0,0,2015-10-01T16:36:57Z,3149,48
SPDX,Github,nhoyas88/https-spdx.org-licenses-WTFPL.html,0,1,,0,,,,0,1,2020-04-29T01:50:54Z,1478,4
CycloneDx,Github,nicexgk/cyclonedx,0,2,,0,9,,,7,48,2021-05-28T13:06:28Z,1083,273
CycloneDx,Github,nil-labs/cdx-helm-tools,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,nim-nix-pkgs/spdx_licenses,0,1,,0,,,,0,0,2022-03-12T18:22:18Z,795,61
CycloneDx,Github,ninoseki/pycomponents,4,3,,0,,,,1,15,2022-04-23T02:02:32Z,754,55
SPDX,Github,niravpatel27/gh-action-spdx-sbom-generator,0,2,,1,,,,0,0,2021-06-07T21:21:22Z,1073,6
SPDX,Github,nishakm/spdx-data-model,0,2,,0,,,,0,0,2020-12-08T14:28:07Z,1254,1
SPDX,Github,nodef/extra-license,0,3,,0,2,,,0,0,2018-09-07T13:39:15Z,2077,35
SPDX,Github,nodepy/spdx-licenses,0,2,,0,,,,0,0,2017-05-16T21:36:35Z,2556,4
SPDX,Github,NodeSecure/licenses-conformance,1,1,,4,3,,,3,66,2021-08-30T20:47:45Z,989,73
SPDX,Github,noelmace/ngu-repro-spdx,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,noi-techpark/solda-debian2spdx-standalone,0,2,,0,,,,0,2,2021-07-02T08:36:11Z,1048,1
CycloneDx,Official,nyph-infosec/daggerboard,94,12,,4,4,,,1,9,2022-06-01T21:38:08Z,714,55
SPDX,Github,ok2it/spdxl,0,1,,0,,,,0,0,2018-01-05T06:10:50Z,2322,2
SPDX,Github,OPEN-NEXT/LOSH-Licenses,0,8,,0,2,,,0,0,2021-10-05T13:23:32Z,953,11
SPDX,Github,openlogic/spdx-spec,4,1,,0,,,,0,0,2010-09-24T19:44:36Z,4982,56
CycloneDx,Official,openrewrite/rewrite,1907,21,,252,49,,,36,1781,2020-05-12T20:16:14Z,1464,6356
SPDX,Github,opensbom-generator/spdx-sbom-generator,374,20,,15,25,,,12,114,2021-05-19T19:35:04Z,1092,388
SPDX,Github,opensource-jp/licenses,58,3,,1,,,,4,7,2020-07-29T14:01:37Z,1386,172
SPDX,Github,opossum-tool/OpossumUI,54,2,,96,15,,,1,2292,2021-09-21T14:45:15Z,967,4693
SPDX,Github,osism/sbom,2,1,,0,,,,4,75,2022-03-16T12:04:53Z,791,87
SPDX,Official,oss-review-toolkit/ort,1485,41,,38,54,,,34,7357,2017-10-19T11:59:49Z,2400,15469
SPDX,Github,oss-review-toolkit/ort,1485,41,,38,54,,,34,7357,2017-10-19T11:59:49Z,2400,15469
CycloneDx,Github,OWASP/www-project-cyclonedx,4,8,,0,3,,,0,0,2021-06-04T16:22:34Z,1076,41
CycloneDx,Github,ozonru/cyclonedx-go,20,9,,1,,,,0,3,2020-01-30T07:29:09Z,1567,18
CycloneDx,Official,ozonru/cyclonedx-go,20,9,,1,,,,0,3,2020-01-30T07:29:09Z,1567,18
CycloneDx,Official,ozonru/dtrack-audit,47,12,,1,,,,2,4,2019-10-11T09:30:02Z,1678,50
CycloneDx,Github,pasientskyhosting/cdxgen,0,4,,0,,,,3,1,2022-06-20T10:03:48Z,695,4
SPDX,Github,patriksvensson/spdx,13,3,,0,,,,0,6,2021-11-20T16:55:43Z,907,31
CycloneDx,Github,PaulMorel1/makebom,1,2,,0,,,,0,0,2022-04-19T17:34:08Z,757,1
CycloneDx,Github,PaulMorel1/viewbom,1,2,,0,,,,0,0,2022-04-19T00:35:05Z,758,15
SPDX,Github,pezra/pretty-printer,1,1,,0,2,,,0,0,2011-03-30T15:21:38Z,4795,17
SPDX,Github,pfefferle/dash-spdx-licenses,4,3,,5,,,,0,0,2015-10-06T20:59:19Z,3144,7
SPDX,Github,phadej/spdx,5,4,,0,2,,,1,24,2015-06-05T10:25:28Z,3267,77
SPDX,Github,philips-software/spdx-action,14,2,,18,4,,,0,26,2021-01-22T08:32:01Z,1209,100
SPDX,Github,philips-software/spdx-builder,12,2,,18,5,,,6,273,2020-07-16T06:14:32Z,1399,673
SPDX,Github,phzfi/spdx-license-checker,0,5,,0,,,,0,0,2017-04-08T22:54:15Z,2594,2
SPDX,Github,pld-linux/php-composer-spdx-licenses,0,3,,0,,,,0,0,2015-11-25T16:50:11Z,3094,6
SPDX,Github,pmonks/tools-licenses,6,2,,0,,,,0,45,2021-10-25T20:13:16Z,933,230
SPDX,Github,pombredanne/Database-SPDX2.0,0,1,,0,,,,0,0,2015-04-13T18:31:09Z,3320,6
SPDX,Github,pombredanne/Do_SPDX,0,2,,0,,,,0,0,2014-07-18T17:07:31Z,3589,28076
SPDX,Github,pombredanne/DoSPDX,0,1,,0,,,,0,0,2014-06-17T23:17:32Z,3620,17
SPDX,Github,pombredanne/pub-oss,0,2,,0,,,,0,0,2014-07-18T17:14:29Z,3589,16
SPDX,Github,pombredanne/scancode-non-spdx-licenses,0,1,,0,,,,0,0,2017-08-01T18:00:08Z,2479,2
SPDX,Github,pombredanne/spdx-dashboard,0,1,,0,7,,,0,1,2013-02-20T03:21:58Z,4103,116
SPDX,Github,pombredanne/spdx-pypi-pep-old,0,3,,0,63,,,0,0,2017-02-20T15:02:16Z,2641,6773
SPDX,Github,pombredanne/SPDX2.0-Dashboard-UnderConstruction,0,1,,0,,,,0,0,2015-04-13T18:31:26Z,3320,60
SPDX,Github,pombredanne/SPDXDash,0,1,,0,,,,0,0,2014-07-18T17:09:20Z,3589,5
SPDX,Github,pombredanne/yocto-spdx,0,2,,0,,,,0,0,2015-04-13T21:12:08Z,3320,221
SPDX,Github,poscat0x04/spdx-license,0,3,,0,,,,0,0,2020-12-22T07:08:08Z,1240,6
SPDX,Github,predatorx7/spdx-license-cli,0,2,,0,,,,0,0,2020-03-15T16:37:59Z,1522,11
SPDX,Github,PrOF-kk/spdx-headers-vscode,0,1,,1,,,,0,0,2021-09-23T09:39:30Z,965,1
SPDX,Official,QMSTR/qmstr,31,1,,0,12,,,2,365,2018-01-19T09:50:33Z,2308,1219
SPDX,Github,QMSTR/qmstr-spdx-analyzer,0,5,,0,,,,0,0,2019-02-13T12:15:46Z,1918,1
CycloneDx,Official,Quobis/action-owasp-dependecy-track-check,31,6,,4,3,,,0,5,2021-05-15T17:32:57Z,1096,52
SPDX,Github,raftario/licensor,192,7,,5,3,,,12,73,2019-09-19T21:10:28Z,1700,98
SPDX,Github,ralexander-phi/which-license,2,3,,0,,,,1,8,2021-07-09T18:53:02Z,1041,41
SPDX,Github,ralphie79/spdx-docfest-2021-sept,3,1,,0,,,,0,0,2021-09-14T21:58:30Z,974,9
SPDX,Github,raratiru/django-quenv,2,1,,4,2,,,0,8,2019-05-06T18:27:46Z,1836,29
CycloneDx,Github,realshiremath/sbom,0,1,,0,,,,0,0,2021-11-05T18:20:26Z,922,1
SPDX,Github,realshiremath/sbom,0,1,,0,,,,0,0,2021-11-05T18:20:26Z,922,1
SPDX,Github,RedstormJones/SPDX_Eclipse_Plugin,2,5,,0,2,,,0,5,2015-01-21T22:22:45Z,3402,340
CycloneDx,Github,relizaio/rebom,4,2,,0,2,,,0,0,2022-01-12T11:15:44Z,854,174
CycloneDx,Github,remisbaima/license-checker-cyclonedx-maven-plugin,4,1,,7,3,,,6,155,2022-04-11T17:25:11Z,765,397
SPDX,Github,reversi-fun/license_doc_similality1,7,0,,0,2,,,10,0,2018-12-18T01:31:07Z,1975,71
CycloneDx,Github,ribbybibby/tally,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,RichiH/spdx_helper,0,3,,0,,,,0,0,2021-05-26T14:28:23Z,1085,2
SPDX,Github,RishabhBhatnagar/TestSPDXGoModule,0,2,,0,,,,0,0,2020-01-10T07:42:41Z,1587,2
SPDX,Github,rjb4standards/SBOMExamples,1,1,,0,,,,0,0,2021-08-19T16:14:14Z,1000,5
SPDX,Github,rofrol/spdx-completion,0,3,,0,,,,0,0,2016-01-19T14:51:29Z,3039,1
SPDX,Github,rohieb/spdx-license-match,5,5,,0,,,,0,0,2017-07-31T14:43:50Z,2480,29
SPDX,Github,rpavlik/khronos-dual-license-finder,0,3,,1,,,,0,0,2021-02-01T23:25:23Z,1199,9
SPDX,Github,rpavlik/spdx-to-dep5,3,3,,0,,,,1,2,2021-10-13T21:05:26Z,945,68
SPDX,Github,rutisan/XBN-Contrac,1,1,,0,,,,0,0,2021-03-13T00:08:24Z,1160,2
CycloneDx,Github,rvsoni/cyclonedx-maven-demo,0,1,,0,,,,0,0,2022-06-23T16:56:54Z,692,4
SPDX,Github,salewski/ads-spdx-header-defaults,0,2,,0,,,,0,0,2020-08-22T19:40:22Z,1362,10
SPDX,Github,sambacha/spdx-functional,0,3,,0,,,,0,0,2020-08-20T06:57:43Z,1364,4
SPDX,Github,sambacha/spdx-runner,1,3,,2,2,,,0,12,2020-07-31T08:49:30Z,1384,39
SPDX,Github,sambacha/use-UPL-not-MIT,1,2,,0,,,,0,0,2022-06-16T08:46:30Z,699,4
SPDX,Github,samcv/SPDX-Parser,1,3,,0,,,,0,0,2017-04-30T08:52:27Z,2572,3
CycloneDx,Github,sameer1046/CycloneDX-BOMReader,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,SamuraiAku/SPDX.jl,5,2,,11,,,,1,10,2021-09-13T16:37:30Z,975,243
SPDX,Github,SantiagoTorres/spdx-linking-mockups,1,3,,0,,,,0,0,2020-06-09T20:49:25Z,1436,16
SPDX,Github,sarathsdev/SPDX-license-detection-package,0,1,,0,,,,0,0,2021-04-11T15:45:22Z,1130,4
