repo,spdx3_found,found_in,evidence
oss-review-toolkit/ort,False,,
opossum-tool/OpossumUI,False,,
chaoss/augur,False,,
anchore/syft,False,,
spdx/license-list-XML,True,release:v3.28.0,arison of changes from 3.27.0 to 3.28.0: https://github.com/spdx/license-list-XML/compare/v3.27.0...v3.28.0 Version 3.28.0 of the SPDX License List
CycloneDX/cyclonedx-webpack-plugin,False,,
nexB/scancode-toolkit,False,,
eclipse/sw360,False,,
tern-tools/tern,False,,
CycloneDX/cyclonedx-dotnet,False,,
spdx/meetings,True,README,ation * Description: Regular meeting to develop the Canonical Serialisation for SPDX 3.0 and agree on recommendations to make to the Tech Team where appropriate. <!-- * Time and cadence: weekly on Fridays at
CycloneDX/cyclonedx-rust-cargo,False,,
CycloneDX/cyclonedx-python,False,,
spdx/spdx-spec,True,README,"as well as a model documentation generated from Markdown files within the [spdx/spdx-3-model](https://github.com/spdx/spdx-3-model/) repository.  Contributions, including translations, are welcome. Contribu"
CycloneDX/cyclonedx-python-lib,False,,
spdx/spdx-3-model,True,README,# SPDX 3 model  The System Package Data Exchange® (SPDX®) is a standard format for communicating information about components as
fsfe/reuse-tool,False,,
spdx/tools-python,True,README,"production code yet.  Note that v0.8 only supports **writing**, not **reading** SPDX 3.0 documents. See [#760](https://github.com/spdx/tools-python/issues/760) for details.  ## Information  This library imple"
CycloneDX/cyclonedx-php-composer,False,,
CycloneDX/cyclonedx-php-library,False,,
kubernetes-sigs/bom,False,,
QMSTR/qmstr,False,,
microsoft/sbom-tool,False,,
sw360/sw360portal,False,,
CycloneDX/cyclonedx-core-java,False,,
CycloneDX/cyclonedx-maven-plugin,False,,
CycloneDX/cyclonedx-gradle-plugin,False,,
ardikars/pcap,False,,
philips-software/spdx-builder,False,,
spdx/spdx-online-tools,False,,
CycloneDX/cyclonedx-node-module,False,,
CycloneDX/cyclonedx-cli,False,,
EmbarkStudios/cargo-about,False,,
CycloneDX/specification,False,,
spdx/tools,False,,
lkoskela/license-expressions,False,,
spdx/tools-golang,True,release:v0.6.0-rc2,"## What's Changed * feat: SPDX 3 by @kzantow in https://github.com/spdx/tools-golang/pull/247  **Full Changelog**: https://github."
spdx/Spdx-Java-Library,True,README,"ble with previous versions of the library due to breaking changes introduced in SPDX 3.0.  However, the library supports both SPDX specification versions 2.X and 3.X.  See [README-V3-UPGRADE.md](README-V3-UPG"
devops-kung-fu/bomber,False,,
chris48s/joi-extension-spdx,False,,
opensbom-generator/spdx-sbom-generator,False,,
whitesource-ps/ws-sbom-generator,False,,
spdx/spdx-maven-plugin,True,release:v1.0.0,"## What's Changed * Add support for SPDX Spec Version 3 by @goneall in https://github.com/spdx/spdx-maven-plugin/pull/171 * Adding an aggregateSpdx goal b"
spandx/spandx,False,,
linterhub/schema,False,,
CycloneDX/cyclonedx-conan,False,,
spdx/spdx-license-diff,False,,
CycloneDX/cyclonedx-authoring-tool,False,,
osism/sbom,False,,
hyperledger-labs/SParts,False,,
raftario/licensor,False,,
spdx/tools-java,True,README,2.spdx TagToRDF.ttl TAG RDFTTL excludeLicenseDetails  To convert from SPDX 2 to SPDX 3.0.1:  * use the file extension `.jsonld.json` or `.jsonld`; * or add the options for the from and to file types:      jav
NodeSecure/licenses-conformance,False,,
sthagen/spdx-lint,False,,
DoSOCSv2/DoSOCSv2,False,,
EmbarkStudios/spdx,False,,
src-d/go-license-detector,False,,
pmonks/tools-licenses,False,,
snyk-tech-services/snyk2spdx,False,,
nexB/license-expression,False,,
spdx/spdx-java-jackson-store,False,,
spdx/spdx-java-rdf-store,False,,
spdx/spdx-examples,False,,
librariesio/spdx,False,,
composer/spdx-licenses,False,,
spdx/spdx-java-tagvalue-store,False,,
moritzruth/license-chooser,False,,
boyter/lc,False,,
jslicense/spdx-correct.js,False,,
philips-software/spdx-action,False,,
goneall/spdxcyclone,False,,
