Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
CycloneDx,Official,google/ko,2019-03-21T19:24:01Z,Go,89,13,928,33,383,7308,45,1013,53,327
CycloneDx,Official,coinbase/salus,2018-10-16T20:25:54Z,HTML,32,21,743,107,1,14,3,2748,18,27
SPDX,Github,tern-tools/tern,2017-11-27T23:32:17Z,Python,59,4,708,23,187,942,31,1102,54,474
CycloneDx,Github,CycloneDX/cyclonedx-dotnet,2018-10-02T21:58:30Z,C#,37,19,677,44,78,164,13,934,47,134
SPDX,Github,CycloneDX/cyclonedx-dotnet,2018-10-02T21:58:30Z,C#,37,19,677,44,78,164,13,934,47,134
SPDX,Github,spdx/meetings,2020-06-04T16:17:09Z,,20,76,617,0,18,23,12,861,4,5
SPDX,Github,CycloneDX/cyclonedx-rust-cargo,2019-05-21T20:48:15Z,Rust,27,15,614,5,38,77,10,1098,29,57
CycloneDx,Github,CycloneDX/cyclonedx-rust-cargo,2019-05-21T20:48:15Z,Rust,27,15,614,5,38,77,10,1098,29,57
CycloneDx,Official,ckotzbauer/sbom-operator,2022-01-08T11:06:01Z,Go,14,1,603,41,24,182,5,895,2,38
CycloneDx,Github,CycloneDX/cyclonedx-python,2018-11-15T05:53:33Z,Python,29,4,558,79,62,213,14,612,9,153
SPDX,Github,CycloneDX/cyclonedx-python,2018-11-15T05:53:33Z,Python,29,4,558,79,62,213,14,612,9,153
CycloneDx,Official,trailofbits/pip-audit,2021-09-02T15:19:39Z,Python,29,6,510,59,61,929,25,606,52,211
CycloneDx,Official,cisco-open/kubei,2020-03-22T12:52:29Z,Go,33,19,490,71,157,1271,29,348,13,122
SPDX,Github,spdx/spdx-spec,2017-05-10T17:47:17Z,Python,39,16,481,11,133,269,34,661,77,360
CycloneDx,Github,CycloneDX/cyclonedx-python-lib,2021-08-27T06:56:39Z,Python,18,4,465,89,30,59,15,645,17,128
SPDX,Github,CycloneDX/cyclonedx-python-lib,2021-08-27T06:56:39Z,Python,18,4,465,89,30,59,15,645,17,128
SPDX,Github,spdx/spdx-3-model,2021-10-17T22:37:45Z,,31,16,462,3,41,63,22,648,50,245
SPDX,Github,fsfe/reuse-tool,2019-04-12T10:46:18Z,Python,102,17,454,11,134,355,21,2236,170,350
SPDX,Github,spdx/tools-python,2015-03-23T21:54:39Z,Python,51,7,454,15,125,164,24,1379,49,287
CycloneDx,Official,AppThreat/cdxgen,2019-12-30T13:55:18Z,JavaScript,74,8,446,294,137,473,13,1189,272,325
CycloneDx,Official,thepwagner/sbom-action,2022-07-13T20:37:36Z,TypeScript,3,1,440,9,0,1,2,929,0,0
CycloneDx,Github,CycloneDX/cyclonedx-php-composer,2019-08-09T00:04:56Z,PHP,7,0,402,44,7,44,5,615,13,63
SPDX,Github,CycloneDX/cyclonedx-php-composer,2019-08-09T00:04:56Z,PHP,7,0,402,44,7,44,5,615,13,63
CycloneDx,Github,CycloneDX/cyclonedx-gomod,2021-03-07T19:21:22Z,Go,9,2,400,36,21,127,7,760,16,58
CycloneDx,Github,CycloneDX/cyclonedx-php-library,2021-09-12T10:00:04Z,PHP,2,3,370,33,0,6,5,572,12,53
SPDX,Github,CycloneDX/cyclonedx-php-library,2021-09-12T10:00:04Z,PHP,2,3,370,33,0,6,5,572,12,53
SPDX,Github,kubernetes-sigs/bom,2021-11-19T13:06:36Z,Go,30,3,367,10,43,305,11,1057,3,64
SPDX,Official,QMSTR/qmstr,2018-01-19T09:50:33Z,Go,10,2,365,0,1,31,1,1219,58,123
SPDX,Github,microsoft/sbom-tool,2022-06-01T16:58:49Z,C#,30,16,361,56,121,1472,23,251,12,159
CycloneDx,Github,CycloneDX/cyclonedx-bom-repo-server,2021-05-27T10:57:35Z,C#,5,13,354,12,14,71,6,231,6,9
SPDX,Github,sw360/sw360portal,2015-09-28T20:56:14Z,Java,18,1,351,10,20,34,24,987,162,313
CycloneDx,Github,CycloneDX/cyclonedx-core-java,2018-05-30T22:50:46Z,Java,29,8,329,0,54,70,7,1105,27,49
SPDX,Github,CycloneDX/cyclonedx-core-java,2018-05-30T22:50:46Z,Java,29,8,329,0,54,70,7,1105,27,49
CycloneDx,Github,CycloneDX/cyclonedx-maven-plugin,2017-06-04T04:33:47Z,Java,24,13,311,48,83,275,14,707,62,118
SPDX,Github,CycloneDX/cyclonedx-maven-plugin,2017-06-04T04:33:47Z,Java,24,13,311,48,83,275,14,707,62,118
CycloneDx,Github,CycloneDX/cyclonedx-gradle-plugin,2018-05-30T14:52:05Z,Java,32,11,293,12,71,141,10,451,78,59
SPDX,Github,CycloneDX/cyclonedx-gradle-plugin,2018-05-30T14:52:05Z,Java,32,11,293,12,71,141,10,451,78,59
SPDX,Github,ardikars/pcap,2019-08-26T11:42:27Z,Java,2,11,282,8,9,40,3,85,0,13
CycloneDx,Github,CycloneDX/cyclonedx.org,2018-07-20T00:58:21Z,HTML,62,3,277,0,74,8,12,1089,14,10
SPDX,Github,philips-software/spdx-builder,2020-07-16T06:14:32Z,Java,5,6,273,18,6,12,2,673,8,10
SPDX,Github,spdx/spdx-online-tools,2017-05-22T23:58:36Z,JavaScript,28,13,272,6,56,59,14,1207,31,210
CycloneDx,Github,CycloneDX/cyclonedx-node-module,2017-06-04T04:34:48Z,,23,1,260,35,37,121,8,503,0,98
SPDX,Github,CycloneDX/cyclonedx-node-module,2017-06-04T04:34:48Z,,23,1,260,35,37,121,8,503,0,98
CycloneDx,Github,CycloneDX/cyclonedx-dotnet-library,2020-10-19T11:52:20Z,C#,22,15,251,40,19,16,5,879,12,25
CycloneDx,Official,jfrog/build-info-go,2021-10-20T14:06:09Z,Go,21,5,222,64,32,60,9,310,23,4
SPDX,Github,CycloneDX/cyclonedx-cli,2020-10-22T11:25:26Z,C#,15,21,203,45,58,263,14,403,84,60
CycloneDx,Github,CycloneDX/cyclonedx-cli,2020-10-22T11:25:26Z,C#,15,21,203,45,58,263,14,403,84,60
SPDX,Github,EmbarkStudios/cargo-about,2019-11-01T08:38:11Z,Rust,23,0,176,26,28,490,5,181,23,47
CycloneDx,Github,CycloneDX/specification,2017-05-29T02:22:06Z,XSLT,16,7,172,7,55,328,28,944,104,167
SPDX,Github,CycloneDX/specification,2017-05-29T02:22:06Z,XSLT,16,7,172,7,55,328,28,944,104,167
SPDX,Github,spdx/tools,2015-03-23T21:46:19Z,Java,17,3,166,23,68,123,18,1015,26,112
CycloneDx,Github,remisbaima/license-checker-cyclonedx-maven-plugin,2022-04-11T17:25:11Z,Java,3,6,157,7,0,4,1,397,0,0
SPDX,Github,lkoskela/license-expressions,2021-11-23T06:49:41Z,TypeScript,2,5,156,0,1,5,1,201,1,1
CycloneDx,Official,sonatype-nexus-community/nancy,2019-01-31T21:30:35Z,Go,24,4,150,115,75,545,20,282,22,100
CycloneDx,Github,CycloneDX/cyclonedx-go,2021-03-02T11:20:02Z,Go,10,3,143,12,27,64,8,271,7,26
SPDX,Github,spdx/tools-golang,2019-01-10T21:31:26Z,Go,20,1,138,11,53,112,12,467,32,72
SPDX,Github,spdx/Spdx-Java-Library,2019-06-07T18:15:28Z,Java,17,2,132,26,33,32,6,512,18,77
CycloneDx,Github,devops-kung-fu/bomber,2022-07-08T15:05:44Z,Go,12,8,123,19,39,462,8,80,13,76
SPDX,Github,devops-kung-fu/bomber,2022-07-08T15:05:44Z,Go,12,8,123,19,39,462,8,80,13,76
SPDX,Github,chris48s/joi-extension-spdx,2022-06-26T18:50:34Z,JavaScript,2,1,119,0,0,0,2,234,0,0
SPDX,Github,opensbom-generator/spdx-sbom-generator,2021-05-19T19:35:04Z,Go,27,12,114,15,107,377,20,388,118,63
SPDX,Github,whitesource-ps/ws-sbom-generator,2021-04-12T09:48:48Z,Python,12,1,114,62,7,32,7,170,25,31
SPDX,Github,spdx/spdx-maven-plugin,2014-01-13T19:55:58Z,Java,14,0,108,17,26,39,5,246,12,43
CycloneDx,Github,CycloneDX/cyclonedx-web-tool,2021-05-21T12:46:14Z,HTML,4,7,107,14,5,26,4,146,8,5
SPDX,Github,spandx/spandx,2019-11-23T00:28:25Z,Ruby,3,1,103,0,2,3,1,914,0,0
SPDX,Github,linterhub/schema,2018-06-13T20:10:00Z,JavaScript,2,1,101,10,3,2,4,91,14,74
CycloneDx,Official,sonatype-nexus-community/auditjs,2015-09-01T06:16:45Z,TypeScript,21,10,96,139,53,221,13,389,34,135
CycloneDx,Github,CycloneDX/cyclonedx-conan,2021-10-14T11:05:30Z,Python,6,7,88,4,13,23,5,42,9,4
SPDX,Github,CycloneDX/cyclonedx-conan,2021-10-14T11:05:30Z,Python,6,7,88,4,13,23,5,42,9,4
SPDX,Github,spdx/spdx-license-diff,2018-04-15T04:41:03Z,JavaScript,4,2,86,29,4,33,6,373,9,24
CycloneDx,Github,CycloneDX/cyclonedx-authoring-tool,2020-01-04T01:04:22Z,Vue,3,7,85,0,2,7,7,16,3,0
SPDX,Github,CycloneDX/cyclonedx-authoring-tool,2020-01-04T01:04:22Z,Vue,3,7,85,0,2,7,7,16,3,0
CycloneDx,Github,CycloneDX/cyclonedx-node-yarn,2022-06-25T06:08:00Z,TypeScript,4,4,81,7,4,12,6,135,8,25
SPDX,Github,osism/sbom,2022-03-16T12:04:53Z,Python,3,4,76,0,1,2,1,88,1,2
CycloneDx,Official,sonatype-nexus-community/jake,2019-10-10T20:05:24Z,Python,15,4,75,29,24,104,8,536,22,48
SPDX,Official,hyperledger-labs/SParts,2018-03-12T21:51:02Z,Go,5,1,73,0,9,12,10,96,4,0
SPDX,Github,raftario/licensor,2019-09-19T21:10:28Z,Rust,5,12,73,5,11,191,7,98,2,8
SPDX,Github,spdx/tools-java,2020-01-06T18:02:19Z,Java,12,1,70,17,33,56,6,233,10,59
SPDX,Github,NodeSecure/licenses-conformance,2021-08-30T20:47:45Z,JavaScript,7,3,67,4,2,1,1,73,0,5
SPDX,Github,sthagen/spdx-lint,2021-02-28T10:40:00Z,Python,1,0,61,4,0,1,2,2218,0,0
CycloneDx,Github,conda-forge/cyclonedx-python-lib-feedstock,2021-11-01T15:39:51Z,,6,0,60,0,5,0,7,182,1,2
SPDX,Github,DoSOCSv2/DoSOCSv2,2015-05-28T18:44:08Z,Python,12,6,59,3,20,15,9,682,14,49
SPDX,Github,EmbarkStudios/spdx,2019-09-02T15:30:42Z,Rust,19,0,57,28,17,33,6,93,3,9
CycloneDx,Github,CycloneDX/cyclonedx-linux-generator,2021-05-20T15:48:46Z,Java,5,9,55,0,13,38,7,79,5,0
SPDX,Github,src-d/go-license-detector,2018-01-30T09:21:57Z,Go,14,4,55,10,39,234,11,169,7,14
CycloneDx,Official,thinksabin/DTrackAuditor,2020-05-29T22:51:01Z,Python,8,1,53,6,11,10,4,211,0,5
CycloneDx,Github,nicexgk/cyclonedx,2021-05-28T13:06:28Z,HTML,8,7,48,0,0,0,2,273,0,0
CycloneDx,Github,CycloneDX/cyclonedx-property-taxonomy,2021-09-03T03:45:07Z,,24,4,46,0,27,14,10,131,10,29
