Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
SPDX,Github,domcleal/spdx-licenses,2014-12-09T10:25:28Z,Ruby,4,1,4,1,12,14,3,17,3,1
SPDX,Github,doubleopen-project/spdx-toolkit,2021-10-21T19:17:16Z,Rust,2,0,4,3,0,0,3,18,0,0
SPDX,Github,HansHammel/license-compatibility-checker,2017-01-04T23:21:57Z,JavaScript,2,2,4,0,6,91,3,95,5,12
CycloneDx,Official,ozonru/dtrack-audit,2019-10-11T09:30:02Z,Go,1,2,4,1,14,47,12,50,9,6
SPDX,Github,rpavlik/spdx-to-dep5,2021-10-13T21:05:26Z,Rust,2,0,4,0,0,3,3,91,3,6
SPDX,Github,shnitish/spdx-html,2019-08-03T12:53:43Z,HTML,1,0,4,0,0,0,1,10,0,0
SPDX,Github,spdx/canonical-serialisation,2022-07-11T13:12:10Z,CSS,1,0,4,0,1,2,7,9,4,2
SPDX,Github,swinslow/cmake-spdx,2020-08-30T04:42:08Z,Python,2,0,4,0,3,23,6,31,4,2
SPDX,Github,Terkwood/spdx-blaster,2020-05-17T16:36:31Z,Rust,1,0,4,4,0,3,2,33,10,2
SPDX,Github,tngraf/Tethys.SPDX,2022-02-09T18:58:01Z,C#,3,0,4,5,1,0,1,56,0,2
SPDX,Github,conda-forge/spdx-license-matcher-feedstock,2022-02-05T08:42:39Z,,5,2,3,0,1,0,7,12,0,0
SPDX,Github,DBOMproject/tools,2021-01-15T18:33:09Z,Python,3,2,3,0,0,0,4,9,0,0
SPDX,Github,Fabien-Chouteau/spdx_ada,2020-10-22T13:50:20Z,Ada,1,0,3,2,0,0,2,12,0,0
SPDX,Github,flexera-public/sca-codeinsight-reports-spdx,2020-10-20T22:43:46Z,Python,2,2,3,0,2,2,3,209,0,1
SPDX,Github,kyoh86/go-spdx,2017-05-21T09:09:17Z,Go,4,0,3,0,4,4,4,51,0,4
CycloneDx,Github,ozonru/cyclonedx-go,2020-01-30T07:29:09Z,Go,1,0,3,1,3,20,9,18,4,2
SPDX,Github,spdx/ATTIC-tools-go,2015-03-23T21:55:34Z,Go,5,0,3,0,10,6,6,137,0,0
SPDX,Github,spdx/spdx-adoption,2019-05-08T20:33:20Z,,3,2,3,0,3,3,5,7,0,0
CycloneDx,Official,Andrii-Grytsenko-OWASP/SnykVulnCheck,2022-03-08T11:45:41Z,Python,2,0,2,0,2,3,1,13,1,0
CycloneDx,Github,angrymeir/CycloneDX-test,,,2,2,2,2,0,0,0,2,0,0
CycloneDx,Github,AppThreat/cdxgen-action,2020-01-06T14:28:44Z,JavaScript,1,1,2,2,6,10,4,15,2,0
SPDX,Github,arsharaj/spdx-license-fetcher,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,aschet/spdx-license-expression-tools,2017-04-14T21:12:16Z,Java,3,0,2,3,2,4,2,24,0,0
SPDX,Github,Cantido/spdx_cli,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,citation-file-format/get-spdx-licenses,2021-05-15T10:38:21Z,TypeScript,1,0,2,0,0,4,2,32,0,0
SPDX,Github,dephell/dephell_licenses,2019-03-25T18:13:21Z,Python,2,0,2,0,3,1,3,40,0,0
SPDX,Github,desenvolvendo-me/spdxyz,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,DimarrWS/ws_joint_spdx,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,doubleopen-project/example-spdx-analysis,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,evenorog/license,2019-10-26T21:32:44Z,Rust,3,0,2,0,1,8,2,124,1,2
SPDX,Github,freight-trust/legal,2020-06-20T17:05:40Z,Roff,0,0,2,4,1,0,2,60,1,0
SPDX,Github,hen/spdx-cheat-sheet,2019-05-11T17:10:01Z,,3,0,2,0,3,4,1,20,0,0
SPDX,Github,jslicense/spdx-to-html.js,2015-05-22T06:35:19Z,JavaScript,2,0,2,0,2,3,2,48,1,0
SPDX,Github,lokeshjoshi01/Simple-Storage-Solidiy,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,matthewb66/bd_export_spdx2.2,2020-09-29T08:36:30Z,Python,1,0,2,0,3,4,3,25,3,3
SPDX,Github,micziz/Licenses-In-All-Languages,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,mil-oss/spdx-xsd,2018-05-30T03:35:15Z,XSLT,2,0,2,0,3,7,10,122,0,3
CycloneDx,Github,nil-labs/cdx-helm-tools,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,noelmace/ngu-repro-spdx,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,noi-techpark/solda-debian2spdx-standalone,2021-07-02T08:36:11Z,,1,0,2,0,1,0,2,1,0,0
CycloneDx,Github,ribbybibby/tally,,,2,2,2,2,0,0,0,2,0,0
CycloneDx,Github,sameer1046/CycloneDX-BOMReader,,,2,2,2,2,0,0,0,2,0,0
CycloneDx,Github,sbomtools/sbomtools,2022-01-28T06:10:19Z,Python,1,0,2,0,1,7,2,39,0,2
SPDX,Github,sbomtools/sbomtools,2022-01-28T06:10:19Z,Python,1,0,2,0,1,7,2,39,0,2
SPDX,Github,sekunho/cabal-check-fail,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,siemens/spdx-licenselist,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,SPDX-Git/SPDX-Git-Scanner,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,stdarg/spdx-licenses,2014-01-05T20:27:05Z,JavaScript,3,1,2,0,3,6,3,15,1,0
SPDX,Github,swinslow/kernel-spdx-ids,2018-12-12T23:07:34Z,Go,1,0,2,0,1,4,2,6,2,0
SPDX,Github,tk-tanab/spdx_lite_depends,2022-07-05T05:22:53Z,Python,3,1,2,0,3,1,1,31,0,0
SPDX,Github,ubinux/get_spdx,2019-09-06T08:26:30Z,Python,0,0,2,0,1,0,4,10,0,0
SPDX,Github,whitesource-ps/ws-import-spdx,,,2,2,2,2,0,0,0,2,0,0
SPDX,Github,ah450/spdx-tools-python,2014-05-20T10:46:35Z,Python,3,0,1,0,1,5,2,182,8,2
CycloneDx,Github,alvinchchen/cyclonedx-buildroot,2020-03-16T05:52:06Z,Python,1,1,1,0,1,5,3,7,1,0
SPDX,Github,apolopena/qna-demo-skeleton,2021-03-29T21:17:56Z,Blade,1,0,1,1,1,0,2,9,0,1
SPDX,Github,apolopena/qna-typescript-demo-skeleton,2021-05-21T18:51:16Z,Blade,1,0,1,1,1,0,2,10,0,2
SPDX,Github,bobby0809/spdx-license-list-XML,2018-07-14T00:49:14Z,Makefile,16,1,1,0,0,0,1,2000,0,0
SPDX,Github,chris-toenjes-deye/salus-spdx-to-osv,2022-08-10T12:58:33Z,Java,3,0,1,0,0,1,1,29,0,1
CycloneDx,Github,CycloneDX/cyclonedx-bom-exchange-api,2021-06-18T09:46:35Z,,2,1,1,0,3,28,15,10,10,1
CycloneDx,Github,CycloneDX/sbom-combiner,2021-05-20T15:44:32Z,Java,2,1,1,0,3,11,3,3,2,1
CycloneDx,Github,CycloneDX/sbom-comparator,2021-05-20T15:45:40Z,Java,2,0,1,0,1,18,4,3,1,0
CycloneDx,Github,djschleen/sbom-release-example,2022-07-27T16:31:13Z,Go,1,2,1,8,0,0,1,3,0,0
SPDX,Github,djschleen/sbom-release-example,2022-07-27T16:31:13Z,Go,1,2,1,8,0,0,1,3,0,0
SPDX,Github,ekongobie/spdx-py-build-tool,2020-06-05T10:56:02Z,Python,1,2,1,1,2,1,3,7,1,0
SPDX,Github,extenda/spdx-maven-plugin,2013-11-02T09:58:03Z,,1,1,1,0,2,0,4,4,0,0
CycloneDx,Github,FiniteStateInc/cyclonedx-property-taxonomy,2022-06-03T14:47:05Z,,2,0,1,0,0,2,17,7,0,0
CycloneDx,Github,flexera-public/sca-codeinsight-reports-cyclonedx,2022-06-13T14:46:32Z,Python,1,2,1,0,2,2,3,52,0,0
SPDX,Github,Fosslim/fosslim,2017-08-08T09:51:20Z,Rust,1,0,1,0,0,4,4,30,16,16
SPDX,Github,Gal-Doron/spdx_tools-0.7.0a3_ws-py3-none-any,2021-11-28T11:14:07Z,,1,1,1,0,0,1,1,2,0,0
SPDX,Github,goneall/spdx-use-cases,2021-09-21T18:05:05Z,,2,0,1,0,1,0,1,5,1,0
CycloneDx,Github,hanstdam/cdx-bower-bom,2020-02-03T14:44:29Z,JavaScript,2,0,1,1,1,0,1,13,0,0
SPDX,Github,hernanmd/license-selector,2021-08-26T07:22:40Z,Smalltalk,1,0,1,0,1,3,3,13,0,1
SPDX,Github,jonathanstowe/License-SPDX,2019-02-20T12:17:56Z,Raku,1,0,1,2,3,0,2,39,0,3
SPDX,Github,jslicense/spdx-compare.js,2015-07-18T20:32:46Z,JavaScript,1,1,1,0,3,3,2,21,0,0
SPDX,Github,jslicense/spdx-is-osi.js,2015-12-27T01:22:56Z,JavaScript,1,0,1,0,1,0,2,22,0,2
SPDX,Github,jslicense/spdx-ranges.js,2015-08-01T23:52:35Z,,1,0,1,0,1,0,2,20,0,1
CycloneDx,Github,kube-tarian/fixer,2022-07-26T06:29:23Z,,3,1,1,0,0,0,1,12,0,0
SPDX,Github,kube-tarian/fixer,2022-07-26T06:29:23Z,,3,1,1,0,0,0,1,12,0,0
SPDX,Github,lfpratik/spdx-poetry-demo,2021-05-27T10:11:06Z,Python,1,0,1,0,1,0,2,19,0,0
SPDX,Github,microsoft/spdx-simplify,2016-05-25T05:41:31Z,JavaScript,1,1,1,0,11,9,10,3,0,0
SPDX,Github,mmurto/spdx-typescript,2020-04-20T19:41:32Z,TypeScript,1,6,1,0,0,1,1,26,0,0
SPDX,Github,msmeissn/rpm-list-to-sbom,2022-07-25T11:43:46Z,Perl,2,0,1,0,0,2,1,9,0,0
SPDX,Github,ndip007/spdx-tools-js,2019-06-04T15:16:47Z,JavaScript,1,7,1,0,3,0,2,28,5,3
SPDX,Github,nektro/zig-detect-license,2021-07-28T07:05:50Z,Zig,2,0,1,0,0,0,4,12,0,0
SPDX,Github,nexB/spdx-license-namespaces-registry,2019-03-06T18:41:02Z,,1,0,1,0,0,0,5,3,0,0
SPDX,Github,nhoyas88/https-spdx.org-licenses-WTFPL.html,2020-04-29T01:50:54Z,,1,0,1,0,0,0,1,4,0,0
CycloneDx,Github,pasientskyhosting/cdxgen,2022-06-20T10:03:48Z,Dockerfile,2,3,1,0,0,0,4,4,1,0
SPDX,Github,pombredanne/spdx-dashboard,2013-02-20T03:21:58Z,Ruby,7,0,1,0,0,0,1,116,0,0
SPDX,Github,sean-clayton/licensor,2020-10-02T22:51:58Z,Rust,2,0,1,4,1,5,2,34,0,0
SPDX,Github,senorprogrammer/spdx-racer,2021-05-05T22:25:16Z,Go,1,0,1,0,0,0,3,13,0,0
SPDX,Github,shinnn/get-spdx-license-ids,2016-01-12T10:23:14Z,JavaScript,2,0,1,0,3,0,1,22,0,3
CycloneDx,Github,sonatype-nexus-community/cyclonedx-sbom-examples,2020-07-30T08:58:40Z,Java,3,0,1,0,7,6,13,29,32,1
SPDX,Github,SPDX-CaseStudy/files,2017-05-31T15:53:03Z,,2,0,1,0,3,0,2,14,0,0
SPDX,Github,spdx/spdx-tools-js,2020-01-08T02:32:44Z,JavaScript,3,0,1,0,2,9,4,31,4,0
CycloneDx,Github,sudo-bmitch/convert-nix-cyclonedx,2021-10-20T19:51:03Z,Go,2,0,1,0,2,4,2,5,0,0
SPDX,Github,swinslow/spdx-oin,2018-12-09T23:15:32Z,Go,1,0,1,0,0,1,3,10,0,0
SPDX,Github,Tokenbaldu/TOKEN-BALDU,2021-12-27T17:23:15Z,,1,0,1,0,1,1,1,4,0,0
CycloneDx,Official,veracode/srcclr_sbom_gen,2021-07-19T13:42:36Z,Python,3,0,1,0,2,1,1,7,0,0
SPDX,Github,vkambhampaty/SPDX-2.0,2015-03-11T14:04:45Z,,2,0,1,0,2,0,2,9,0,5
SPDX,Github,y-ashiduka/fossdriver-test,2019-11-12T10:50:34Z,Python,1,0,1,0,1,1,1,3,0,0
SPDX,Github,15-Lippo/lisprocoin,2021-10-15T14:38:36Z,,1,0,0,0,0,1,1,1,9,0
SPDX,Github,9999years/spdx-tool,2020-09-08T21:07:03Z,Python,1,0,0,0,0,0,3,5,0,0
SPDX,Github,Aaronvivek/fuck-token-staking-contract,2022-06-20T19:22:34Z,,1,0,0,0,0,0,1,1,0,0
SPDX,Github,aaronxsu/licenses-json-to-sql,2018-02-12T18:34:49Z,Scala,1,0,0,0,0,0,2,4,0,0
SPDX,Github,abate/LicenseMatrix,2016-02-27T18:01:02Z,CoffeeScript,0,0,0,0,0,0,2,25,0,0
SPDX,Github,adaptant-labs/spdx-licenses-dart,2019-03-19T23:15:36Z,Dart,1,0,0,0,1,4,2,3,2,0
SPDX,Github,adirel/spdx,2016-11-28T15:36:10Z,,1,0,0,0,0,0,2,1,0,0
CycloneDx,Github,adracea/gha-sbomb-merge,2022-04-07T16:32:50Z,Python,1,0,0,3,0,0,1,10,0,0
CycloneDx,Github,agschrei/cyclonedx-viewer,2021-09-29T23:11:54Z,Go,1,0,0,0,1,1,1,6,0,0
CycloneDx,Github,aidansteele/cyclonedx-webpack-repro,2021-12-15T01:54:03Z,JavaScript,1,0,0,0,0,0,3,1,0,0
SPDX,Github,AjayrajSingh/licenseClassifier,2021-03-29T11:47:11Z,Dart,1,0,0,0,1,0,1,27,0,0
SPDX,Github,all-nights/spdxer,2022-07-26T07:21:24Z,Go,0,0,0,0,0,0,0,1,0,0
CycloneDx,Github,AnalogJ/tangle,2021-11-30T03:43:03Z,Go,1,0,0,0,0,0,3,13,0,0
SPDX,Github,AnalogJ/tangle,2021-11-30T03:43:03Z,Go,1,0,0,0,0,0,3,13,0,0
SPDX,Github,Anas35/sample_code,2021-04-07T16:53:45Z,Dart,1,0,0,0,0,0,1,5,0,0
SPDX,Github,anthonyronda/LicenseRef-OGL-1.0a,2021-06-15T03:19:03Z,,1,0,0,0,2,1,1,14,0,0
SPDX,Github,aodag/wheel2spdx,2022-05-27T10:21:42Z,Python,1,0,0,0,0,0,1,4,0,0
SPDX,Github,aschet/spdx-license-compat,2017-04-21T16:54:25Z,Java,1,1,0,1,1,2,3,13,0,0
SPDX,Github,aschet/talc,2017-04-20T10:43:07Z,Java,1,0,0,1,1,0,3,13,0,0
SPDX,Github,AvishrantsSh/GoLicense-Classifier,2021-05-24T17:01:22Z,Python,1,0,0,2,0,1,3,39,0,0
SPDX,Github,ayamaoka/SPDX_Resource_Slides,2018-08-07T08:15:29Z,,1,0,0,0,0,1,2,2,0,0
SPDX,Github,ayan-b/spdx_xml_to_markdown,2020-03-08T05:38:23Z,Dart,1,0,0,0,0,1,2,8,0,0
SPDX,Github,BabyFlokiCoin/Baby-Floki-Coin,2021-09-28T21:26:06Z,,1,0,0,0,4,12,1,3,0,0
SPDX,Github,baptistecabrera/bca-spdx,2020-07-02T14:50:20Z,PowerShell,1,0,0,0,0,2,1,30,0,1
SPDX,Github,basta1255s/owntoken.sol,2021-06-23T11:59:44Z,Solidity,1,0,0,0,2,11,1,5,1,0
SPDX,Github,bbqsrc/spdx-lookup-python,2015-12-29T09:57:22Z,Python,1,0,0,0,3,7,3,11,2,0
SPDX,Github,bbqsrc/spdx-python,2015-12-29T09:33:12Z,Python,1,0,0,0,4,0,2,9,1,1
SPDX,Github,bconnorwhite/spdx-license,2020-09-07T22:30:21Z,TypeScript,1,0,0,0,0,1,1,6,0,0
CycloneDx,Github,bgnetworks/meta-dependencytrack,2022-05-13T23:28:33Z,,0,6,0,0,18,15,5,4,3,1
SPDX,Github,bharat-1809/spdx_xml_parser,2021-03-20T10:39:46Z,Dart,1,0,0,0,0,1,2,27,0,0
SPDX,Github,bluspider/spdx,2018-07-09T11:50:20Z,,1,1,0,0,0,0,1,2,0,0
SPDX,Github,bobby0809/spdx.is,2018-07-17T21:31:42Z,JavaScript,2,0,0,0,0,0,1,78,0,0
CycloneDx,Github,BranBerAVI/python_advanced_bom_creator,2021-03-01T17:57:31Z,Python,1,0,0,0,0,0,1,9,0,0
SPDX,Github,BULLBITBULL/CONTRACT,2021-11-30T17:40:03Z,,1,0,0,0,1,0,1,3,0,0
CycloneDx,Github,ButterB0wl/jake-sbom-ado-iq-example,2020-05-12T01:02:16Z,,1,0,0,0,0,0,2,7,0,0
SPDX,Github,CatalinStratu/SPDX-generics-code-refactoring-example,2022-04-03T07:25:35Z,Go,1,0,0,0,0,0,1,1,0,0
SPDX,Github,chinmoy12c/spdxLicense,2021-04-05T13:09:13Z,Dart,1,0,0,0,0,0,1,1,0,0
SPDX,Github,ChristianMurphy/apache-category-a-spdx,2018-09-27T01:59:05Z,JavaScript,1,0,0,0,0,0,3,5,0,0
SPDX,Github,ChristianMurphy/apache-category-b-spdx,2018-09-27T03:33:57Z,JavaScript,1,0,0,0,0,0,3,2,0,0
SPDX,Github,ChristianMurphy/apache-category-x-spdx,2018-09-27T03:34:36Z,JavaScript,1,0,0,0,0,0,3,4,0,0
SPDX,Github,compenguy/spdx-dataset,2019-03-02T21:29:08Z,Rust,1,0,0,0,0,0,2,8,0,0
SPDX,Github,cordlandwehr/akademy-2020-talk-spdx,2021-06-13T07:04:41Z,TeX,1,0,0,0,0,0,2,2,0,0
SPDX,Github,cordlandwehr/akademy-2021-spdx-status,2021-06-18T14:14:11Z,TeX,1,0,0,0,0,0,2,2,0,0
SPDX,Github,cthoyt/spdx-obo,2021-05-07T13:00:05Z,Python,1,0,0,0,0,0,3,3,0,0
SPDX,Github,ctron/cargo-clearlydefined,2020-09-03T15:50:35Z,Rust,1,0,0,1,0,0,3,14,0,0
SPDX,Github,CultOfClang/Spdx,2020-12-01T02:20:53Z,C#,1,0,0,0,0,0,1,6,0,0
SPDX,Github,cwege/disco-opa,2021-12-05T21:16:35Z,,1,0,0,0,0,0,1,3,0,0
CycloneDx,Github,CycloneDX/cyclonedx-nuget,2018-08-03T04:53:19Z,Java,1,0,0,0,1,2,2,19,0,0
SPDX,Github,CycloneDX/cyclonedx-nuget,2018-08-03T04:53:19Z,Java,1,0,0,0,1,2,2,19,0,0
CycloneDx,Github,CycloneDX/gh-dotnet-generate-sbom,2020-06-22T11:21:19Z,JavaScript,1,1,0,1,4,8,4,20,2,1
CycloneDx,Github,danielpaulomalley/cyclonedx-node-module,2022-05-19T17:06:41Z,JavaScript,20,0,0,0,0,0,1,437,0,0
SPDX,Github,davaya/spdx-3-elements,2022-07-18T18:42:41Z,Python,1,0,0,0,0,0,1,24,0,0
SPDX,Github,davaya/spdx-world,2021-12-06T03:22:32Z,Python,1,0,0,0,0,0,1,4,0,0
SPDX,Github,davaya/spdxv3-template-tool,2021-07-13T14:12:45Z,Python,1,0,0,0,1,1,2,49,0,0
SPDX,Github,Debian/spdx-licenses,2020-03-26T16:23:45Z,,1,0,0,0,3,3,4,8,0,0
SPDX,Github,deepak6446/spdxValidator,2019-04-23T14:10:55Z,JavaScript,1,4,0,0,0,0,2,17,0,0
CycloneDx,Official,defenseunicorns/sbom-cli,2021-10-04T13:53:19Z,Go,1,0,0,0,2,11,2,4,1,0
SPDX,Github,Devforlive/SPDX-short-identifier-MIT,2017-11-15T14:36:14Z,,1,0,0,0,0,1,0,3,0,0
SPDX,Github,dmgerman/spdxTemplates,2013-04-17T18:54:03Z,,1,0,0,0,1,0,2,18,0,0
SPDX,Github,doubleopen-project/do-convert,2022-05-03T12:56:39Z,Kotlin,1,0,0,0,0,0,2,13,0,0
SPDX,Github,dpasch01/spdx-compat-tools,2015-06-12T06:33:45Z,Java,1,0,0,0,3,1,2,12,0,0
SPDX,Github,dpasch01/spdx-compat-tools-webapp,2016-09-17T12:16:05Z,JavaScript,1,0,0,0,1,1,1,2,0,0
SPDX,Github,DrSensor/granular-licensing-example,2021-02-21T02:34:33Z,Nix,1,0,0,0,2,3,3,47,0,0
SPDX,Github,DST-QA/pytest-Java-build-failure,2021-09-18T22:22:39Z,Java,1,0,0,0,0,0,1,1,0,0
SPDX,Github,ekongobie/spdx_id_doc_gen,2019-06-07T08:44:08Z,Python,1,0,0,0,3,4,1,18,0,1
SPDX,Github,ekongobie/spdx-npm-build-tool,2020-07-31T15:53:02Z,Python,1,4,0,0,2,1,2,4,0,0
CycloneDx,Official,elear/apt2sbom,2021-12-08T18:53:37Z,Python,1,0,0,0,10,22,4,50,1,0
SPDX,Github,ElvisPresleyCoin/Contract-of-ELVIS,2022-07-22T14:21:29Z,,1,0,0,0,1,0,0,1,0,0
SPDX,Github,emem365/spdx_parser,2021-03-18T19:16:00Z,Dart,1,0,0,0,0,0,2,2,0,0
SPDX,Github,etrexel/spdx-verifier-go,2021-12-16T01:55:37Z,Go,1,0,0,0,0,0,2,1,0,0
SPDX,Github,euantorano/spdx_licenses.nim,2018-07-25T15:57:56Z,Nim,1,0,0,0,0,1,2,8,0,0
SPDX,Github,fegcashcommunity/fegcashcontract,2021-07-27T18:08:06Z,Solidity,1,0,0,0,2,1,1,3,0,0
CycloneDx,Github,feliceg77/bom-scala-maven,2021-08-24T13:37:06Z,,1,0,0,0,0,1,1,5,0,0
SPDX,Github,Fosslim/license_matcher,2017-09-13T13:05:05Z,Roff,1,1,0,0,2,2,2,19,1,9
SPDX,Github,freight-trust/spdx-asc-x12,2020-09-22T22:44:54Z,,0,0,0,0,0,0,2,6,0,0
CycloneDx,Github,geirem/bom-tracker,2020-02-26T09:26:35Z,Python,1,0,0,1,1,1,1,23,0,0
CycloneDx,Github,georgearnall/yarn-workspaces-example,2020-10-02T13:01:32Z,,0,1,0,0,0,1,2,3,0,0
SPDX,Github,gkapi/SPDXCompatTools,2014-01-17T13:15:04Z,JavaScript,0,0,0,0,2,3,2,8,0,0
SPDX,Github,GMishx/spdx-test-data,2019-07-08T12:50:12Z,C,1,0,0,0,1,0,1,2,0,0
SPDX,Github,goneall/Spdx-Java-Xml-Store,2020-05-27T16:46:27Z,,1,0,0,0,0,0,1,1,0,0
SPDX,Github,goneall/SpdxEclipsePlugin,2015-03-18T05:10:06Z,Java,1,0,0,0,1,0,2,2,0,0
SPDX,Github,gs146/software_package_data_exchange_list-SPDX-_scraping,2019-09-04T12:04:44Z,Jupyter Notebook,1,0,0,0,0,0,2,4,0,0
SPDX,Github,hangal2001/SPDXHub,2015-02-09T23:12:46Z,PHP,3,0,0,0,0,0,2,41,0,0
SPDX,Github,hastagAB/SPDX-OSS-Dataset,2020-04-02T17:00:31Z,Python,1,1,0,0,2,0,2,3,0,0
SPDX,Github,hattya/license.vim,2016-05-18T14:32:29Z,Vim Script,1,0,0,0,0,2,3,81,0,0
SPDX,Github,heliocastro/ortsample,2021-03-30T06:07:10Z,C++,1,0,0,0,0,0,1,1,0,0
SPDX,Github,hixio-mh/apis.google.com-js-api.js,2021-05-10T06:34:17Z,,1,0,0,0,2,1,1,1,0,0
SPDX,Github,hoijui/SPDX-identifiers,2021-10-22T08:03:26Z,,1,0,0,0,0,1,2,23,0,0
SPDX,Github,hoijui/SPDX-identifiers-generator,2021-10-22T20:00:20Z,Shell,1,0,0,0,0,0,2,6,0,0
SPDX,Github,howderek/get-license,2017-06-09T17:28:51Z,JavaScript,1,0,0,0,0,0,1,5,0,0
SPDX,Github,Inconnu08/multi-spdx-license-parser,2021-12-03T19:09:53Z,Python,1,0,0,0,0,0,2,1,1,0
SPDX,Github,JackTien/bd_export_spdx2.2,2022-06-20T01:22:45Z,Python,5,0,0,0,0,0,1,87,0,0
SPDX,Github,jdelapla/GraphGenerator,2015-09-17T15:59:56Z,C++,1,0,0,0,1,0,1,18,0,0
SPDX,Github,jeremiah/spdxl,2015-08-20T21:35:27Z,Perl,1,0,0,0,1,1,2,82,11,10
SPDX,Github,JeroenKnoops/test-spdx-action,2021-01-22T08:49:25Z,JavaScript,1,3,0,0,2,1,3,22,0,0
SPDX,Github,jfontan/nonSpdx,2020-02-05T13:59:36Z,Ruby,1,0,0,0,0,0,2,1,0,0
SPDX,Github,joerter/spdx-dashboard,2014-01-29T20:00:23Z,JavaScript,3,0,0,1,1,0,4,143,12,23
SPDX,Github,johannes-klein/spdx-eclipse-editor-plugin,2012-11-12T14:56:37Z,Java,1,0,0,0,1,1,0,15,0,0
SPDX,Github,johnjamesmccann/xerces-3.2.3-DTD-hotfix,2022-01-20T13:43:38Z,C++,0,0,0,0,0,0,1,2,0,0
SPDX,Github,jslicense/spdx-copyleft.json,2016-01-13T07:34:27Z,JavaScript,1,0,0,0,1,4,2,12,0,1
SPDX,Github,jslicense/spdx-expression-validate.js,2015-08-02T03:51:15Z,JavaScript,2,0,0,0,1,0,2,86,1,0
SPDX,Github,jslicense/spdx-license-identifiers.json,2020-08-31T18:15:49Z,JavaScript,1,0,0,0,0,2,2,12,0,0
SPDX,Github,jslicense/spdx-osi.json,2015-12-27T00:45:06Z,JavaScript,2,0,0,0,1,1,2,68,0,2
SPDX,Github,jslicense/spdx-whitelisted.js,2019-03-28T03:51:02Z,JavaScript,3,0,0,0,0,0,2,47,0,0
SPDX,Github,jsvcycling/fetchalicense,2022-07-13T01:15:44Z,Python,1,0,0,0,0,0,3,4,0,0
SPDX,Github,jthomp24/ProductHistoryUtility,2014-03-22T02:42:47Z,PHP,3,0,0,0,1,0,2,75,0,0
SPDX,Github,juancarlospaco/parselicense,2020-04-08T11:26:20Z,Nim,1,0,0,0,1,4,4,14,0,0
CycloneDx,Github,kakumara/cyclonedx-maven-plugin-test,2021-11-24T10:03:37Z,Java,1,0,0,0,0,0,1,4,0,0
SPDX,Github,kariu87/test,2022-02-03T17:07:28Z,,1,0,0,0,0,0,1,1,0,0
CycloneDx,Github,karolswdev/cyclonedx-0-9-1-bug,2020-02-10T20:33:19Z,C#,1,0,0,0,0,0,2,1,0,0
SPDX,Github,Kazzira/SPDX-Git-Test-Repo,2015-03-17T23:21:27Z,,1,0,0,0,1,0,2,12,0,0
SPDX,Github,KDE/licensedigger,2020-06-20T07:59:29Z,C++,15,0,0,0,3,4,4,252,0,0
SPDX,Github,KeKo6988/K3k0,2021-05-06T00:25:39Z,,1,0,0,0,0,0,1,1,0,0
SPDX,Github,kemitchell/spdx.kemitchell.com,2019-03-23T16:25:35Z,JavaScript,1,0,0,0,0,0,3,5,0,0
SPDX,Github,keszybz/repo-license-summary,2021-01-28T09:19:28Z,Python,1,0,0,0,0,0,3,15,0,0
SPDX,Github,kit-ty-kate/spdx_licenses,2021-07-23T18:52:37Z,OCaml,1,0,0,3,0,6,3,34,0,2
SPDX,Github,kohldampfer/spdx-test,2018-10-01T12:27:36Z,,1,0,0,0,0,0,2,3,0,0
SPDX,Github,koizumistr/SPDX2Lite,2022-02-19T05:06:53Z,Ruby,1,0,0,3,0,1,2,10,0,0
SPDX,Github,krysnuvadga/wp-spdx-spec,2019-05-10T23:34:43Z,PHP,1,0,0,0,0,0,2,13,0,0
SPDX,Github,kshitij5/spdx-license-fetcher,2021-04-10T19:57:00Z,Dart,1,0,0,0,0,0,1,6,0,0
SPDX,Github,KY-Programming/license-to-json,2022-01-07T10:36:26Z,TypeScript,1,0,0,3,0,0,1,4,0,0
SPDX,Github,L1malucas/AutoHeaderSPDX,2021-01-30T15:55:23Z,,1,0,0,0,0,0,1,1,0,0
SPDX,Github,lfpratik/spdx-conda-demo,2021-05-27T10:20:09Z,,1,0,0,0,0,0,2,2,0,0
SPDX,Github,lfpratik/spdx-gen-demo,2021-05-27T10:19:37Z,,1,0,0,0,0,0,2,2,0,0
SPDX,Github,lfpratik/spdx-pipenv-demo,2021-05-27T10:10:11Z,Python,1,3,0,0,0,0,2,13,0,0
SPDX,Github,lfpratik/spdx-venv-demo,2021-05-27T10:15:18Z,Python,1,0,0,0,0,0,2,16,0,0
