Date,filters,Count,Format
2007-12-13,Maintainers,5,SPDX
2007-12-13,Contributors,0,SPDX
2007-12-13,Users,0,SPDX
2007-12-13,Observers,0,SPDX
2008-01-12,Maintainers,6,SPDX
2008-01-12,Contributors,0,SPDX
2008-01-12,Users,0,SPDX
2008-01-12,Observers,0,SPDX
2008-02-11,Maintainers,5,SPDX
2008-02-11,Contributors,0,SPDX
2008-02-11,Users,0,SPDX
2008-02-11,Observers,0,SPDX
2008-03-12,Maintainers,5,SPDX
2008-03-12,Contributors,0,SPDX
2008-03-12,Users,0,SPDX
2008-03-12,Observers,0,SPDX
2008-04-11,Maintainers,6,SPDX
2008-04-11,Contributors,0,SPDX
2008-04-11,Users,0,SPDX
2008-04-11,Observers,0,SPDX
2008-05-11,Maintainers,6,SPDX
2008-05-11,Contributors,0,SPDX
2008-05-11,Users,0,SPDX
2008-05-11,Observers,0,SPDX
2008-06-10,Maintainers,6,SPDX
2008-06-10,Contributors,0,SPDX
2008-06-10,Users,0,SPDX
2008-06-10,Observers,0,SPDX
2008-07-10,Maintainers,6,SPDX
2008-07-10,Contributors,0,SPDX
2008-07-10,Users,0,SPDX
2008-07-10,Observers,0,SPDX
2008-08-09,Maintainers,5,SPDX
2008-08-09,Contributors,0,SPDX
2008-08-09,Users,0,SPDX
2008-08-09,Observers,0,SPDX
2008-09-08,Maintainers,5,SPDX
2008-09-08,Contributors,0,SPDX
2008-09-08,Users,0,SPDX
2008-09-08,Observers,0,SPDX
2008-10-08,Maintainers,6,SPDX
2008-10-08,Contributors,0,SPDX
2008-10-08,Users,0,SPDX
2008-10-08,Observers,0,SPDX
2008-11-07,Maintainers,5,SPDX
2008-11-07,Contributors,0,SPDX
2008-11-07,Users,0,SPDX
2008-11-07,Observers,0,SPDX
2008-12-07,Maintainers,4,SPDX
2008-12-07,Contributors,0,SPDX
2008-12-07,Users,0,SPDX
2008-12-07,Observers,0,SPDX
2009-01-06,Maintainers,5,SPDX
2009-01-06,Contributors,0,SPDX
2009-01-06,Users,0,SPDX
2009-01-06,Observers,0,SPDX
2009-02-05,Maintainers,6,SPDX
2009-02-05,Contributors,0,SPDX
2009-02-05,Users,0,SPDX
2009-02-05,Observers,0,SPDX
2009-03-07,Maintainers,6,SPDX
2009-03-07,Contributors,0,SPDX
2009-03-07,Users,0,SPDX
2009-03-07,Observers,0,SPDX
2009-04-06,Maintainers,7,SPDX
2009-04-06,Contributors,0,SPDX
2009-04-06,Users,0,SPDX
2009-04-06,Observers,0,SPDX
2009-05-06,Maintainers,6,SPDX
2009-05-06,Contributors,0,SPDX
2009-05-06,Users,0,SPDX
2009-05-06,Observers,0,SPDX
2009-06-05,Maintainers,5,SPDX
2009-06-05,Contributors,0,SPDX
2009-06-05,Users,0,SPDX
2009-06-05,Observers,0,SPDX
2009-07-05,Maintainers,6,SPDX
2009-07-05,Contributors,0,SPDX
2009-07-05,Users,0,SPDX
2009-07-05,Observers,0,SPDX
2009-08-04,Maintainers,6,SPDX
2009-08-04,Contributors,0,SPDX
2009-08-04,Users,0,SPDX
2009-08-04,Observers,0,SPDX
2009-09-03,Maintainers,6,SPDX
2009-09-03,Contributors,0,SPDX
2009-09-03,Users,0,SPDX
2009-09-03,Observers,0,SPDX
2009-10-03,Maintainers,6,SPDX
2009-10-03,Contributors,0,SPDX
2009-10-03,Users,0,SPDX
