Date,filters,Count,Format
2011-09-23,GitHub Issues,0,SPDX
2011-10-23,GitHub Issues,0,SPDX
2011-11-22,GitHub Issues,0,SPDX
2011-12-22,GitHub Issues,7,SPDX
2012-01-21,GitHub Issues,1,SPDX
2012-02-20,GitHub Issues,0,SPDX
2012-03-21,GitHub Issues,0,SPDX
2012-04-20,GitHub Issues,1,SPDX
2012-05-20,GitHub Issues,0,SPDX
2012-06-19,GitHub Issues,2,SPDX
2012-07-19,GitHub Issues,0,SPDX
2012-08-18,GitHub Issues,0,SPDX
2012-09-17,GitHub Issues,0,SPDX
2012-10-17,GitHub Issues,0,SPDX
2012-11-16,GitHub Issues,0,SPDX
2012-12-16,GitHub Issues,0,SPDX
2013-01-15,GitHub Issues,2,SPDX
2013-02-14,GitHub Issues,10,SPDX
2013-03-16,GitHub Issues,3,SPDX
2013-04-15,GitHub Issues,3,SPDX
2013-05-15,GitHub Issues,3,SPDX
2013-06-14,GitHub Issues,1,SPDX
2013-07-14,GitHub Issues,1,SPDX
2013-08-13,GitHub Issues,1,SPDX
2013-09-12,GitHub Issues,7,SPDX
2013-10-12,GitHub Issues,20,SPDX
2013-11-11,GitHub Issues,9,SPDX
2013-12-11,GitHub Issues,2,SPDX
2014-01-10,GitHub Issues,8,SPDX
2014-02-09,GitHub Issues,4,SPDX
2014-03-11,GitHub Issues,3,SPDX
2014-04-10,GitHub Issues,3,SPDX
2014-05-10,GitHub Issues,3,SPDX
2014-06-09,GitHub Issues,1,SPDX
2014-07-09,GitHub Issues,5,SPDX
2014-08-08,GitHub Issues,4,SPDX
2014-09-07,GitHub Issues,2,SPDX
2014-10-07,GitHub Issues,9,SPDX
2014-11-06,GitHub Issues,29,SPDX
2014-12-06,GitHub Issues,21,SPDX
2015-01-05,GitHub Issues,360,SPDX
2015-02-04,GitHub Issues,24,SPDX
2015-03-06,GitHub Issues,31,SPDX
2015-04-05,GitHub Issues,25,SPDX
2015-05-05,GitHub Issues,66,SPDX
2015-06-04,GitHub Issues,62,SPDX
2015-07-04,GitHub Issues,48,SPDX
2015-08-03,GitHub Issues,78,SPDX
2015-09-02,GitHub Issues,38,SPDX
2015-10-02,GitHub Issues,34,SPDX
2015-11-01,GitHub Issues,55,SPDX
2015-12-01,GitHub Issues,38,SPDX
2015-12-31,GitHub Issues,53,SPDX
2016-01-30,GitHub Issues,28,SPDX
2016-02-29,GitHub Issues,34,SPDX
2016-03-30,GitHub Issues,28,SPDX
2016-04-29,GitHub Issues,38,SPDX
2016-05-29,GitHub Issues,39,SPDX
2016-06-28,GitHub Issues,31,SPDX
2016-07-28,GitHub Issues,47,SPDX
2016-08-27,GitHub Issues,67,SPDX
2016-09-26,GitHub Issues,108,SPDX
2016-10-26,GitHub Issues,98,SPDX
2016-11-25,GitHub Issues,140,SPDX
2016-12-25,GitHub Issues,132,SPDX
2017-01-24,GitHub Issues,155,SPDX
2017-02-23,GitHub Issues,216,SPDX
2017-03-25,GitHub Issues,152,SPDX
2017-04-24,GitHub Issues,247,SPDX
2017-05-24,GitHub Issues,239,SPDX
2017-06-23,GitHub Issues,325,SPDX
2017-07-23,GitHub Issues,291,SPDX
2017-08-22,GitHub Issues,456,SPDX
2017-09-21,GitHub Issues,397,SPDX
2017-10-21,GitHub Issues,446,SPDX
2017-11-20,GitHub Issues,352,SPDX
2017-12-20,GitHub Issues,282,SPDX
2018-01-19,GitHub Issues,362,SPDX
2018-02-18,GitHub Issues,404,SPDX
2018-03-20,GitHub Issues,530,SPDX
2018-04-19,GitHub Issues,592,SPDX
2018-05-19,GitHub Issues,486,SPDX
2018-06-18,GitHub Issues,561,SPDX
2018-07-18,GitHub Issues,565,SPDX
2018-08-17,GitHub Issues,488,SPDX
2018-09-16,GitHub Issues,620,SPDX
2018-10-16,GitHub Issues,670,SPDX
2018-11-15,GitHub Issues,710,SPDX
2018-12-15,GitHub Issues,614,SPDX
2019-01-14,GitHub Issues,701,SPDX
2019-02-13,GitHub Issues,861,SPDX
2019-03-15,GitHub Issues,794,SPDX
2019-04-14,GitHub Issues,680,SPDX
2019-05-14,GitHub Issues,808,SPDX
2019-06-13,GitHub Issues,817,SPDX
2019-07-13,GitHub Issues,770,SPDX
2019-08-12,GitHub Issues,739,SPDX
2019-09-11,GitHub Issues,618,SPDX
2019-10-11,GitHub Issues,719,SPDX
2019-11-10,GitHub Issues,632,SPDX
2019-12-10,GitHub Issues,514,SPDX
2020-01-09,GitHub Issues,756,SPDX
2020-02-08,GitHub Issues,816,SPDX
2020-03-09,GitHub Issues,814,SPDX
2020-04-08,GitHub Issues,1086,SPDX
2020-05-08,GitHub Issues,1049,SPDX
2020-06-07,GitHub Issues,959,SPDX
2020-07-07,GitHub Issues,1071,SPDX
2020-08-06,GitHub Issues,1029,SPDX
2020-09-05,GitHub Issues,1017,SPDX
2020-10-05,GitHub Issues,887,SPDX
2020-11-04,GitHub Issues,889,SPDX
2020-12-04,GitHub Issues,727,SPDX
2021-01-03,GitHub Issues,813,SPDX
2021-02-02,GitHub Issues,1006,SPDX
2021-03-04,GitHub Issues,992,SPDX
2021-04-03,GitHub Issues,912,SPDX
2021-05-03,GitHub Issues,981,SPDX
2021-06-02,GitHub Issues,1201,SPDX
2021-07-02,GitHub Issues,965,SPDX
2021-08-01,GitHub Issues,894,SPDX
2021-08-31,GitHub Issues,1011,SPDX
2021-09-30,GitHub Issues,1063,SPDX
2021-10-30,GitHub Issues,919,SPDX
2021-11-29,GitHub Issues,923,SPDX
2021-12-29,GitHub Issues,883,SPDX
2022-01-28,GitHub Issues,1063,SPDX
2022-02-27,GitHub Issues,923,SPDX
2022-03-29,GitHub Issues,984,SPDX
2022-04-28,GitHub Issues,1051,SPDX
2022-05-28,GitHub Issues,4869,SPDX
2022-06-27,GitHub Issues,1135,SPDX
2022-07-27,GitHub Issues,1204,SPDX
2022-08-26,GitHub Issues,1185,SPDX
2022-09-25,GitHub Issues,1265,SPDX
2022-10-25,GitHub Issues,1383,SPDX
2022-11-24,GitHub Issues,1253,SPDX
2022-12-24,GitHub Issues,996,SPDX
2023-01-23,GitHub Issues,1648,SPDX
2023-02-22,GitHub Issues,1407,SPDX
2023-03-24,GitHub Issues,1483,SPDX
2023-04-23,GitHub Issues,1256,SPDX
2023-05-23,GitHub Issues,1359,SPDX
2023-06-22,GitHub Issues,1399,SPDX
2023-07-22,GitHub Issues,1417,SPDX
2023-08-21,GitHub Issues,1420,SPDX
2023-09-20,GitHub Issues,777,SPDX
