Date,Count
2007-12-13,152
2008-01-12,151
2008-02-11,214
2008-03-12,380
2008-04-11,242
2008-05-11,219
2008-06-10,368
2008-07-10,239
2008-08-09,411
2008-09-08,356
2008-10-08,325
2008-11-07,208
2008-12-07,83
2009-01-06,56
2009-02-05,60
2009-03-07,181
2009-04-06,284
2009-05-06,205
2009-06-05,126
2009-07-05,176
2009-08-04,215
2009-09-03,110
2009-10-03,148
2009-11-02,107
2009-12-02,54
2010-01-01,129
2010-01-31,166
2010-03-02,309
2010-04-01,305
2010-05-01,138
2010-05-31,234
2010-06-30,61
2010-07-30,128
2010-08-29,158
2010-09-28,222
2010-10-28,175
2010-11-27,163
2010-12-27,208
2011-01-26,209
2011-02-25,320
2011-03-27,515
2011-04-26,382
2011-05-26,448
2011-06-25,296
2011-07-25,346
2011-08-24,472
2011-09-23,442
2011-10-23,896
2011-11-22,986
2011-12-22,636
2012-01-21,878
2012-02-20,1115
2012-03-21,1192
2012-04-20,569
2012-05-20,976
2012-06-19,843
2012-07-19,782
2012-08-18,676
2012-09-17,485
2012-10-17,460
2012-11-16,422
2012-12-16,322
2013-01-15,575
2013-02-14,532
2013-03-16,590
2013-04-15,417
2013-05-15,402
2013-06-14,343
2013-07-14,416
2013-08-13,445
2013-09-12,587
2013-10-12,492
2013-11-11,618
2013-12-11,340
2014-01-10,478
2014-02-09,576
2014-03-11,631
2014-04-10,470
2014-05-10,483
2014-06-09,673
2014-07-09,582
2014-08-08,687
2014-09-07,1060
2014-10-07,1522
2014-11-06,1470
2014-12-06,741
2015-01-05,898
2015-02-04,1000
2015-03-06,1630
2015-04-05,1187
2015-05-05,1521
2015-06-04,1416
2015-07-04,1330
2015-08-03,1190
2015-09-02,1674
2015-10-02,1907
2015-11-01,1233
2015-12-01,1175
2015-12-31,1373
2016-01-30,1248
2016-02-29,1702
2016-03-30,2357
2016-04-29,2081
2016-05-29,2355
2016-06-28,2345
2016-07-28,2618
2016-08-27,2431
2016-09-26,3504
2016-10-26,3023
2016-11-25,2787
2016-12-25,1856
2017-01-24,2789
2017-02-23,4348
2017-03-25,3295
2017-04-24,3791
2017-05-24,2773
2017-06-23,3058
2017-07-23,3794
2017-08-22,3460
2017-09-21,3573
2017-10-21,3268
2017-11-20,3207
2017-12-20,2827
2018-01-19,4034
2018-02-18,3496
2018-03-20,3818
2018-04-19,3219
2018-05-19,3166
2018-06-18,3784
2018-07-18,3462
2018-08-17,3753
2018-09-16,3538
2018-10-16,3419
2018-11-15,2935
2018-12-15,2310
2019-01-14,4476
2019-02-13,3875
2019-03-15,4097
2019-04-14,3981
2019-05-14,4155
2019-06-13,3875
2019-07-13,3706
2019-08-12,3518
2019-09-11,3758
2019-10-11,3748
2019-11-10,3678
2019-12-10,4018
2020-01-09,5866
2020-02-08,5529
2020-03-09,4824
2020-04-08,5933
2020-05-08,6431
2020-06-07,6344
2020-07-07,5934
2020-08-06,5204
2020-09-05,4232
2020-10-05,4890
2020-11-04,4587
2020-12-04,3584
2021-01-03,4706
2021-02-02,5762
2021-03-04,6066
2021-04-03,6168
2021-05-03,6853
2021-06-02,3809
2021-07-02,3691
2021-08-01,3174
2021-08-31,3855
2021-09-30,3661
2021-10-30,3786
2021-11-29,3765
2021-12-29,2871
2022-01-28,2300
2022-02-27,2722
2022-03-29,2868
2022-04-28,2333
2022-05-28,2506
2022-06-27,4505
2022-07-27,6361
2022-08-26,7424
2022-09-25,9373
2022-10-25,8145
2022-11-24,2773
2022-12-24,2006
2023-01-23,3207
2023-02-22,2955
2023-03-24,2810
2023-04-23,2663
2023-05-23,3272
2023-06-22,3034
2023-07-22,3177
2023-08-21,3360
2023-09-20,1973
