Date,filters,Count,Format
2005-06-26,GitHub PRs,0,SPDX
2006-10-19,GitHub PRs,0,SPDX
2006-11-18,GitHub PRs,0,SPDX
2006-12-18,GitHub PRs,0,SPDX
2007-03-18,GitHub PRs,0,SPDX
2007-04-17,GitHub PRs,0,SPDX
2007-08-15,GitHub PRs,0,SPDX
2007-09-14,GitHub PRs,0,SPDX
2007-10-14,GitHub PRs,0,SPDX
2007-12-13,GitHub PRs,0,SPDX
2008-01-12,GitHub PRs,0,SPDX
2008-02-11,GitHub PRs,0,SPDX
2008-03-12,GitHub PRs,0,SPDX
2008-04-11,GitHub PRs,0,SPDX
2008-05-11,GitHub PRs,0,SPDX
2008-06-10,GitHub PRs,0,SPDX
2008-07-10,GitHub PRs,0,SPDX
2008-08-09,GitHub PRs,0,SPDX
2008-09-08,GitHub PRs,0,SPDX
2008-10-08,GitHub PRs,0,SPDX
2008-11-07,GitHub PRs,0,SPDX
2008-12-07,GitHub PRs,0,SPDX
2009-01-06,GitHub PRs,0,SPDX
2009-02-05,GitHub PRs,0,SPDX
2009-03-07,GitHub PRs,0,SPDX
2009-04-06,GitHub PRs,0,SPDX
2009-05-06,GitHub PRs,0,SPDX
2009-06-05,GitHub PRs,0,SPDX
2009-07-05,GitHub PRs,0,SPDX
2009-08-04,GitHub PRs,0,SPDX
2009-09-03,GitHub PRs,0,SPDX
2009-10-03,GitHub PRs,0,SPDX
2009-11-02,GitHub PRs,0,SPDX
2009-12-02,GitHub PRs,0,SPDX
2010-01-01,GitHub PRs,0,SPDX
2010-01-31,GitHub PRs,0,SPDX
2010-03-02,GitHub PRs,0,SPDX
2010-04-01,GitHub PRs,0,SPDX
2010-05-01,GitHub PRs,0,SPDX
2010-05-31,GitHub PRs,0,SPDX
2010-06-30,GitHub PRs,0,SPDX
2010-07-30,GitHub PRs,0,SPDX
2010-08-29,GitHub PRs,0,SPDX
2010-09-28,GitHub PRs,0,SPDX
2010-10-28,GitHub PRs,0,SPDX
2010-11-27,GitHub PRs,0,SPDX
2010-12-27,GitHub PRs,0,SPDX
2011-01-26,GitHub PRs,0,SPDX
2011-02-25,GitHub PRs,0,SPDX
2011-03-27,GitHub PRs,0,SPDX
2011-04-26,GitHub PRs,0,SPDX
2011-05-26,GitHub PRs,0,SPDX
2011-06-25,GitHub PRs,0,SPDX
2011-07-25,GitHub PRs,0,SPDX
2011-08-24,GitHub PRs,0,SPDX
2011-09-23,GitHub PRs,8,SPDX
2011-10-23,GitHub PRs,13,SPDX
2011-11-22,GitHub PRs,19,SPDX
2011-12-22,GitHub PRs,17,SPDX
2012-01-21,GitHub PRs,13,SPDX
2012-02-20,GitHub PRs,55,SPDX
2012-03-21,GitHub PRs,59,SPDX
2012-04-20,GitHub PRs,62,SPDX
2012-05-20,GitHub PRs,64,SPDX
2012-06-19,GitHub PRs,77,SPDX
2012-07-19,GitHub PRs,69,SPDX
2012-08-18,GitHub PRs,122,SPDX
2012-09-17,GitHub PRs,97,SPDX
2012-10-17,GitHub PRs,76,SPDX
2012-11-16,GitHub PRs,109,SPDX
2012-12-16,GitHub PRs,104,SPDX
2013-01-15,GitHub PRs,141,SPDX
2013-02-14,GitHub PRs,148,SPDX
2013-03-16,GitHub PRs,113,SPDX
2013-04-15,GitHub PRs,157,SPDX
2013-05-15,GitHub PRs,128,SPDX
2013-06-14,GitHub PRs,82,SPDX
2013-07-14,GitHub PRs,86,SPDX
2013-08-13,GitHub PRs,88,SPDX
2013-09-12,GitHub PRs,87,SPDX
2013-10-12,GitHub PRs,108,SPDX
2013-11-11,GitHub PRs,117,SPDX
2013-12-11,GitHub PRs,87,SPDX
2014-01-10,GitHub PRs,122,SPDX
2014-02-09,GitHub PRs,130,SPDX
2014-03-11,GitHub PRs,114,SPDX
2014-04-10,GitHub PRs,120,SPDX
2014-05-10,GitHub PRs,64,SPDX
2014-06-09,GitHub PRs,74,SPDX
2014-07-09,GitHub PRs,93,SPDX
2014-08-08,GitHub PRs,155,SPDX
2014-09-07,GitHub PRs,192,SPDX
2014-10-07,GitHub PRs,194,SPDX
2014-11-06,GitHub PRs,102,SPDX
2014-12-06,GitHub PRs,70,SPDX
2015-01-05,GitHub PRs,97,SPDX
2015-02-04,GitHub PRs,116,SPDX
2015-03-06,GitHub PRs,134,SPDX
2015-04-05,GitHub PRs,107,SPDX
2015-05-05,GitHub PRs,124,SPDX
2015-06-04,GitHub PRs,129,SPDX
2015-07-04,GitHub PRs,100,SPDX
2015-08-03,GitHub PRs,84,SPDX
2015-09-02,GitHub PRs,77,SPDX
2015-10-02,GitHub PRs,114,SPDX
2015-11-01,GitHub PRs,99,SPDX
2015-12-01,GitHub PRs,64,SPDX
2015-12-31,GitHub PRs,87,SPDX
2016-01-30,GitHub PRs,60,SPDX
2016-02-29,GitHub PRs,163,SPDX
2016-03-30,GitHub PRs,271,SPDX
2016-04-29,GitHub PRs,268,SPDX
2016-05-29,GitHub PRs,349,SPDX
2016-06-28,GitHub PRs,378,SPDX
2016-07-28,GitHub PRs,417,SPDX
2016-08-27,GitHub PRs,447,SPDX
2016-09-26,GitHub PRs,626,SPDX
2016-10-26,GitHub PRs,573,SPDX
2016-11-25,GitHub PRs,706,SPDX
2016-12-25,GitHub PRs,479,SPDX
2017-01-24,GitHub PRs,714,SPDX
2017-02-23,GitHub PRs,821,SPDX
2017-03-25,GitHub PRs,824,SPDX
2017-04-24,GitHub PRs,1172,SPDX
2017-05-24,GitHub PRs,937,SPDX
2017-06-23,GitHub PRs,922,SPDX
2017-07-23,GitHub PRs,926,SPDX
2017-08-22,GitHub PRs,1254,SPDX
2017-09-21,GitHub PRs,1116,SPDX
2017-10-21,GitHub PRs,1051,SPDX
2017-11-20,GitHub PRs,1103,SPDX
2017-12-20,GitHub PRs,783,SPDX
2018-01-19,GitHub PRs,1347,SPDX
2018-02-18,GitHub PRs,1247,SPDX
2018-03-20,GitHub PRs,1413,SPDX
2018-04-19,GitHub PRs,1165,SPDX
2018-05-19,GitHub PRs,1147,SPDX
2018-06-18,GitHub PRs,1354,SPDX
2018-07-18,GitHub PRs,1352,SPDX
2018-08-17,GitHub PRs,1149,SPDX
2018-09-16,GitHub PRs,1317,SPDX
2018-10-16,GitHub PRs,1445,SPDX
2018-11-15,GitHub PRs,1179,SPDX
2018-12-15,GitHub PRs,927,SPDX
2019-01-14,GitHub PRs,1736,SPDX
2019-02-13,GitHub PRs,1651,SPDX
2019-03-15,GitHub PRs,1601,SPDX
2019-04-14,GitHub PRs,1497,SPDX
2019-05-14,GitHub PRs,1503,SPDX
2019-06-13,GitHub PRs,1589,SPDX
2019-07-13,GitHub PRs,1629,SPDX
2019-08-12,GitHub PRs,1592,SPDX
2019-09-11,GitHub PRs,1543,SPDX
2019-10-11,GitHub PRs,1753,SPDX
2019-11-10,GitHub PRs,1524,SPDX
2019-12-10,GitHub PRs,1318,SPDX
2020-01-09,GitHub PRs,1872,SPDX
2020-02-08,GitHub PRs,1980,SPDX
2020-03-09,GitHub PRs,2088,SPDX
2020-04-08,GitHub PRs,2316,SPDX
2020-05-08,GitHub PRs,3479,SPDX
2020-06-07,GitHub PRs,2759,SPDX
2020-07-07,GitHub PRs,2809,SPDX
2020-08-06,GitHub PRs,2607,SPDX
2020-09-05,GitHub PRs,2334,SPDX
2020-10-05,GitHub PRs,2847,SPDX
2020-11-04,GitHub PRs,2470,SPDX
2020-12-04,GitHub PRs,2026,SPDX
2021-01-03,GitHub PRs,3040,SPDX
2021-02-02,GitHub PRs,3696,SPDX
2021-03-04,GitHub PRs,3719,SPDX
2021-04-03,GitHub PRs,4268,SPDX
2021-05-03,GitHub PRs,5782,SPDX
2021-06-02,GitHub PRs,5668,SPDX
2021-07-02,GitHub PRs,5419,SPDX
2021-08-01,GitHub PRs,4792,SPDX
2021-08-31,GitHub PRs,4583,SPDX
2021-09-30,GitHub PRs,6027,SPDX
2021-10-30,GitHub PRs,5219,SPDX
2021-11-29,GitHub PRs,4796,SPDX
2021-12-29,GitHub PRs,6535,SPDX
2022-01-28,GitHub PRs,8251,SPDX
2022-02-27,GitHub PRs,8990,SPDX
2022-03-29,GitHub PRs,5514,SPDX
2022-04-28,GitHub PRs,5750,SPDX
2022-05-28,GitHub PRs,4608,SPDX
2022-06-27,GitHub PRs,5481,SPDX
2022-07-27,GitHub PRs,7040,SPDX
2022-08-26,GitHub PRs,11127,SPDX
2022-09-25,GitHub PRs,8316,SPDX
2022-10-25,GitHub PRs,6401,SPDX
2022-11-24,GitHub PRs,5664,SPDX
2022-12-24,GitHub PRs,4324,SPDX
2023-01-23,GitHub PRs,6271,SPDX
2023-02-22,GitHub PRs,6285,SPDX
2023-03-24,GitHub PRs,5919,SPDX
2023-04-23,GitHub PRs,7601,SPDX
2023-05-23,GitHub PRs,5915,SPDX
2023-06-22,GitHub PRs,5655,SPDX
2023-07-22,GitHub PRs,7891,SPDX
2023-08-21,GitHub PRs,6620,SPDX
2023-09-20,GitHub PRs,3563,SPDX
