Format,Tool,RepoLink,Stars,Watching,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-dotnet,82,10,41,27,21,37,62,14,466
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-node-module,87,7,67,27,22,24,66,12,219
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-python,92,10,35,33,22,11,66,6,311
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-maven-plugin,128,9,37, ,13,33,49,7,113
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-gradle-plugin,55,8,46,5,20,27,39,5,128
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-cli,91,6,21,41,9,46,40,2,173
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-core-java,38,6,33, ,20,13,35,4,167
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-gomod,57,8,11,31,5,7,48,1,134
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-python-lib,24,15,13,47,13,10,65,9,204
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx.org,2,7,24, ,22,11,4,1,115
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-rust-cargo,16,5,11,1,12,15,15,2,202
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-cocoapods,11,7,9,1,5,0,22,0,20
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-bom-repo-server,31,6,8,11,4,6,5,10,199
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-go,21,7,6,8,5,6,6,1,35
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-php-composer,21,5,8,27,7,13,35,1,183
CycloneDx,Github,https://github.com/CycloneDX/bom-examples,51,7,28, ,5,6,6,0,21
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-linux-generator,23,6,6, ,4,3,0,9,44
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-ruby-gem,9,5,10, ,7,3,2,4,9
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-dotnet-library,7,4,5,32,15,4,15,2,144
CycloneDx,Github,https://github.com/voltone/sbom,27,2,9,5,3,3,1,0,8
CycloneDx,Github,https://github.com/sonatype-nexus-community/cyclonedx-sbom-examples,4,14,6, ,3,32,1,0,1
CycloneDx,Github,https://github.com/ozonru/cyclonedx-go,15,9,2,1,,4,2,0,3
CycloneDx,Github,https://github.com/anchore/grype,4300,57,293,70,49,159,265,3,448
CycloneDx,Github,https://github.com/CycloneDX/gh-node-module-generatebom,11,4,6,2,,1,0,1,2
CycloneDx,Github,https://github.com/CycloneDX/cyclonedx-property-taxonomy,2,7,8, ,5,4,6,4,8
