Format,Tool,RepoLink,Stars,Watching,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest
SPDX,Github,https://github.com/spdx/spdx-spec,182,29,121,8,38,114,229,15,400
SPDX,Github,https://github.com/spdx/tools,97,17,70,22,18,24,109,3,160
SPDX,Github,https://github.com/composer/spdx-licenses, 1.4k ,7,25,19,17,1,9,0,32
SPDX,Github,https://github.com/opensbom-generator/spdx-sbom-generator,180,19,62,15,25,95,58,5,97
SPDX,Github,https://github.com/spdx/spdx-online-tools,42,12,47,1,21,60,129,8,182
SPDX,Github,https://github.com/librariesio/spdx,32,4,11,7,8,2,40,0,37
SPDX,Github,https://github.com/sindresorhus/spdx-license-list,80,9,19,9,9,0,11,0,10
SPDX,Github,https://github.com/spdx/tools-python,82,21,89,5,33,51,43,23,102
SPDX,Github,https://github.com/spdx/spdx-examples,62,8,22, ,2,18,9,2,15
SPDX,Github,https://github.com/jslicense/spdx-expression-parse.js,35,11,22, ,5,3,7,4,15
SPDX,Github,https://github.com/EmbarkStudios/spdx,17,4,12,22,15,0,7,0,46
SPDX,Github,https://github.com/spdx/license-list-XML,198,41,212,17,61,43,499,5,944
SPDX,Github,https://github.com/jslicense/spdx-correct.js,25,4,22, ,6,1,11,1,24
SPDX,Github,https://github.com/spdx/tools-java,21,4,17,9,7,2,23,1,32
SPDX,Github,https://github.com/spdx/license-list-data,317,24,125,17,2,0,22,0,22
SPDX,Github,https://github.com/spdx/license-list,41,13,24, ,5,0,14,0,9
SPDX,Github,https://github.com/kemitchell/spdx.js,52,6,11, ,3,0,13,0,7
SPDX,Github,https://github.com/david-a-wheeler/spdx-tutorial,90,11,11, ,6,2,2,1,6
SPDX,Github,https://github.com/spdx/tools-golang,47,10,32,4,9,16,50,5,82
SPDX,Github,https://github.com/spdx/spdx-maven-plugin,20,3,16,7,10,12,8,1,26
SPDX,Github,https://github.com/jslicense/spdx-license-ids,29,4,14,4,3,0,10,0,19
