"","Tags","identifier","n"
"75","Profile:Dataset","SPDX",5
"76","Profile:FuSa","SPDX",1
"77","Profile:Licensing","SPDX",41
"78","Profile:Security","SPDX",11
"79","Profile:Software","SPDX",21
"80","Profile:Usage","SPDX",2
"81","Python2","CycloneDX",1
"82","Python2","SPDX",2
"83","Python3","CycloneDX",9
"84","Python3","SPDX",18
"85","QA","CycloneDX",37
"86","QA","SPDX",29
"87","RDF/OWL/SHACL","SPDX",11
"88","REST","SPDX",23
"89","RFC notice sent","CycloneDX",20
"90","RFC notice sent","SPDX",20
"91","RFC vote accepted","CycloneDX",27
"92","RFC vote accepted","SPDX",27
"93","Rejected","CycloneDX",4
"94","Release Management and Versioning","CycloneDX",81
"95","Release Management and Versioning","SPDX",107
"96","Required for Release","SPDX",2
"97","SCS","SPDX",1
"98","SPDX v2.1","SPDX",6
"99","SPDX v2.2","SPDX",10
"100","SPDX v2.3","SPDX",14
"101","SPDX3 (prototype)","SPDX",24
"102","Sincere Reengineering Moment","SPDX",1
"103","Size S","SPDX",1
"104","Stability of the tool","SPDX",3
"105","Status: In Progress","SPDX",2
"106","Status: On Hold","SPDX",4
"107","Submit New License","SPDX",64
"108","TLN-registration","CycloneDX",6
"109","Technical Debt","CycloneDX",19
"110","Technical Debt","SPDX",45
"111","Type: Bug","SPDX",11
"112","Type: CI","SPDX",34
"113","Type: Documentation","SPDX",5
"114","Type: Feature","SPDX",16
"115","Type: Maintenance","SPDX",13
"116","Type: Test","SPDX",10
"117","Unresolved","SPDX",29
"118","User Interface and Outputs","CycloneDX",197
"119","User Interface and Outputs","SPDX",279
"120","VAP","CycloneDX",14
"121","ValidationError","CycloneDX",2
"122","ValidationError","SPDX",1
"123","Verified","CycloneDX",1
"124","Verified","SPDX",1
"125","WIP","SPDX",5
"126","XML markup change","SPDX",98
"127","XML schema change","SPDX",7
"128","accepted","SPDX",3
"129","accepting suggestions","CycloneDX",1
"130","accepting suggestions","SPDX",2
"131","access control","CycloneDX",13
