Date,filters,Count,Format
2003-10-05,GitHub PRs,0,CycloneDX
2003-11-04,GitHub PRs,0,CycloneDX
2003-12-04,GitHub PRs,0,CycloneDX
2004-01-03,GitHub PRs,0,CycloneDX
2004-02-02,GitHub PRs,0,CycloneDX
2004-03-03,GitHub PRs,0,CycloneDX
2004-04-02,GitHub PRs,0,CycloneDX
2004-05-02,GitHub PRs,0,CycloneDX
2004-06-01,GitHub PRs,0,CycloneDX
2004-07-01,GitHub PRs,0,CycloneDX
2004-07-31,GitHub PRs,0,CycloneDX
2004-08-30,GitHub PRs,0,CycloneDX
2004-09-29,GitHub PRs,0,CycloneDX
2004-10-29,GitHub PRs,0,CycloneDX
2004-11-28,GitHub PRs,0,CycloneDX
2004-12-28,GitHub PRs,0,CycloneDX
2005-01-27,GitHub PRs,0,CycloneDX
2005-02-26,GitHub PRs,0,CycloneDX
2005-03-28,GitHub PRs,0,CycloneDX
2005-04-27,GitHub PRs,0,CycloneDX
2005-05-27,GitHub PRs,0,CycloneDX
2005-06-26,GitHub PRs,0,CycloneDX
2005-07-26,GitHub PRs,0,CycloneDX
2005-08-25,GitHub PRs,0,CycloneDX
2005-09-24,GitHub PRs,0,CycloneDX
2005-10-24,GitHub PRs,0,CycloneDX
2005-11-23,GitHub PRs,0,CycloneDX
2005-12-23,GitHub PRs,0,CycloneDX
2006-01-22,GitHub PRs,0,CycloneDX
2006-02-21,GitHub PRs,0,CycloneDX
2006-03-23,GitHub PRs,0,CycloneDX
2006-04-22,GitHub PRs,0,CycloneDX
2006-05-22,GitHub PRs,0,CycloneDX
2006-06-21,GitHub PRs,0,CycloneDX
2006-07-21,GitHub PRs,0,CycloneDX
2006-08-20,GitHub PRs,0,CycloneDX
2006-09-19,GitHub PRs,0,CycloneDX
2006-10-19,GitHub PRs,0,CycloneDX
2006-11-18,GitHub PRs,0,CycloneDX
2006-12-18,GitHub PRs,0,CycloneDX
2007-01-17,GitHub PRs,0,CycloneDX
2007-02-16,GitHub PRs,0,CycloneDX
2007-03-18,GitHub PRs,0,CycloneDX
2007-04-17,GitHub PRs,0,CycloneDX
2007-05-17,GitHub PRs,0,CycloneDX
2007-06-16,GitHub PRs,0,CycloneDX
2007-07-16,GitHub PRs,0,CycloneDX
2007-08-15,GitHub PRs,0,CycloneDX
2007-09-14,GitHub PRs,0,CycloneDX
2007-10-14,GitHub PRs,0,CycloneDX
2007-11-13,GitHub PRs,0,CycloneDX
2007-12-13,GitHub PRs,0,CycloneDX
2008-01-12,GitHub PRs,0,CycloneDX
2008-02-11,GitHub PRs,0,CycloneDX
2008-03-12,GitHub PRs,0,CycloneDX
2008-04-11,GitHub PRs,0,CycloneDX
2008-05-11,GitHub PRs,0,CycloneDX
2008-06-10,GitHub PRs,0,CycloneDX
2008-07-10,GitHub PRs,0,CycloneDX
2008-08-09,GitHub PRs,0,CycloneDX
2008-09-08,GitHub PRs,0,CycloneDX
2008-10-08,GitHub PRs,0,CycloneDX
2008-11-07,GitHub PRs,0,CycloneDX
2008-12-07,GitHub PRs,0,CycloneDX
2009-01-06,GitHub PRs,0,CycloneDX
2009-02-05,GitHub PRs,0,CycloneDX
2009-03-07,GitHub PRs,0,CycloneDX
2009-04-06,GitHub PRs,0,CycloneDX
2009-05-06,GitHub PRs,0,CycloneDX
2009-06-05,GitHub PRs,0,CycloneDX
2009-07-05,GitHub PRs,0,CycloneDX
2009-08-04,GitHub PRs,0,CycloneDX
2009-09-03,GitHub PRs,0,CycloneDX
2009-10-03,GitHub PRs,0,CycloneDX
2009-11-02,GitHub PRs,0,CycloneDX
2009-12-02,GitHub PRs,0,CycloneDX
2010-01-01,GitHub PRs,0,CycloneDX
2010-01-31,GitHub PRs,0,CycloneDX
2010-03-02,GitHub PRs,0,CycloneDX
2010-04-01,GitHub PRs,0,CycloneDX
2010-05-01,GitHub PRs,0,CycloneDX
2010-05-31,GitHub PRs,0,CycloneDX
2010-06-30,GitHub PRs,0,CycloneDX
2010-07-30,GitHub PRs,0,CycloneDX
2010-08-29,GitHub PRs,0,CycloneDX
2010-09-28,GitHub PRs,0,CycloneDX
2010-10-28,GitHub PRs,0,CycloneDX
2010-11-27,GitHub PRs,0,CycloneDX
2010-12-27,GitHub PRs,0,CycloneDX
2011-01-26,GitHub PRs,0,CycloneDX
2011-02-25,GitHub PRs,0,CycloneDX
2011-03-27,GitHub PRs,0,CycloneDX
2011-04-26,GitHub PRs,0,CycloneDX
2011-05-26,GitHub PRs,0,CycloneDX
2011-06-25,GitHub PRs,0,CycloneDX
2011-07-25,GitHub PRs,0,CycloneDX
2011-08-24,GitHub PRs,0,CycloneDX
2011-09-23,GitHub PRs,2,CycloneDX
2011-10-23,GitHub PRs,1,CycloneDX
2011-11-22,GitHub PRs,1,CycloneDX
2011-12-22,GitHub PRs,0,CycloneDX
2012-01-21,GitHub PRs,1,CycloneDX
2012-02-20,GitHub PRs,0,CycloneDX
2012-03-21,GitHub PRs,0,CycloneDX
2012-04-20,GitHub PRs,0,CycloneDX
2012-05-20,GitHub PRs,13,CycloneDX
2012-06-19,GitHub PRs,48,CycloneDX
2012-07-19,GitHub PRs,61,CycloneDX
2012-08-18,GitHub PRs,20,CycloneDX
2012-09-17,GitHub PRs,38,CycloneDX
2012-10-17,GitHub PRs,64,CycloneDX
2012-11-16,GitHub PRs,62,CycloneDX
2012-12-16,GitHub PRs,76,CycloneDX
2013-01-15,GitHub PRs,107,CycloneDX
2013-02-14,GitHub PRs,174,CycloneDX
2013-03-16,GitHub PRs,146,CycloneDX
2013-04-15,GitHub PRs,125,CycloneDX
2013-05-15,GitHub PRs,132,CycloneDX
2013-06-14,GitHub PRs,266,CycloneDX
2013-07-14,GitHub PRs,145,CycloneDX
2013-08-13,GitHub PRs,304,CycloneDX
2013-09-12,GitHub PRs,189,CycloneDX
2013-10-12,GitHub PRs,217,CycloneDX
2013-11-11,GitHub PRs,356,CycloneDX
2013-12-11,GitHub PRs,194,CycloneDX
2014-01-10,GitHub PRs,328,CycloneDX
2014-02-09,GitHub PRs,290,CycloneDX
2014-03-11,GitHub PRs,406,CycloneDX
2014-04-10,GitHub PRs,451,CycloneDX
2014-05-10,GitHub PRs,346,CycloneDX
2014-06-09,GitHub PRs,433,CycloneDX
2014-07-09,GitHub PRs,377,CycloneDX
2014-08-08,GitHub PRs,556,CycloneDX
2014-09-07,GitHub PRs,494,CycloneDX
2014-10-07,GitHub PRs,527,CycloneDX
2014-11-06,GitHub PRs,492,CycloneDX
2014-12-06,GitHub PRs,404,CycloneDX
2015-01-05,GitHub PRs,615,CycloneDX
2015-02-04,GitHub PRs,610,CycloneDX
2015-03-06,GitHub PRs,611,CycloneDX
2015-04-05,GitHub PRs,593,CycloneDX
2015-05-05,GitHub PRs,596,CycloneDX
2015-06-04,GitHub PRs,654,CycloneDX
2015-07-04,GitHub PRs,770,CycloneDX
2015-08-03,GitHub PRs,929,CycloneDX
2015-09-02,GitHub PRs,925,CycloneDX
2015-10-02,GitHub PRs,964,CycloneDX
2015-11-01,GitHub PRs,960,CycloneDX
2015-12-01,GitHub PRs,1075,CycloneDX
2015-12-31,GitHub PRs,1075,CycloneDX
2016-01-30,GitHub PRs,1051,CycloneDX
2016-02-29,GitHub PRs,1192,CycloneDX
2016-03-30,GitHub PRs,1766,CycloneDX
2016-04-29,GitHub PRs,1813,CycloneDX
2016-05-29,GitHub PRs,1896,CycloneDX
2016-06-28,GitHub PRs,2024,CycloneDX
2016-07-28,GitHub PRs,1951,CycloneDX
2016-08-27,GitHub PRs,2316,CycloneDX
2016-09-26,GitHub PRs,2554,CycloneDX
2016-10-26,GitHub PRs,2271,CycloneDX
2016-11-25,GitHub PRs,2220,CycloneDX
2016-12-25,GitHub PRs,2281,CycloneDX
2017-01-24,GitHub PRs,2643,CycloneDX
2017-02-23,GitHub PRs,3044,CycloneDX
2017-03-25,GitHub PRs,2757,CycloneDX
2017-04-24,GitHub PRs,2517,CycloneDX
2017-05-24,GitHub PRs,2422,CycloneDX
2017-06-23,GitHub PRs,2698,CycloneDX
2017-07-23,GitHub PRs,2831,CycloneDX
2017-08-22,GitHub PRs,3278,CycloneDX
2017-09-21,GitHub PRs,3356,CycloneDX
2017-10-21,GitHub PRs,3430,CycloneDX
2017-11-20,GitHub PRs,3196,CycloneDX
2017-12-20,GitHub PRs,3232,CycloneDX
2018-01-19,GitHub PRs,3433,CycloneDX
2018-02-18,GitHub PRs,4532,CycloneDX
2018-03-20,GitHub PRs,4013,CycloneDX
2018-04-19,GitHub PRs,3861,CycloneDX
2018-05-19,GitHub PRs,3688,CycloneDX
2018-06-18,GitHub PRs,3662,CycloneDX
2018-07-18,GitHub PRs,3714,CycloneDX
2018-08-17,GitHub PRs,3698,CycloneDX
2018-09-16,GitHub PRs,4097,CycloneDX
2018-10-16,GitHub PRs,4196,CycloneDX
2018-11-15,GitHub PRs,4256,CycloneDX
2018-12-15,GitHub PRs,3680,CycloneDX
2019-01-14,GitHub PRs,4238,CycloneDX
2019-02-13,GitHub PRs,4410,CycloneDX
2019-03-15,GitHub PRs,4328,CycloneDX
2019-04-14,GitHub PRs,4384,CycloneDX
2019-05-14,GitHub PRs,4320,CycloneDX
2019-06-13,GitHub PRs,4404,CycloneDX
2019-07-13,GitHub PRs,4422,CycloneDX
2019-08-12,GitHub PRs,4795,CycloneDX
2019-09-11,GitHub PRs,5182,CycloneDX
2019-10-11,GitHub PRs,5866,CycloneDX
2019-11-10,GitHub PRs,4887,CycloneDX
2019-12-10,GitHub PRs,4467,CycloneDX
2020-01-09,GitHub PRs,5216,CycloneDX
2020-02-08,GitHub PRs,6155,CycloneDX
2020-03-09,GitHub PRs,6158,CycloneDX
2020-04-08,GitHub PRs,6511,CycloneDX
2020-05-08,GitHub PRs,6093,CycloneDX
2020-06-07,GitHub PRs,6503,CycloneDX
2020-07-07,GitHub PRs,6086,CycloneDX
2020-08-06,GitHub PRs,6090,CycloneDX
2020-09-05,GitHub PRs,6741,CycloneDX
2020-10-05,GitHub PRs,7898,CycloneDX
2020-11-04,GitHub PRs,8017,CycloneDX
2020-12-04,GitHub PRs,6307,CycloneDX
2021-01-03,GitHub PRs,7824,CycloneDX
2021-02-02,GitHub PRs,8274,CycloneDX
2021-03-04,GitHub PRs,8014,CycloneDX
2021-04-03,GitHub PRs,7697,CycloneDX
2021-05-03,GitHub PRs,8686,CycloneDX
2021-06-02,GitHub PRs,8136,CycloneDX
2021-07-02,GitHub PRs,7810,CycloneDX
2021-08-01,GitHub PRs,8579,CycloneDX
2021-08-31,GitHub PRs,8628,CycloneDX
2021-09-30,GitHub PRs,9358,CycloneDX
2021-10-30,GitHub PRs,8908,CycloneDX
2021-11-29,GitHub PRs,10028,CycloneDX
2021-12-29,GitHub PRs,9924,CycloneDX
2022-01-28,GitHub PRs,10804,CycloneDX
2022-02-27,GitHub PRs,10386,CycloneDX
2022-03-29,GitHub PRs,10965,CycloneDX
2022-04-28,GitHub PRs,10586,CycloneDX
2022-05-28,GitHub PRs,10752,CycloneDX
2022-06-27,GitHub PRs,10545,CycloneDX
2022-07-27,GitHub PRs,12290,CycloneDX
2022-08-26,GitHub PRs,11954,CycloneDX
