Date,Count
2007-12-13,148
2008-01-12,149
2008-02-11,213
2008-03-12,378
2008-04-11,237
2008-05-11,214
2008-06-10,367
2008-07-10,239
2008-08-09,410
2008-09-08,354
2008-10-08,325
2008-11-07,206
2008-12-07,80
2009-01-06,56
2009-02-05,57
2009-03-07,177
2009-04-06,275
2009-05-06,204
2009-06-05,121
2009-07-05,172
2009-08-04,212
2009-09-03,108
2009-10-03,148
2009-11-02,104
2009-12-02,54
2010-01-01,129
2010-01-31,166
2010-03-02,301
2010-04-01,305
2010-05-01,138
2010-05-31,229
2010-06-30,56
2010-07-30,122
2010-08-29,157
2010-09-28,218
2010-10-28,173
2010-11-27,159
2010-12-27,197
2011-01-26,205
2011-02-25,316
2011-03-27,496
2011-04-26,363
2011-05-26,442
2011-06-25,283
2011-07-25,339
2011-08-24,462
2011-09-23,430
2011-10-23,865
2011-11-22,925
2011-12-22,599
2012-01-21,858
2012-02-20,1083
2012-03-21,1169
2012-04-20,551
2012-05-20,959
2012-06-19,828
2012-07-19,769
2012-08-18,671
2012-09-17,482
2012-10-17,457
2012-11-16,418
2012-12-16,320
2013-01-15,571
2013-02-14,527
2013-03-16,586
2013-04-15,408
2013-05-15,394
2013-06-14,340
2013-07-14,414
2013-08-13,437
2013-09-12,582
2013-10-12,490
2013-11-11,614
2013-12-11,335
2014-01-10,472
2014-02-09,568
2014-03-11,619
2014-04-10,463
2014-05-10,478
2014-06-09,662
2014-07-09,556
2014-08-08,662
2014-09-07,993
2014-10-07,1387
2014-11-06,1383
2014-12-06,719
2015-01-05,852
2015-02-04,962
2015-03-06,1489
2015-04-05,1143
2015-05-05,1457
2015-06-04,1328
2015-07-04,1258
2015-08-03,1114
2015-09-02,1612
2015-10-02,1830
2015-11-01,1189
2015-12-01,1127
2015-12-31,1255
2016-01-30,1152
2016-02-29,1549
2016-03-30,2100
2016-04-29,1849
2016-05-29,2039
2016-06-28,1966
2016-07-28,2212
2016-08-27,2090
2016-09-26,3084
2016-10-26,2573
2016-11-25,2296
2016-12-25,1522
2017-01-24,2328
2017-02-23,3891
2017-03-25,2818
2017-04-24,3126
2017-05-24,2366
2017-06-23,2592
2017-07-23,3370
2017-08-22,2914
2017-09-21,3049
2017-10-21,2780
2017-11-20,2711
2017-12-20,2476
2018-01-19,3345
2018-02-18,2893
2018-03-20,3200
2018-04-19,2702
2018-05-19,2679
2018-06-18,3207
2018-07-18,2919
2018-08-17,3262
2018-09-16,2892
2018-10-16,2886
2018-11-15,2501
2018-12-15,1947
2019-01-14,3698
2019-02-13,3253
2019-03-15,3520
2019-04-14,3400
2019-05-14,3695
2019-06-13,3401
2019-07-13,3210
2019-08-12,3018
2019-09-11,3243
2019-10-11,3223
2019-11-10,3269
2019-12-10,3669
2020-01-09,5337
2020-02-08,4984
2020-03-09,4276
2020-04-08,5399
2020-05-08,6005
2020-06-07,5880
2020-07-07,5288
2020-08-06,4709
2020-09-05,3840
2020-10-05,4389
2020-11-04,4161
2020-12-04,3265
2021-01-03,4213
2021-02-02,5178
2021-03-04,5402
2021-04-03,5628
2021-05-03,6411
2021-06-02,3352
2021-07-02,3310
2021-08-01,2801
2021-08-31,3373
2021-09-30,3264
2021-10-30,3426
2021-11-29,3395
2021-12-29,2488
2022-01-28,1821
2022-02-27,1696
2022-03-29,1820
2022-04-28,1833
2022-05-28,1640
2022-06-27,2022
2022-07-27,2206
2022-08-26,2144
2022-09-25,2287
2022-10-25,2684
2022-11-24,2519
2022-12-24,1771
2023-01-23,2814
2023-02-22,2603
2023-03-24,2556
2023-04-23,2384
2023-05-23,2967
2023-06-22,2740
2023-07-22,2852
2023-08-21,2981
2023-09-20,1787
