format,createdDate
SPDX,2022-10-03
SPDX,2018-07-04
SPDX,2020-08-25
SPDX,2019-09-12
SPDX,2020-05-05
SPDX,2021-03-02
SPDX,2020-12-04
SPDX,2022-10-18
SPDX,2023-07-04
SPDX,2022-10-24
SPDX,2022-02-05
SPDX,2019-02-28
SPDX,2023-02-24
SPDX,2022-11-17
SPDX,2022-12-29
SPDX,2019-02-16
SPDX,2022-08-06
SPDX,2021-10-27
SPDX,2023-03-07
SPDX,2017-09-19
SPDX,2019-07-01
SPDX,2020-07-01
SPDX,2020-12-15
SPDX,2016-01-10
SPDX,2017-06-27
SPDX,2022-08-30
SPDX,2023-08-08
SPDX,2022-09-08
SPDX,2021-03-17
SPDX,2020-03-08
SPDX,2023-05-04
SPDX,2021-08-24
SPDX,2022-05-24
