tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
tools-python,"🔎 ScanCode detects licenses, copyrights, dependencies by ""scanning code"" ... to discover and inventory open source and third-party packages used in your code. Sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase, the Google Summer of Code, Azure credits, nexB and others generous sponsors!",https://github.com/nexB/scancode-toolkit,[],"['licensing', 'packages', 'open-source-licensing', 'dependency-graph', 'provenance', 'dependencies', 'license', 'spdx', 'copyright', 'sca', 'spdx-licenses', 'license-checking', 'license-scan', 'copyright-scan', 'software-composition-analysis', 'oss-compliance', 'purl', 'package-url', 'sbom', 'cyclonedx']",,18000,69,504,68.0,v32.0.6,,,314.0,861,1412,18,1167,"10,739",Python,SPDX
ort,RTSP Server for V4L2 device capture supporting HEVC/H264/JPEG/VP8/VP9,https://github.com/mpromonet/v4l2rtspserver,[],"['c-plus-plus', 'rtsp', 'hls', 'rtsp-server', 'v4l2', 'mpeg-dash', 'v4l2-device']",,17000,86,418,32.0,v0.3.7,0.0,,11.0,47,241,2,22,725,C++,SPDX
sbom-tool,📦 The Extras bucket for Scoop.,https://github.com/ScoopInstaller/Extras,[],"['scoop', 'scoop-apps', 'scoop-bucket']",Unlicense license,16000,38,12000,,,,,941.0,390,5377,173,5907,"49,574",PowerShell,SPDX
bom,A Chaos Engineering Platform for Kubernetes.,https://github.com/chaos-mesh/chaos-mesh,[],"['kubernetes', 'golang', 'microservices', 'site-reliability-engineering', 'cncf', 'chaos', 'operator', 'cloud-native', 'fault-injection', 'hacktoberfest', 'chaos-testing', 'chaos-engineering', 'chaos-experiments', 'chaos-mesh']",Apache-2.0 license,6000,128,748,68.0,v2.6.2,8.0,50.0,178.0,338,1169,16,2485,"1,739",Go,SPDX
sbom-tool,Feature Flags for the Java platform,https://github.com/togglz/togglz,[],"['java', 'feature-flags', 'feature-toggles']",,867,31,270,29.0,Release 4.4.0,0.0,328.0,95.0,54,283,12,770,"1,463",Java,SPDX
tools-java,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web ui are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://github.com/fossology/fossology,[],"['oss', 'compliance', 'license', 'spdx', 'license-management', 'fossology', 'spdx-licenses', 'license-checking', 'license-scan', 'compliance-check', 'compliance-automation']",GPL-2.0 license,677,59,358,41.0,FOSSology 4.3.0 Release,0.0,,108.0,356,916,28,1230,"9,499",HTML,SPDX
bom,The Kubernetes Security Profiles Operator,https://github.com/kubernetes-sigs/security-profiles-operator,[],"['kubernetes', 'kubernetes-operator', 'seccomp', 'apparmor', 'selinux', 'k8s-sig-node', 'seccomp-operator', 'seccomp-profiles', 'security-profiles']",Apache-2.0 license,571,14,85,12.0,v0.8.0,,,35.0,21,194,3,1676,"1,948",C,SPDX
tools-python,Open source data pipelines for security teams.,https://github.com/tenzir/tenzir,[],"['security', 'netflow', 'pcap', 'network-forensics', 'incident-response', 'actor-model', 'bitmap-index', 'pipelines', 'dataops', 'suricata', 'siem', 'sigma', 'soc', 'zeek', 'investigation', 'threathunting', 'secdataops']",BSD-3-Clause license,535,35,76,112.0,Tenzir v4.2,4.0,,35.0,15,3317,15,3317,"18,188",C++,SPDX
bom,Kubernetes-native platform to run massively parallel data/streaming jobs,https://github.com/numaproj/numaflow,[],"['kubernetes', 'pipeline', 'stream-processing', 'map-reduce', 'k8s', 'data-processing', 'hacktoberfest']",Apache-2.0 license,474,14,53,29.0,v0.10.1,0.0,5.0,28.0,92,301,5,680,588,Go,SPDX
bom,"OWASP dep-scan is an open-source security audit based on known vulnerabilities and advisories for project dependencies. Supports both local repos and container images. Integrates with various CI environments such as Azure Pipelines, CircleCI, and Google CloudBuild. No server is required!",https://github.com/owasp-dep-scan/dep-scan,[],"['docker', 'security-audit', 'containers', 'dependency-analysis', 'vex', 'compliance', 'cve', 'sca', 'vulnerability-scanners', 'security-tools', 'devsecops', 'sbom', 'cyclonedx', 'risk-audit', 'dependency-audit']",,435,12,68,74.0,Release v4.2.8,2.0,,8.0,36,45,1,46,263,Python,SPDX
tools-golang,,https://github.com/aosp-mirror/platform_build,[],[],,420,62,738,,,0.0,,513.0,0,13,0,13,"85,611",Makefile,SPDX
tools-golang,EVE is Edge Virtualization Engine,https://github.com/lf-edge/eve,[],"['iot', 'security', 'networking', 'virtualization', 'edge', 'operating-system', 'linux-foundation']",Apache-2.0 license,413,32,157,104.0,9.4.5-lts,0.0,6.0,82.0,52,65,16,3334,"9,917",Go,SPDX
bom,"Kubernetes Cluster API Provider Hetzner provides a consistent deployment and day 2 operations of ""self-managed"" Kubernetes clusters on Hetzner.",https://github.com/syself/cluster-api-provider-hetzner,[],"['go', 'linux', 'kubernetes', 'devops', 'operator', 'k8s', 'cloud-native', 'high-availability', 'bare-metal', 'hetzner', 'hcloud', 'k8s-sig-cluster-lifecycle', 'cluster-api', 'k8s-sig-cluster-api', 'cluster-api-provider-hetzner', 'k8s-provider-hetzner']",Apache-2.0 license,393,8,37,,,3.0,,20.0,24,90,26,774,"1,346",Go,SPDX
bom,"underlay network solution of cloud native, for bare metal, VM and public cloud",https://github.com/spidernet-io/spiderpool,[],"['kubernetes', 'golang', 'cncf', 'cloud-native', 'ipam', 'cni']",Apache-2.0 license,373,5,55,41.0,Release v0.7.0,5.0,6.0,29.0,52,534,13,1765,"2,649",Go,SPDX
tools-golang,Support CI generation of SBOMs via golang tooling.,https://github.com/opensbom-generator/spdx-sbom-generator,[],[],,326,20,103,15.0,CI/CD Updates - Build Artifacts Updated,0.0,,30.0,117,63,13,112,388,Go,SPDX
sbom-tool,使用Github Action每天自动合并其他scoop仓库的更新，仓库地址：https://github.com/kkzzhizhou/scoop-apps,https://github.com/kkzzhizhou/scoop-apps,[],"['scoop', 'scoop-apps', 'scoop-bucket', 'github-actions', 'merge-scoop-bucket']",,295,2,49,,,0.0,,4.0,28,72,1,8,"1,202",Batchfile,SPDX
bom,build APKs from source code,https://github.com/chainguard-dev/melange,[],[],Apache-2.0 license,270,9,53,,,1.0,,38.0,58,64,19,578,"1,502",Go,SPDX
tools-java,A utility to generate SPDX-compliant Bill of Materials manifests,https://github.com/kubernetes-sigs/bom,[],"['go', 'kubernetes', 'golang', 'bom', 'spdx', 'sbom']",Apache-2.0 license,257,10,33,9.0,v0.5.1,,36.0,28.0,8,54,0,286,891,Go,SPDX
bom,Assembly 4 workbench for FreeCAD,https://github.com/Zolko-123/FreeCAD_Assembly4,[],[],LGPL-2.1 license,230,12,68,10.0,v0.50,0.0,,29.0,6,186,2,257,909,Python,SPDX
tools-golang,Artifact Ratification Framework,https://github.com/deislabs/ratify,[],"['kubernetes', 'secure-supply-chain']",Apache-2.0 license,141,13,49,,,7.0,3.0,36.0,97,258,2,727,640,Go,SPDX
bom,python module for CATIA V5 automation,https://github.com/evereux/pycatia,[],[],,140,23,38,19.0,0.6.0,0.0,,9.0,6,101,2,45,879,Python,SPDX
bom,,https://github.com/kdoctor-io/kdoctor,[],[],Apache-2.0 license,133,0,11,3.0,Release v0.2.0-rc0,4.0,,6.0,16,41,14,158,173,Go,SPDX
bom,Simple python library for building docker images.,https://github.com/containerbuildsystem/atomic-reactor,[],[],BSD-3-Clause license,131,13,65,109.0,4.10.0,0.0,,51.0,8,265,5,1805,"3,296",Python,SPDX
bom,EgressGateway provides network egress capabilities for Kubernetes clusters.,https://github.com/spidernet-io/egressgateway,[],"['kubernetes', 'networking', 'egress', 'egress-gateway']",Apache-2.0 license,128,2,10,6.0,Release v0.2.0,5.0,,9.0,43,157,17,596,744,Go,SPDX
spdx-sbomgenerator,Webhook server that evaluates WebAssembly policies to validate Kubernetes requests,https://github.com/kubewarden/policy-server,[],"['kubernetes', 'rust', 'webassembly', 'policy', 'hacktoberfest', 'policy-as-code', 'kubernetes-webhook', 'kubernetes-security']",Apache-2.0 license,125,8,12,36.0,v1.7.0,1.0,,11.0,6,108,1,439,896,Rust,SPDX
ort,Sample application for demonstrating container platforms and related technology,https://github.com/aws-containers/retail-store-sample-app,[],"['javascript', 'java', 'docker', 'kubernetes', 'golang', 'aws', 'docker-compose', 'containers', 'amazon-eks']",MIT-0 license,121,5,128,5.0,Release 0.5.0,,,12.0,16,10,12,298,429,Java,SPDX
spdx-maven-plugin,SPDX Tools,https://github.com/spdx/tools,[],"['spdx', 'license-management']",Apache-2.0 license,110,18,75,23.0,Release 2.2.8 - security updates,0.0,,19.0,25,111,3,166,"1,015",Java,SPDX
spdx-maven-plugin,SW360 project,https://github.com/eclipse-sw360/sw360,[],[],View license,103,27,87,25.0,sw360-17.0.0-M1,4.0,,45.0,345,732,18,939,"1,831",Java,SPDX
