tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
spdx-maven-plugin,SPDX Tools,https://github.com/spdx/tools,[],"['spdx', 'license-management']",Apache-2.0 license,110,18,75,23,Release 2.2.8 - security updates,0,,19,25,111,3,166,"1,015",Java
spdx-maven-plugin,A simple graphical SPDX creator/editor.,https://github.com/yevster/spdx-edit,[],[],,3,3,3,4,"N-Tripples, Automatic Namespaces, Gradle",0,,3,2,6,5,20,111,Java
spdx-maven-plugin,Detects the licenses of a software and checks them for compatibility.,https://github.com/OpenTOSCA/license-engine,[],[],Apache-2.0 license,0,22,0,,,0,,2,0,0,0,4,41,Java
spdx-maven-plugin,Utility that produces an SPDX report representing a Hub project/version's BOM,https://github.com/zvr/hub-spdx,[],[],Apache-2.0 license,0,2,0,,,0,,,0,0,0,0,132,Java
spdx-maven-plugin,SPDX Pretty Printer,https://github.com/pezra/pretty-printer,[],[],Apache-2.0 license,1,1,3,,,0,,2,0,0,0,0,17,Java
spdx-maven-plugin,"This is the replication package of the paper: ""Flakify: A Black-Box, Language Model-based Predictor for Flaky Tests""",https://github.com/uOttawa-Nanda-Lab/Flakify,[],[],,4,2,6,,,0,,2,0,1,0,0,3,Java
spdx-maven-plugin,,https://github.com/swmuir/khie,[],[],,0,2,0,,,0,,4,0,0,0,0,276,Java
spdx-maven-plugin,Utility that converts SBOM documents from CycloneDX to SPDX,https://github.com/spdx/cdx2spdx,[],[],Apache-2.0 license,20,4,7,5,Release 0.1.4 of the CycloneDX to SPDX Utility,0,,3,3,11,0,20,74,Java
spdx-maven-plugin,Реверс инжиниринг архитектуры Geode,https://github.com/gridgentoo/geode,[],[],Apache-2.0 license,0,2,1,,,0,,129,0,0,0,0,"10,682",Java
spdx-maven-plugin,,https://github.com/spdx/spdx-gradle-plugin,[],[],Apache-2.0 license,4,7,5,,,0,,7,9,4,2,30,99,Java
spdx-maven-plugin,SPDX Tools RDF Support Library,https://github.com/spdx/spdx-java-rdf-store,[],[],Apache-2.0 license,2,3,2,16,Version 1.1.6 of the SPDX Java RDF Library,0,,2,2,12,1,36,148,Java
spdx-maven-plugin,JSON storage implementation for the SPDX tools,https://github.com/spdx/spdx-java-jackson-store,[],[],Apache-2.0 license,4,3,5,15,Version 1.1.7 of the SPDX Java Jackson Store,0,,3,4,20,1,36,137,Java
spdx-maven-plugin,SPDX Java library spreadsheet storage,https://github.com/spdx/spdx-java-spreadsheet-store,[],[],Apache-2.0 license,1,3,2,13,Release 1.1.6 of the SPDX Java Spreadsheet Store,0,,3,1,6,0,19,81,Java
spdx-maven-plugin,,https://github.com/Ti-tanium/Software-Test-Project,[],[],,0,1,1,,,0,,,0,0,0,0,76,Java
spdx-maven-plugin,,https://github.com/swmuir/knarts,[],[],,0,2,0,,,0,,4,0,0,0,0,282,Java
spdx-maven-plugin,Saving of apache geode protoful from deletion,https://github.com/moleske/geode-protobuf,[],[],,0,2,1,,,0,,2,0,0,17,140,61,Java
spdx-maven-plugin,,https://github.com/rohankumardubey/geode,[],[],Apache-2.0 license,0,1,0,,,0,,129,0,0,0,0,"10,679",Java
spdx-maven-plugin,,https://github.com/BabelZilla/WTS,[],[],,9,6,9,,,0,,3,1,1,0,6,34,PHP
spdx-maven-plugin,Parse spdx license expressions into structured object,https://github.com/NodeSecure/licenses-conformance,[],"['nodejs', 'spdx', 'licenses', 'conformance']",MIT license,0,1,2,2,v1.2.0,,,8,0,3,6,34,58,JavaScript
spdx-maven-plugin,The Kotlin Programming Language.,https://github.com/JetBrains/kotlin,[],"['kotlin', 'programming-language', 'compiler', 'kotlin-library', 'maven-plugin', 'gradle-plugin', 'intellij-plugin']",,459000,15000,57000,210,Kotlin 1.9.10,0,14000,607,165,4995,165,4995,"104,983",Kotlin
spdx-maven-plugin,A light-weight app to audit and inventory large codebases for open source license compliance.,https://github.com/opossum-tool/OpossumUI,[],"['spdx', 'package-dependency', 'remediation', 'license-scan', 'copyright-scan', 'software-composition-analysis', 'codescan', 'oss-compliance', 'software-bill-of-materials']",Apache-2.0 license,48,2,25,71,OpossumUI-2023-09-05,0,,21,72,135,9,1839,"3,482",TypeScript
tools-golang,,https://github.com/fullsushidev/qmstr,[],[],GPL-3.0 license,0,0,0,,,0,,4,0,0,0,2,800,Go
tools-golang,Analyzing Cloud Security Posture,https://github.com/elastic/cloudbeat,[],"['golang', 'cloud', 'vulnerability-detection', 'vulnerability-scanners', 'cspm']",,24,11,34,,,0,,26,121,329,6,886,664,Go
tools-golang,A reference implementation of a verifiable credentials platform for digital trade and traceability,https://github.com/uncefact/project-vckit,[],[],GPL-3.0 license,4,7,6,,,0,3,8,1,81,0,73,156,TypeScript
tools-golang,,https://github.com/gnoliyil/fuchsia,[],[],BSD-2-Clause license,4,1,1,,,0,,557,0,0,1,0,"145,892",C++
tools-golang,,https://github.com/OR13/undocumented-credential-claims,[],[],,0,2,0,,,0,,,0,0,0,0,3,JavaScript
tools-golang,"Fork of Fuchsia, the project I worked on when I was interning at Google",https://github.com/tran-simon/fuchsia,[],[],BSD-2-Clause license,0,1,0,,,0,,556,0,0,0,0,"145,529",C++
tools-golang,A traceability vocabulary for describing relevant Verifiable Credentials and their contents.,https://github.com/w3c-ccg/traceability-vocab,[],"['linked-data', 'vocabulary', 'supply-chain', 'traceability', 'workitem', 'w3c-ccg']",,30,29,32,,,0,,26,60,236,0,581,"2,813",JavaScript
tools-golang,,https://github.com/anchore/grype-db,[],[],Apache-2.0 license,25,17,9,13,v0.19.1,13,,11,4,9,2,156,133,Go
tools-golang,,https://github.com/NeXTLinux/gochangelog,[],[],Apache-2.0 license,0,1,1,,,0,,7,0,0,10,9,95,Go
tools-golang,ChatCVE is an app using the Langchain SQL Language Tool to give a LLM prompt experience to CVE and SBOM DevSecOps Triage Data,https://github.com/jasona7/ChatCVE,[],"['python', 'security', 'devsecops', 'sbom']",Apache-2.0 license,6,1,1,,,0,,,0,0,0,0,57,Makefile
tools-golang,,https://github.com/anchore/go-logger,[],[],Apache-2.0 license,1,14,1,,,0,,2,3,0,0,8,18,Go
tools-golang,,https://github.com/khulnasoft-lab/go-logger,[],[],Apache-2.0 license,0,0,0,,,0,,,0,0,1,0,17,Go
tools-golang,,https://github.com/khulnasoft-lab/changelogger,[],[],Apache-2.0 license,0,0,1,,,0,,,0,0,1,0,5,Go
tools-golang,"🥑 Language focused docker images, minus the operating system.",https://github.com/GoogleContainerTools/distroless,[],"['docker', 'bazel']",Apache-2.0 license,164000,194,977,,,0,,123,70,451,2,872,"1,574",Starlark
tools-golang,"concurrent, cache-efficient, and Dockerfile-agnostic builder toolkit",https://github.com/moby/buildkit,[],"['go', 'docker', 'golang', 'dockerfile', 'builder', 'containers', 'oci', 'oci-image', 'cloud-native', 'buildkit']",Apache-2.0 license,71000,115,1000,98,v0.12.2,0,17000,198,637,1020,87,2465,"5,784",Go
tools-golang,Support CI generation of SBOMs via golang tooling.,https://github.com/opensbom-generator/spdx-sbom-generator,[],[],,326,20,103,15,CI/CD Updates - Build Artifacts Updated,0,,30,117,63,13,112,388,Go
tools-golang,,https://github.com/aosp-mirror/platform_build,[],[],,420,62,738,,,0,,513,0,13,0,13,"85,611",Makefile
tools-golang,Add SPDX license IDs (https://spdx.org/ids) to your codebase,https://github.com/swinslow/spdxify,[],[],,0,2,0,,,0,,,0,0,0,0,6,Go
tools-golang,Inspect and push SBOMs (such as SPDX documents) to an OCI registry as an OCI artifact,https://github.com/Azure/obom,[],"['oci', 'spdx', 'sbom']",MIT license,4,3,3,4,v0.0.4,0,,6,0,1,0,13,64,Go
tools-golang,"Utility for bulk image, license, package, and vulnerability discovery in containerize workloads on GCP. Includes CLI and Service with custom metrics and BigQuery data exports.",https://github.com/mchmarny/disco,[],[],Apache-2.0 license,13,2,3,57,v1.1.1,,,2,3,8,10,158,382,Go
tools-golang,A tool that takes two or more micro SBOMs and composes them into one distributable SBOM,https://github.com/vmware-samples/sbom-composer,[],[],BSD-2-Clause license,21,2,3,1,v0.1.0,0,,5,8,3,2,2,42,Go
tools-golang,,https://github.com/opensbom-generator/sbom-composer,[],[],BSD-2-Clause license,1,3,0,,,0,,5,4,1,0,1,44,Go
tools-golang,QMSTR compliance tool,https://github.com/QMSTR/qmstr,[],[],,31,1,1,,,0,,11,58,123,2,365,"1,219",Go
tools-golang,Product Model Toolkit for Managing Open Source Dependencies in Products,https://github.com/riehlegroup/product-model-toolkit,[],[],,4,4,4,,,3,,3,1,4,1,41,286,Go
tools-golang,Bazel rules to manage installation of .deb archives from Debian APT repositories.,https://github.com/mmogylenko/rules_deb_packages,[],"['bazel', 'bazel-rules']",View license,0,1,0,2,v0.0.2,0,,,1,0,0,3,2,Go
tools-golang,Golang tool to pull and summarize NPM license info,https://github.com/swinslow/npm-spdx,[],[],Apache-2.0 license,11,3,3,,,0,,,2,3,20,9,8,Go
tools-golang,SPDX documents and related code for OIN's Linux System Definition packages,https://github.com/swinslow/spdx-oin,[],[],,1,3,0,,,0,,,0,0,0,1,10,Go
tools-golang,,https://github.com/docker/go-imageinspect,[],[],Apache-2.0 license,15,4,2,,,0,,3,10,1,3,9,40,Go
tools-golang,,https://github.com/swinslow/cncf-exceptions-maker,[],[],Apache-2.0 license,0,2,0,,,0,,,1,0,0,0,2,Go
tools-golang,A stacker companion SBOM generator library and tool,https://github.com/project-stacker/stacker-bom,[],[],Apache-2.0 license,0,2,1,5,v0.0.5,0,,,0,0,5,45,22,Go
tools-golang,a fork of moby/buildkit,https://github.com/earthly/buildkit,[],[],Apache-2.0 license,2,5,2,,,0,6,259,0,0,3,21,"5,808",Go
tools-golang,,https://github.com/AOSP-14-RMX2020/platform_build,[],[],,0,0,0,,,0,,566,0,0,0,0,"85,319",Makefile
tools-golang,,https://github.com/Exynos-AOSP-Master/android_build,[],[],,0,0,0,,,0,,555,0,0,0,0,"85,435",Makefile
tools-golang,QMSTR compliance tool,https://github.com/fullsushidev/qmstr-1,[],[],GPL-3.0 license,0,0,0,,,0,,11,0,0,0,0,"1,206",Go
tools-golang,Artifact Ratification Framework,https://github.com/deislabs/ratify,[],"['kubernetes', 'secure-supply-chain']",Apache-2.0 license,141,13,49,,,7,3,36,97,258,2,727,640,Go
tools-golang,,https://github.com/spdx/gordf,[],[],MIT license,10,8,5,,,0,,3,0,5,0,3,68,Go
tools-golang,,https://github.com/nydusaccelerator/buildkit,[],[],Apache-2.0 license,2,6,1,,,0,,235,1,0,7,7,"4,879",Go
tools-golang,EVE is Edge Virtualization Engine,https://github.com/lf-edge/eve,[],"['iot', 'security', 'networking', 'virtualization', 'edge', 'operating-system', 'linux-foundation']",Apache-2.0 license,413,32,157,104,9.4.5-lts,0,6,82,52,65,16,3334,"9,917",Go
tools-golang,A Go implementation of in-toto. in-toto is a framework to protect software supply chain integrity.,https://github.com/in-toto/in-toto-golang,[],"['security', 'software-supply-chain', 'in-toto']",View license,100,10,44,14,v0.9.0,,,28,24,51,2,193,827,Go
tools-golang,Tool to inspect and push and SPDX document as an OCI artifact,https://github.com/sajayantony/obom_cli,[],"['oci', 'spdx', 'opencontainers', 'sbom']",MIT license,10,1,5,1,v0.0.2,,,3,1,1,1,2,24,Go
tools-golang,,https://github.com/swinslow/peridot-agents,[],[],,0,2,0,,,0,,,0,0,0,0,11,Go
tools-golang,Automatic license scanning and reports!,https://github.com/purpleidea/yesiscan,[],"['golang', 'license', 'copyright']",,7,3,1,,,,,,0,0,0,0,148,Go
tools-golang,Experimental tool to merge multiple SPDX SBOMs into single a SBOM,https://github.com/verifa/sbom-merge,[],[],Apache-2.0 license,0,1,0,,,0,,,0,0,0,0,5,Go
tools-golang,Find and report on SPDX short-form license identifiers in Linux kernel source code,https://github.com/swinslow/kernel-spdx-ids,[],[],,3,2,1,,,0,,,2,0,0,2,6,Go
bom,Open Container Initiative-based implementation of Kubernetes Container Runtime Interface,https://github.com/cri-o/cri-o,[],"['kubernetes', 'oci', 'hacktoberfest', 'runc', 'container-runtime-interface', 'oci-runtime', 'kata-containers', 'k8s-sig-node']",Apache-2.0 license,48000,124,1000,184,v1.28.1,0,32,282,67,1209,50,5985,"8,333",Go
bom,A repository of NUR that combines all repositories [maintainer=@Mic92],https://github.com/nix-community/nur-combined,[],['nur'],,87,9,12,,,0,,2,2,6,0,5,"35,581",Nix
bom,My personal NUR repository,https://github.com/06kellyjac/nur-packages,[],[],MIT license,0,3,0,,,0,,2,0,0,3,19,200,Nix
bom,,https://github.com/dims/k8s-code.appspot.com,[],[],Apache-2.0 license,1,4,5,,,0,,2,0,0,0,4,11,Python
bom,Test infrastructure for the Kubernetes project.,https://github.com/kubernetes/test-infra,[],['k8s-sig-testing'],Apache-2.0 license,37000,131,26000,,,0,,1227,139,4133,114,26305,"55,456",Go
bom,Kubernetes community content,https://github.com/kubernetes/community,[],['kubernetes'],Apache-2.0 license,112000,698,51000,,,0,,1247,89,1573,38,5773,"12,700",Jupyter
bom,SIG Collection of GitHub actions from SIG Release,https://github.com/puerco/release-actions,[],[],Apache-2.0 license,4,3,0,,,0,,3,0,0,0,43,90,
bom,Opearator Feature Matrix - Features specification for Kubernetes data operators,https://github.com/dokc/operator-feature-matrix,[],"['kubernetes', 'postgres', 'operators', 'features', 'stateful']",Apache-2.0 license,13,7,4,,,,,6,1,2,2,3,11,Shell
bom,Shared Midokura DevOps GitHub Actions,https://github.com/midokura/gha-devops,[],"['platform', 'devops', 'actions', 'github-actions', 'terraformed-repo']",,0,19,1,1,v1.0.0,,,6,0,18,0,18,22,Python
bom,,https://github.com/RobertKielty/hook-plugin-docker-action,[],[],,1,3,0,,,0,,3,0,0,0,0,24,Shell
bom,GitHub actions used by the Kubewarden project,https://github.com/kubewarden/github-actions,[],"['kubernetes', 'webassembly', 'hacktoberfest', 'policy-as-code', 'kubernetes-security']",Apache-2.0 license,4,8,7,18,v3.1.9,,,10,2,9,0,79,192,
bom,Uber : Тестовая инфраструктура для проекта Kubernetes.,https://github.com/gridgentoo/uber-kubernetes-test-infra,[],[],Apache-2.0 license,0,1,0,,,0,,1099,0,0,0,0,"51,783",Go
bom,Some code to get per SIG/WG/Committee unique review/approver count in the Kubernetes community,https://github.com/MadhavJivrajani/owners-counts,[],[],Apache-2.0 license,0,2,0,,,0,,,0,0,0,0,5,Go
bom,kubepug-installer GitHub Action,https://github.com/cpanato/kubepug-installer,[],"['kubernetes', 'github-actions', 'kubepug']",Apache-2.0 license,4,3,0,2,v1.1.0,,,2,0,0,0,5,9,
bom,,https://github.com/Prow-Cluster-Bot/prow-config,[],[],,0,0,0,,,0,,,0,0,0,0,15,Jsonnet
bom,,https://github.com/daemon1024/scratchpad-k8s-sig-resource,[],[],,1,1,0,,,0,,2,0,0,0,0,8,Go
bom,"eBPF-based Networking, Security, and Observability",https://github.com/cilium/cilium,[],"['kubernetes', 'security', 'networking', 'monitoring', 'kernel', 'containers', 'cncf', 'k8s', 'ebpf', 'xdp', 'troubleshooting', 'observability', 'cni', 'loadbalancing', 'bpf', 'kubernetes-networking']",Apache-2.0 license,165000,310,24000,250,1.14.2,,121,645,913,7319,187,19797,"25,670",Go
bom,eBPF-based Security Observability and Runtime Enforcement,https://github.com/cilium/tetragon,[],"['kubernetes', 'security', 'kernel', 'ebpf', 'bpf']",Apache-2.0 license,26000,44,241,10,Release v0.11.0,0,5,59,131,157,72,1149,"2,022",C
bom,"Kubernetes Cluster API Provider Hetzner provides a consistent deployment and day 2 operations of ""self-managed"" Kubernetes clusters on Hetzner.",https://github.com/syself/cluster-api-provider-hetzner,[],"['go', 'linux', 'kubernetes', 'devops', 'operator', 'k8s', 'cloud-native', 'high-availability', 'bare-metal', 'hetzner', 'hcloud', 'k8s-sig-cluster-lifecycle', 'cluster-api', 'k8s-sig-cluster-api', 'cluster-api-provider-hetzner', 'k8s-provider-hetzner']",Apache-2.0 license,393,8,37,,,3,,20,24,90,26,774,"1,346",Go
bom,Envoy with Cilium filters,https://github.com/cilium/proxy,[],[],Apache-2.0 license,102,22,41,,,0,76,19,9,22,7,330,748,C++
bom,"underlay network solution of cloud native, for bare metal, VM and public cloud",https://github.com/spidernet-io/spiderpool,[],"['kubernetes', 'golang', 'cncf', 'cloud-native', 'ipam', 'cni']",Apache-2.0 license,373,5,55,41,Release v0.7.0,5,6,29,52,534,13,1765,"2,649",Go
bom,The Elemental operator is responsible for managing the OS versions and maintaining a machine inventory to assist with edge or baremetal installations.,https://github.com/rancher/elemental-operator,[],"['kubernetes', 'operator']",Apache-2.0 license,24,11,14,34,v1.3.4,,,16,28,181,3,317,664,Go
bom,The Kubernetes Security Profiles Operator,https://github.com/kubernetes-sigs/security-profiles-operator,[],"['kubernetes', 'kubernetes-operator', 'seccomp', 'apparmor', 'selinux', 'k8s-sig-node', 'seccomp-operator', 'seccomp-profiles', 'security-profiles']",Apache-2.0 license,571,14,85,12,v0.8.0,,,35,21,194,3,1676,"1,948",C
bom,"Kubernetes Cluster API Provider Hivelocity provides a consistent deployment and day 2 operations of ""self-managed"" Kubernetes clusters on Hivelocity.",https://github.com/hivelocity/cluster-api-provider-hivelocity,[],"['go', 'linux', 'kubernetes', 'devops', 'k8s', 'cloud-native', 'bare-metal', 'k8s-sig-cluster-lifecycle', 'cluster-api', 'hivelocity', 'cluster-api-provider-hivelocity', 'caphv', 'k8s-provider-hivelocity']",Apache-2.0 license,3,7,0,2,v1.0.0-alpha.0,2,,4,19,11,1,72,175,Go
bom,EgressGateway provides network egress capabilities for Kubernetes clusters.,https://github.com/spidernet-io/egressgateway,[],"['kubernetes', 'networking', 'egress', 'egress-gateway']",Apache-2.0 license,128,2,10,6,Release v0.2.0,5,,9,43,157,17,596,744,Go
bom,,https://github.com/kdoctor-io/kdoctor,[],[],Apache-2.0 license,133,0,11,3,Release v0.2.0-rc0,4,,6,16,41,14,158,173,Go
bom,"The SCS Cluster Stack Operator takes care of life cycle management, configuration and provider specific tasks of Kubernetes clusters created with SCS Cluster Stacks",https://github.com/SovereignCloudStack/cluster-stack-operator,[],['k8s'],Apache-2.0 license,3,5,0,,,3,,3,1,0,0,6,6,Go
bom,,https://github.com/spidernet-io/spiderdoctor,[],[],Apache-2.0 license,14,2,3,11,Release v0.4.0-rc1,4,,4,25,45,9,344,553,Go
bom,,https://github.com/cuiyeshuai/cilium,[],[],Apache-2.0 license,0,1,0,,,0,,,0,0,0,0,"23,197",Go
bom,,https://github.com/spidernet-io/rocktemplate,[],[],Apache-2.0 license,0,1,1,3,Release v0.1.2,6,,3,5,44,9,267,542,Go
bom,build APKs from source code,https://github.com/chainguard-dev/melange,[],[],Apache-2.0 license,270,9,53,,,1,,38,58,64,19,578,"1,502",Go
bom,BaseJump Open-Source Hardware Accelerator Motherboards,https://github.com/bespoke-silicon-group/bsg_motherboards,[],[],,5,7,0,,,0,,2,3,4,0,2,129,Verilog
bom,python module for CATIA V5 automation,https://github.com/evereux/pycatia,[],[],,140,23,38,19,0.6.0,0,,9,6,101,2,45,879,Python
bom,Assembly 4 workbench for FreeCAD,https://github.com/Zolko-123/FreeCAD_Assembly4,[],[],LGPL-2.1 license,230,12,68,10,v0.50,0,,29,6,186,2,257,909,Python
bom,Blinky in 3D!,https://github.com/kbob/LED-Cube,[],[],,49,10,2,,,0,,,1,0,0,2,80,HTML
bom,Odoo integration with accounting program via M*SQL,https://github.com/Micronaet/micronaet-sql,[],[],AGPL-3.0 license,0,3,0,,,0,,,0,0,0,0,176,Python
bom,Testing out spack GitHub packages again now that there is one hash with reuse,https://github.com/syspack/pakages,[],"['package-manager', 'packages', 'spack', 'github-packages']",View license,2,2,0,4,Pakages Release 0.0.21,7,,,0,2,0,21,45,Python
bom,,https://github.com/chintal/tendril,[],[],,2,2,2,,,0,,2,0,17,0,4,"1,035",Python
bom,,https://github.com/xjtucoderesearch/UsabilityTest,[],[],,0,1,1,,,0,,2,0,0,0,0,71,Python
bom,,https://github.com/pombredanne/gitlab.com-hoppr-hoppr-cyclonedx-models,[],[],MIT license,0,2,0,,,0,,4,0,0,0,0,144,Python
bom,"Interface Innovations libraries for networked control, general and pi-based",https://github.com/iinnovations/iicontrollibs,[],[],,15,7,9,,,0,,2,0,0,0,0,386,Python
bom,,https://github.com/philipwig/ledcube,[],[],,0,1,0,1,First Release,0,,,0,0,0,0,46,HTML
bom,Lockheed Martin developed utility to generate CycloneDX SBOMs for Linux distributions,https://github.com/CycloneDX/cyclonedx-linux-generator,[],"['linux', 'owasp', 'bom', 'bill-of-materials', 'software-bill-of-materials', 'sbom', 'cyclonedx', 'sbom-generator']",View license,37,8,11,,,0,,4,5,0,10,54,78,Java
bom,This is mescep,https://github.com/MrWenBo/mescep,[],[],,0,2,1,,,0,,,0,0,0,0,2,Java
bom,A Maven plugin to perform various tasks related to Camel Quarkus,https://github.com/l2x6/cq-maven-plugin,[],[],,3,4,11,,,0,,9,5,7,4,264,649,Java
bom,The package manager gives instant access to the app store and includes everything needed for publishig apps,https://github.com/axenox/PackageManager,[],[],GPL-2.0 license,2,5,3,2,ExFace Release 0.27,0,,3,0,0,1,21,459,PHP
bom,Builder and tools for GOSH,https://github.com/gosh-sh/gosh-build-tools,[],[],,0,6,0,3,Version: 0.1.1,0,,4,0,0,0,8,157,Rust
