tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
Spdx-Java-Library,SPDX Command Line Tools using the Spdx-Java-Library,https://github.com/spdx/tools-java,[],[],Apache-2.0 license,43,6,31,16,Release 1.1.7 of the SPDX Java Tools,0,15,11,10,50,2,62,215,Java
Spdx-Java-Library,,https://github.com/spdx/spdx-testbed,[],[],View license,0,8,1,,,0,,4,16,11,0,30,130,Java
Spdx-Java-Library,Collection of Go packages to work with SPDX files,https://github.com/spdx/tools-golang,[],[],,91,12,51,10,v0.5.3,0,500,19,27,69,2,126,456,Go
Spdx-Java-Library,Plugin for supporting SPDX in a Maven build.,https://github.com/spdx/spdx-maven-plugin,[],[],Apache-2.0 license,31,5,21,14,Release 0.7.0 of the SPDX Maven Plugin,0,81,15,7,33,0,90,223,Java
tools-python,"🔎 ScanCode detects licenses, copyrights, dependencies by ""scanning code"" ... to discover and inventory open source and third-party packages used in your code. Sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase, the Google Summer of Code, Azure credits, nexB and others generous sponsors!",https://github.com/nexB/scancode-toolkit,[],"['licensing', 'packages', 'open-source-licensing', 'dependency-graph', 'provenance', 'dependencies', 'license', 'spdx', 'copyright', 'sca', 'spdx-licenses', 'license-checking', 'license-scan', 'copyright-scan', 'software-composition-analysis', 'oss-compliance', 'purl', 'package-url', 'sbom', 'cyclonedx']",,18000,69,504,68,v32.0.6,,,314,861,1412,18,1167,"10,739",Python
tools-python,Inspect Python code and PyPI package manifests. Resolve Python dependencies.,https://github.com/nexB/python-inspector,[],"['python', 'pip', 'dependency-resolver']",,15,9,10,8,v0.9.8,0,,22,36,49,3,57,506,Python
tools-python,Open source data pipelines for security teams.,https://github.com/tenzir/tenzir,[],"['security', 'netflow', 'pcap', 'network-forensics', 'incident-response', 'actor-model', 'bitmap-index', 'pipelines', 'dataops', 'suricata', 'siem', 'sigma', 'soc', 'zeek', 'investigation', 'threathunting', 'secdataops']",BSD-3-Clause license,535,35,76,112,Tenzir v4.2,4,,35,15,3317,15,3317,"18,188",C++
tools-python,An early WIP library for handling Opossum files with Python,https://github.com/opossum-tool/opossum.lib.py,[],[],Apache-2.0 license,0,2,7,,,0,,6,14,24,1,54,130,Python
tools-python,Use SBOM metadata to validate release integrity.,https://github.com/jotterson/sbom-validator,[],"['spdx', 'sbom', 'sbom-generator', 'spdx-sbom']",BSD-2-Clause license,4,1,0,3,v1.2.0,,,2,0,0,0,1,44,Python
tools-python,The Advanced Vulnerability Information Sharing Environment -- A Platform for CVD and PSIRT Management,https://github.com/vu-ls/advise,[],[],AGPL-3.0 license,7,2,0,4,v1.3.0,0,,3,1,0,0,0,55,Python
tools-python,Several handy macros and modules for use with CMake,https://github.com/emzeat/mz-cmaketools,[],"['cmake', 'clang-tidy', 'ccache', 'conan-io']",Apache-2.0 license,4,1,2,,,,,,0,0,0,0,300,CMake
tools-python,Generating Software Bill-of-Materials (SBOM) for CPython release artifacts,https://github.com/sethmlarson/cpython-sbom,[],[],CC0-1.0 license,0,1,0,,,,,,1,0,0,0,3,Python
tools-python,Modular framework for SBOM generation that gathers file information and analyzes dependencies,https://github.com/LLNL/Surfactant,[],"['python', 'tool', 'static-analysis', 'dependency-analysis', 'dependency-graph', 'python3', 'dependencies', 'spdx', 'hacktoberfest', 'software-composition-analysis', 'software-bill-of-materials', 'sbom', 'cyclonedx', 'sbom-generator']",MIT license,0,2,3,,,0,,12,10,8,3,26,357,Python
tools-python,A Python library for comparing Software Bill of Materials (SBOM) files with customizable and extendable rules.,https://github.com/williamfzc/sbom-rule-diff,[],[],MIT license,0,1,0,,,0,,,0,0,0,0,2,Python
tools-python,Check SPDX SBOM for NTIA minimum elements,https://github.com/spdx/ntia-conformance-checker,[],"['sbom', 'sbom-tool']",Apache-2.0 license,36,10,10,9,v0.5.1,0,,11,2,75,0,80,283,Python
tools-java,Source for the website providing online SPDX tools,https://github.com/spdx/spdx-online-tools,[],[],Apache-2.0 license,52,14,59,4,Release 1.2.1 of the SPDX Online Tools,0,,29,43,186,14,251,"1,170",JavaScript
tools-java,Generates Java source files from the SPDX spec version 3+ suitable for inclusion in the SPDX Java Library,https://github.com/goneall/spdx-model-to-java,[],[],Apache-2.0 license,0,1,0,,,0,,,0,0,0,0,15,Java
tools-java,Produce an Open Source Vulnerability JSON file based on information in an SPDX document,https://github.com/spdx/spdx-to-osv,[],[],Apache-2.0 license,47,5,9,5,Version 0.1.2 of the SPDX to OSV Utility,0,,3,3,9,0,17,57,Java
tools-java,,https://github.com/chris-toenjes-deye/salus-spdx-to-osv,[],[],Apache-2.0 license,1,1,0,,,0,,3,0,1,0,1,29,Java
tools-java,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web ui are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://github.com/fossology/fossology,[],"['oss', 'compliance', 'license', 'spdx', 'license-management', 'fossology', 'spdx-licenses', 'license-checking', 'license-scan', 'compliance-check', 'compliance-automation']",GPL-2.0 license,677,59,358,41,FOSSology 4.3.0 Release,0,,108,356,916,28,1230,"9,499",HTML
tools-java,Examples of SPDX files for software combinations,https://github.com/spdx/spdx-examples,[],[],,92,11,41,,,0,,9,9,23,0,38,81,Java
tools-java,A collection of reusable Github Actions workflows.,https://github.com/chainguard-dev/actions,[],[],Apache-2.0 license,81,4,41,,,0,,29,12,12,11,294,257,
tools-java,"This repo contains license and copyright analysis results of open source packages. It further contains other license compliance relevant artifacts, which might be of value for others",https://github.com/Open-Source-Compliance/package-analysis,[],[],View license,25,6,8,,,0,,7,0,9,0,53,"1,417",
tools-java,,https://github.com/opossum-tool/examples,[],[],,2,3,1,,,0,,2,0,0,0,0,2,Shell
tools-java,,https://github.com/eclipse-sw360/sw360.website.published,[],[],,1,11,1,,,0,,2,0,0,0,0,44,CSS
tools-java,A utility to generate SPDX-compliant Bill of Materials manifests,https://github.com/kubernetes-sigs/bom,[],"['go', 'kubernetes', 'golang', 'bom', 'spdx', 'sbom']",Apache-2.0 license,257,10,33,9,v0.5.1,,36,28,8,54,0,286,891,Go
spdx-maven-plugin,SW360 project,https://github.com/eclipse-sw360/sw360,[],[],View license,103,27,87,25,sw360-17.0.0-M1,4,,45,345,732,18,939,"1,831",Java
