tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
cyclonedx-python,,https://github.com/Reguzzoni/AlgoKitTemplate,[],[],,0,1,0,,,0,,,0,0,0,0,1,Python
cyclonedx-python,E-learning platform,https://github.com/NC3-LU/eLearning,[],[],,0,4,0,,,0,,4,0,0,0,2,178,Python
cyclonedx-python,,https://github.com/algorandfoundation/algorun,[],[],MIT license,25,4,2,,,0,,,5,0,0,0,2,Python
cyclonedx-python,A command line tool and library for validating TransXChange and NeTEx XML and Zip files,https://github.com/ciaranmccormick/transidate,[],[],,2,2,0,4,Release v0.4.0,0,,,0,2,1,23,33,Python
cyclonedx-python,Smart contract for Algorand using PyTeal,https://github.com/danilych/auction-algorand,[],"['python', 'smart-contracts', 'blockchain', 'beaker', 'teal', 'algorand', 'pyteal']",,0,1,0,,,0,,,0,0,0,0,3,Python
cyclonedx-python,install and alias for flutter,https://github.com/hadenlabs/zsh-flutter,[],"['dart', 'zsh', 'plugins', 'flutter', 'peru', 'hadenlabs']",LGPL-3.0 license,9,1,2,6,0.4.0,0,,4,0,41,1,68,248,Shell
cyclonedx-python,Document Repository Management CLI,https://github.com/PBorocz/repoman,[],[],,0,1,0,,,0,,,0,0,2,0,53,Python
cyclonedx-python,,https://github.com/jaredlhf/walletconnecterror,[],[],,0,1,0,,,0,,,0,0,0,0,7,JavaScript
cyclonedx-python,,https://github.com/algorandfoundation/algokit-arc-library,[],[],MIT license,0,9,0,,,0,,4,0,0,0,4,10,Python
cyclonedx-python,Flutter learning,https://github.com/luismayta/flutter-learning,[],"['learning', 'flutter', 'peru']",LGPL-3.0 license,1,1,0,,,0,,2,2,1,4,129,130,JavaScript
cyclonedx-python,,https://github.com/evertdiaz/insurance-demo-algorand,[],[],,1,1,1,,,0,,,0,0,0,0,2,Python
cyclonedx-python,Stats Service for @monarc-project,https://github.com/monarc-project/stats-service,[],"['python', 'api', 'flask', 'statistics', 'swagger', 'stats', 'swagger-ui', 'monarc']",,6,7,1,8,Release 0.5.2,1,,5,1,3,1,12,"1,077",Python
cyclonedx-python,Resume template,https://github.com/hadenlabs/resume-template,[],"['resume', 'template', 'latex', 'peru', 'altacv', 'hadenlabs']",LGPL-3.0 license,3,1,1,,,0,,2,0,8,0,9,154,TeX
cyclonedx-python,"Simple implementation of the Caesar cipher, focusing on learning how to organize a project in Python.",https://github.com/AmeriCodes/caesar_cipher,[],[],GPL-3.0 license,0,1,0,,,0,,,0,0,0,0,10,Python
cyclonedx-python,AlmaLinux OS SBOM data management utility.,https://github.com/AlmaLinux/alma-sbom,[],[],GPL-3.0 license,5,8,2,,,0,,5,3,3,0,15,79,Python
cyclonedx-python,public mirror of openSUSE sources from build.opensuse.org,https://github.com/bmwiedemann/openSUSE,[],"['mirror', 'ipfs', 'opensuse']",,29,7,8,,,0,,,0,0,0,0,"116,540",
cyclonedx-python,My website,https://github.com/devsetgo/dsg,[],[],MIT license,0,2,0,,,0,,,0,0,0,6,58,JavaScript
cyclonedx-python,,https://github.com/GuruPoo/poetry2nix,[],[],MIT license,0,1,0,,,0,,,0,0,1,1,1,Nix
cyclonedx-python,,https://github.com/aakropotkin/shard-test,[],[],,0,2,0,,,0,,,0,0,0,0,4,Nix
cyclonedx-python,Convert poetry projects to nix automagically [maintainer=@adisbladis],https://github.com/nix-community/poetry2nix,[],"['python', 'nix']",MIT license,567,8,290,75,2023.09.22.45780,0,,202,122,243,14,935,"2,358",Nix
cyclonedx-python,,https://github.com/brokad/nixpkgs,[],[],,0,1,0,,,0,,,0,0,0,0,"294,157",Nix
cyclonedx-python,,https://github.com/YadongQi/nixpkgs,[],[],,0,1,0,,,0,,,0,0,0,0,"306,160",Nix
cyclonedx-python,Tap for incubating Homebrew Formulae,https://github.com/davidlday/homebrew-incubating,[],[],BSD-2-Clause license,0,1,0,,,0,,,0,0,0,0,4,Ruby
cyclonedx-python,Experimental Homebrew support for ARM64 Linux.,https://github.com/gromgit/homebrew-core-aarch64_linux,[],[],,6,3,0,2375,rsnapshot,1,,5000+,0,0,0,0,"338,767",Ruby
