format,attribute,count
CycloneDX,stars,453000
CycloneDX,stars,318000
CycloneDX,stars,187000
CycloneDX,stars,158000
CycloneDX,stars,142000
CycloneDX,stars,132000
CycloneDX,stars,127000
CycloneDX,stars,122000
CycloneDX,stars,107000
CycloneDX,stars,103000
CycloneDX,stars,101000
CycloneDX,stars,87000
CycloneDX,stars,65000
CycloneDX,stars,63000
CycloneDX,stars,59000
CycloneDX,stars,53000
CycloneDX,stars,48000
CycloneDX,stars,47000
CycloneDX,stars,46000
CycloneDX,stars,43000
CycloneDX,stars,34000
CycloneDX,stars,34000
CycloneDX,stars,33000
CycloneDX,stars,27000
CycloneDX,stars,25000
CycloneDX,stars,23000
CycloneDX,stars,19000
CycloneDX,stars,15000
CycloneDX,stars,13000
CycloneDX,stars,12000
CycloneDX,stars,12000
CycloneDX,stars,12000
CycloneDX,stars,12000
CycloneDX,stars,12000
CycloneDX,stars,11000
CycloneDX,stars,3000
CycloneDX,stars,2000
CycloneDX,stars,2000
CycloneDX,stars,1000
CycloneDX,stars,892
CycloneDX,stars,890
CycloneDX,stars,889
CycloneDX,stars,873
CycloneDX,stars,841
CycloneDX,stars,835
CycloneDX,stars,822
CycloneDX,stars,794
CycloneDX,stars,741
CycloneDX,stars,695
CycloneDX,stars,661
CycloneDX,stars,609
CycloneDX,stars,567
CycloneDX,stars,534
CycloneDX,stars,525
CycloneDX,stars,500
CycloneDX,stars,482
CycloneDX,stars,479
CycloneDX,stars,474
CycloneDX,stars,454
CycloneDX,stars,454
CycloneDX,stars,430
CycloneDX,stars,425
CycloneDX,stars,366
CycloneDX,stars,366
CycloneDX,stars,354
CycloneDX,stars,333
CycloneDX,stars,303
CycloneDX,stars,276
CycloneDX,stars,274
CycloneDX,stars,272
CycloneDX,stars,267
CycloneDX,stars,258
CycloneDX,stars,252
CycloneDX,stars,238
CycloneDX,stars,229
CycloneDX,stars,229
CycloneDX,stars,222
CycloneDX,stars,221
CycloneDX,stars,216
CycloneDX,stars,216
CycloneDX,stars,210
CycloneDX,stars,205
CycloneDX,stars,191
CycloneDX,stars,179
CycloneDX,stars,179
