format,attribute,count
SPDX,stars,459000
SPDX,stars,336000
SPDX,stars,234000
SPDX,stars,165000
SPDX,stars,164000
SPDX,stars,142000
SPDX,stars,135000
SPDX,stars,112000
SPDX,stars,73000
SPDX,stars,72000
SPDX,stars,71000
SPDX,stars,48000
SPDX,stars,37000
SPDX,stars,34000
SPDX,stars,33000
SPDX,stars,26000
SPDX,stars,24000
SPDX,stars,22000
SPDX,stars,21000
SPDX,stars,18000
SPDX,stars,17000
SPDX,stars,16000
SPDX,stars,6000
SPDX,stars,867
SPDX,stars,677
SPDX,stars,571
SPDX,stars,535
SPDX,stars,474
SPDX,stars,435
SPDX,stars,420
SPDX,stars,413
SPDX,stars,393
SPDX,stars,373
SPDX,stars,326
SPDX,stars,295
SPDX,stars,270
SPDX,stars,257
SPDX,stars,230
SPDX,stars,141
SPDX,stars,140
SPDX,stars,133
SPDX,stars,131
SPDX,stars,128
SPDX,stars,125
SPDX,stars,121
SPDX,stars,110
SPDX,stars,103
SPDX,stars,102
SPDX,stars,100
SPDX,stars,92
SPDX,stars,91
SPDX,stars,87
SPDX,stars,87
SPDX,stars,81
SPDX,stars,81
SPDX,stars,79
SPDX,stars,69
SPDX,stars,66
SPDX,stars,66
SPDX,stars,58
SPDX,stars,57
SPDX,stars,52
SPDX,stars,49
SPDX,stars,48
SPDX,stars,47
SPDX,stars,47
SPDX,stars,47
SPDX,stars,46
SPDX,stars,43
SPDX,stars,37
SPDX,stars,37
SPDX,stars,36
SPDX,stars,35
SPDX,stars,32
SPDX,stars,31
SPDX,stars,31
SPDX,stars,30
SPDX,stars,26
SPDX,stars,25
SPDX,stars,25
SPDX,stars,25
SPDX,stars,24
SPDX,stars,24
SPDX,stars,24
SPDX,stars,24
SPDX,stars,21
SPDX,stars,20
SPDX,stars,18
SPDX,stars,17
SPDX,stars,17
SPDX,stars,17
SPDX,stars,15
SPDX,stars,15
SPDX,stars,15
SPDX,stars,14
SPDX,stars,13
SPDX,stars,13
SPDX,stars,13
SPDX,stars,13
SPDX,stars,11
SPDX,stars,11
SPDX,stars,11
SPDX,stars,10
SPDX,stars,10
SPDX,stars,10
SPDX,stars,9
SPDX,stars,9
SPDX,stars,8
SPDX,stars,8
SPDX,stars,8
SPDX,stars,8
SPDX,stars,7
SPDX,stars,7
SPDX,stars,7
SPDX,stars,7
SPDX,stars,7
SPDX,stars,6
SPDX,stars,6
SPDX,stars,6
SPDX,stars,5
SPDX,stars,5
SPDX,stars,5
SPDX,stars,5
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,4
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,3
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,2
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,1
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,stars,0
SPDX,watchers,15000
SPDX,watchers,691
SPDX,watchers,977
SPDX,watchers,310
SPDX,watchers,194
SPDX,watchers,192
SPDX,watchers,202
SPDX,watchers,698
SPDX,watchers,97
SPDX,watchers,259
SPDX,watchers,115
SPDX,watchers,124
SPDX,watchers,131
SPDX,watchers,87
SPDX,watchers,58
SPDX,watchers,44
SPDX,watchers,50
SPDX,watchers,35
SPDX,watchers,35
SPDX,watchers,69
SPDX,watchers,86
SPDX,watchers,38
SPDX,watchers,128
SPDX,watchers,31
SPDX,watchers,59
SPDX,watchers,14
SPDX,watchers,35
SPDX,watchers,14
SPDX,watchers,12
SPDX,watchers,62
SPDX,watchers,32
SPDX,watchers,8
SPDX,watchers,5
SPDX,watchers,20
SPDX,watchers,2
SPDX,watchers,9
SPDX,watchers,10
SPDX,watchers,12
SPDX,watchers,13
SPDX,watchers,23
SPDX,watchers,0
