tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
cyclonedx-maven-plugin,Macaron is a supply chain security analysis tool from Oracle Labs that checks conformance to SLSA framework.,https://github.com/oracle/macaron,[],"['sbom', 'slsa', 'supply-chain-security']",,87,7,13,6,v0.5.0,2.0,3,11,81,65,17,314,271,Python,CycloneDX
cyclonedx-maven-plugin,"Eze, the security tool orchestrator",https://github.com/RiverSafeUK/eze-cli,[],[],,16,4,3,2,v1.1.0,0.0,,10,11,39,2,123,361,Python,CycloneDX
cyclonedx-maven-plugin,License Compliance Verifier and Compatibility Matrix,https://github.com/endocode/LCV-CM,[],[],MIT license,0,3,0,,,0.0,,,0,1,0,0,208,Python,CycloneDX
cyclonedx-maven-plugin,Maven plugin that integrates with a Dependency Track server to submit dependency manifests and optionally fail execution when vulnerable dependencies are found.,https://github.com/pmckeown/dependency-track-maven-plugin,[],"['java', 'owasp', 'maven-plugin', 'pom', 'component-analysis', 'maven-lifecycle', 'devsecops', 'software-composition-analysis', 'security-software', 'dependency-track', 'bom-upload']",Apache-2.0 license,47,2,17,,,0.0,,13,7,54,5,325,216,Java,CycloneDX
cyclonedx-maven-plugin,,https://github.com/endocode/LCV-CM-Java,[],[],,0,3,0,,,0.0,,,0,0,0,0,9,Java,CycloneDX
cyclonedx-maven-plugin,,https://github.com/project-ncl/sbomer,[],[],,2,5,7,,,0.0,,7,1,221,1,221,729,Java,CycloneDX
cyclonedx-maven-plugin,Experimental Data about Java SBOMs https://arxiv.org/pdf/2303.11102.pdf,https://github.com/chains-project/SBOM-2023,[],[],MIT license,4,5,1,,,,,3,2,1,0,4,3,Jupyter,CycloneDX
cyclonedx-maven-plugin,Long term storage of software bills of materials (sbom) https://arxiv.org/pdf/2303.11102.pdf,https://github.com/chains-project/sbom-files,[],[],,4,3,0,,,0.0,,4,1,3,2,4,715,Python,CycloneDX
cyclonedx-maven-plugin,Tribuo - A Java machine learning library,https://github.com/oracle/tribuo,[],"['java', 'nlp', 'machine-learning', 'deep-learning', 'clustering', 'ml', 'regression', 'classification']",,12000,54,167,10,Tribuo v4.3.1,,,17,25,79,4,241,277,Java,CycloneDX
cyclonedx-maven-plugin,Public website,https://github.com/CycloneDX/cyclonedx.org,[],"['owasp', 'cyclonedx']",,6,11,58,,,0.0,,47,13,7,1,223,916,HTML,CycloneDX
cyclonedx-maven-plugin,,https://github.com/oca-org/tribuo-test,[],[],,0,1,0,,,0.0,,2,0,0,0,0,268,Java,CycloneDX
cyclonedx-maven-plugin,SDK for Java for the Oracle NoSQL Database,https://github.com/oracle/nosql-java-sdk,[],"['java', 'cloud', 'database', 'nosql', 'oracle', 'nosql-database', 'oracle-cloud']",,19,11,21,17,5.4.13,0.0,,11,1,4,1,80,229,Java,CycloneDX
cyclonedx-maven-plugin,Oracle Cloud Infrastructure SDK for Java,https://github.com/oracle/oci-java-sdk,[],"['sdk', 'oracle-cloud']",,179,54,153,286,3.25.1,0.0,19,25,25,169,5,347,595,Java,CycloneDX
cyclonedx-maven-plugin,Creates CycloneDX Software Bill-of-Materials (SBOM) for your projects from source and container images. Supports many languages and package managers. Integrate in your CI//CD pipeline with automatic submission to Dependency Track server. Slack: https://cyclonedx.slack.com/archives/C04NFFE1962,https://github.com/CycloneDX/cdxgen,[],"['docker', 'containers', 'supply-chain', 'owasp', 'bom', 'oci', 'sca', 'software-bill-of-materials', 'purl', 'package-url', 'sbom', 'cyclonedx', 'saasbom', 'mlbom']",Apache-2.0 license,303,9,90,238,Release v9.8.4,4.0,10,21,127,214,1,206,953,JavaScript,CycloneDX
cyclonedx-maven-plugin,The Sonatype Platform Browser Extension,https://github.com/sonatype-nexus-community/sonatype-platform-browser-extension,[],"['chrome-extension', 'sonatype', 'sonatype-lifecycle']",Apache-2.0 license,2,10,1,24,v2.11.0,,,6,8,40,1,45,214,TypeScript,CycloneDX
cyclonedx-maven-plugin,,https://github.com/sonatype-nexus-community/search-maven-org,[],[],,479,36,165,,,0.0,,22,40,92,19,27,215,TypeScript,CycloneDX
cyclonedx-maven-plugin,,https://github.com/ArjunDandagi/search-maven-org,[],[],,0,3,0,,,0.0,,20,0,0,0,0,214,TypeScript,CycloneDX
cyclonedx-maven-plugin,"Boost security in your dev lifecycle via SAST, SCA, Secrets & IaC scanning.",https://github.com/cycodehq-public/cycode-cli,[],"['security', 'code', 'secrets', 'secure', 'sca', 'sast', 'cycode']",,87,22,39,14,Release - 1.2.0,,,14,0,0,2,161,159,Python,CycloneDX
cyclonedx-maven-plugin,integration tools and docs,https://github.com/ShiftLeftSecurity/field-integrations,[],"['workflow', 'integration', 'pipeline', 'scripts', 'ci-cd', 'sso']",MIT license,4,20,6,,,0.0,,16,0,1,0,47,286,Python,CycloneDX
cyclonedx-maven-plugin,"Sauron, the all seeing eye! It is a service to generate automated reports and track migrations, changes and dependency versions for backend services also report on known CVE and security issues.",https://github.com/freenowtech/sauron,[],[],Apache-2.0 license,22,5,0,22,sauron-service-1.0.41,1.0,,7,2,8,13,133,552,Java,CycloneDX
cyclonedx-maven-plugin,Mixeway Scanner is Spring Boot application which aggregate integration with number of OpenSource Vulnerability scanners - both SAST and DAST types,https://github.com/Mixeway/MixewayScanner,[],"['java', 'spring-boot', 'rest-api', 'vulnerability-detection', 'vulnerability-scanners', 'secutiry']",MIT license,19,3,2,,,0.0,,,0,1,0,6,73,Java,CycloneDX
cyclonedx-maven-plugin,An easy-to-use tool to generate SBOM (software bill of materials) and upload them to Dependency-Track SCA.,https://github.com/fluorumlabs/dtrack-maven-plugin,[],[],Apache-2.0 license,0,2,2,3,1.1.2,0.0,,2,0,0,8,90,39,Java,CycloneDX
cyclonedx-maven-plugin,,https://github.com/ruromero/crda-java-cli,[],[],,0,1,0,,,0.0,,,0,0,0,0,2,HTML,CycloneDX
cyclonedx-maven-plugin,,https://github.com/carlosthe19916/sbomhub,[],[],,0,1,0,,,0.0,,,0,0,0,0,9,HTML,CycloneDX
cyclonedx-maven-plugin,,https://github.com/xkcd-2347/chicken-coop,[],[],Apache-2.0 license,0,5,0,,,0.0,,2,0,0,0,0,67,Rust,CycloneDX
cyclonedx-maven-plugin,,https://github.com/seedwing-io/seedwing-enforcer,[],[],Apache-2.0 license,0,1,1,,,0.0,,2,2,2,0,4,122,Rust,CycloneDX
cyclonedx-maven-plugin,Lockfiles for Maven. Pin your dependencies. Build with integrity.,https://github.com/chains-project/maven-lockfile,[],[],,10,3,3,49,Release v5.0.0,1.0,,8,5,24,1,410,581,Java,CycloneDX
cyclonedx-maven-plugin,Aggregates each months Sling Releases and release notes,https://github.com/klcodanr/apache-release-info,[],[],MIT license,0,2,0,,,0.0,,2,0,0,0,0,778,JavaScript,CycloneDX
cyclonedx-maven-plugin,,https://github.com/hboutemy/mcmm-yaml,[],[],,13,4,11,,,0.0,,,1,0,0,0,"2,281",,CycloneDX
cyclonedx-maven-plugin,Java Stacked Crypto,https://github.com/kkretsch/JaStaCry,[],"['java', 'security', 'encryption', 'encrypted', 'encryption-algorithms', 'stacks']",,0,2,0,2,0.7.5,0.0,,,0,0,0,0,"1,330",Java,CycloneDX
cyclonedx-maven-plugin,Sign and attest images,https://github.com/nais/salsa-action,[],"['supply', 'supply-chain-management', 'slsa']",,0,1,0,,,0.0,,5,0,0,0,1,77,Python,CycloneDX
cyclonedx-maven-plugin,,https://github.com/duosecurity/duo_client_java,[],[],View license,22,35,42,5,Version 0.6.0,0.0,19,27,2,7,0,66,165,Java,CycloneDX
cyclonedx-maven-plugin,Java Maven Application Template with Github Action Gitops,https://github.com/cloudopsworks/java-app-template,[],[],,0,1,1,,,0.0,,,0,0,0,0,116,Makefile,CycloneDX
