format,attribute,language
SPDX,programmingLanguage,Kotlin
SPDX,programmingLanguage,TypeScript
SPDX,programmingLanguage,Ruby
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Starlark
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Jupyter
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,C
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,C++
SPDX,programmingLanguage,PowerShell
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,HTML
SPDX,programmingLanguage,C
SPDX,programmingLanguage,C++
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,Makefile
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Batchfile
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Rust
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,C++
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Nix
SPDX,programmingLanguage,C#
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,C#
SPDX,programmingLanguage,TypeScript
SPDX,programmingLanguage,HTML
SPDX,programmingLanguage,Lua
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,HTML
SPDX,programmingLanguage,TypeScript
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Rust
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,Python
SPDX,programmingLanguage,TypeScript
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,Shell
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Java
SPDX,programmingLanguage,JavaScript
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
SPDX,programmingLanguage,Go
