tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
cyclonedx-gomod,In-depth attack surface mapping and asset discovery,https://github.com/owasp-amass/amass,[],"['go', 'dns', 'golang', 'osint', 'owasp', 'subdomain', 'enumeration', 'recon', 'maltego', 'network-security', 'information-gathering', 'osint-reconnaissance', 'attack-surfaces']",View license,101000,209,18000,17.0,v4.2.0,,,71,128,462,20,359,"2,143",Go,CycloneDX
cyclonedx-node-npm,OWASP Juice Shop: Probably the most modern and sophisticated insecure web application,https://github.com/juice-shop/juice-shop,[],"['javascript', 'security', 'hacking', 'owasp', 'application-security', 'pentesting', 'ctf', 'vulnerable', 'appsec', 'hacktoberfest', 'owasp-top-10', 'owasp-top-ten', '24pullrequests', 'vulnapp']",MIT license,87000,151,78000,202.0,v15.2.0,,,110,9,761,0,1318,"19,304",TypeScript,CycloneDX
cyclonedx-go,A vulnerability scanner for container images and filesystems,https://github.com/anchore/grype,[],"['go', 'docker', 'golang', 'security', 'tool', 'containers', 'static-analysis', 'oci', 'vulnerability', 'vulnerabilities', 'hacktoberfest', 'container-image', 'cyclonedx']",Apache-2.0 license,65000,70,445,107.0,v0.69.0,1.0,48,71,209,439,11,844,"1,036",Go,CycloneDX
cyclonedx-cli,Build and deploy Go applications,https://github.com/ko-build/ko,[],"['go', 'docker', 'kubernetes', 'golang', 'containers', 'deploy', 'container']",Apache-2.0 license,63000,44,382,28.0,v0.14.1,1.0,307,78,50,298,17,787,776,Go,CycloneDX
cyclonedx-python-lib,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew.",https://github.com/bridgecrewio/checkov,[],"['kubernetes', 'aws', 'devops', 'cloudformation', 'azure', 'terraform', 'static-analysis', 'gcp', 'infrastructure-as-code', 'scans', 'compliance', 'hacktoberfest', 'aws-security', 'devsecops', 'azure-security', 'policy-as-code', 'gcp-security', 'kubernetes-security', 'bicep', 'terraform-security']",Apache-2.0 license,59000,58,956,1742.0,2.4.48,2.0,358,322,111,1375,33,4065,"14,980",Python,CycloneDX
cyclonedx-go,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,https://github.com/google/osv-scanner,[],"['security-audit', 'scanner', 'security-tools', 'vulnerability-scanner']",Apache-2.0 license,53000,59,283,13.0,v1.4.0,1.0,56,42,61,92,9,381,337,Go,CycloneDX
cyclonedx-dotnet,"This is a list of projects which have curated tasks specifically for new contributors. These issues are a great way to get started with a project, or to help share the load of working on open source projects. Jump in!",https://github.com/up-for-grabs/up-for-grabs.net,[],"['javascript', 'ruby', 'help-wanted', 'up-for-grabs', 'hacktoberfest', 'good-first-issue']",View license,48000,162,21000,,,,,1043,36,185,8,3890,"5,079",JavaScript,CycloneDX
cyclonedx-cli,CLI tool and library for generating a Software Bill of Materials from container images and filesystems,https://github.com/anchore/syft,[],"['go', 'docker', 'golang', 'tool', 'containers', 'static-analysis', 'oci', 'spdx', 'hacktoberfest', 'sbom', 'cyclonedx']",Apache-2.0 license,47000,57,435,151.0,v0.91.0,1.0,,120,256,573,21,1311,"1,625",Go,CycloneDX
sbom-cli,Snyk CLI scans and monitors your projects for security vulnerabilities.,https://github.com/snyk/cli,[],"['security', 'monitor', 'vulnerabilities', 'snyk']",View license,46000,165,578,1667.0,v1.1227.0,,268000,219,101,442,86,4215,"6,437",TypeScript,CycloneDX
build-info-go,Enterprise-Grade Continuous Delivery & DevOps Automation Open Source Platform,https://github.com/ovh/cds,[],"['golang', 'devops', 'automation', 'continuous-integration', 'continuous-delivery', 'continuous-deployment', 'hacktoberfest', 'devops-workflow']",BSD-3-Clause license,43000,93,405,58.0,0.53.0,,24,91,136,1016,4,5441,"5,331",Go,CycloneDX
cyclonedx-node-npm,Redis management tool written in node.js,https://github.com/joeferner/redis-commander,[],[],MIT license,34000,67,450,,,1.0,335,88,36,273,6,226,"1,038",JavaScript,CycloneDX
swift-package-sbom,Google Cloud Client Libraries for Go.,https://github.com/googleapis/google-cloud-go,[],"['go', 'golang', 'google-cloud', 'cloud-storage', 'cloud-pubsub', 'cloud-bigquery', 'cloud-datastore']",Apache-2.0 license,34000,256,12000,2148.0,serviceusage: v1.8.0,0.0,784000,329,197,3821,62,4475,"7,219",Go,CycloneDX
cyclonedx-gomod,"Real-time monitoring of IT components and services, such as networks, servers, VMs, applications and the cloud.",https://github.com/zabbix/zabbix,[],"['monitoring', 'metrics', 'alerting', 'zabbix', 'network-monitoring', 'application-monitoring']",,33000,125,881,,,0.0,,26,68,42,68,42,"83,819",PHP,CycloneDX
cyclonedx-go,Write tests against structured configuration data using the Open Policy Agent Rego query language,https://github.com/open-policy-agent/conftest,[],"['testing', 'kubernetes', 'open-policy-agent', 'openpolicyagent', 'rego']",View license,27000,27,283,68.0,v0.45.0,0.0,18,92,28,279,4,560,922,Go,CycloneDX
build-info-go,A collection of JSON schema files including full API,https://github.com/SchemaStore/schemastore,[],['hacktoberfest'],Apache-2.0 license,25000,34,14000,,,0.0,,1183,51,400,12,2789,"3,072",JavaScript,CycloneDX
cyclonedx-go,Main repository for Datadog Agent,https://github.com/DataDog/datadog-agent,[],"['go', 'monitoring', 'metrics', 'logging', 'datadog', 'tracing', 'profiling', 'observability', 'distributed-tracing', 'otel', 'apm-agent', 'apm-instrumentation', 'open-telemetry']",Apache-2.0 license,23000,488,11000,162.0,7.47.1,0.0,36,457,545,790,456,17783,"15,033",Go,CycloneDX
cyclonedx-cli,Dependency-Track is an intelligent Component Analysis platform that allows organizations to identify and reduce risk in the software supply chain.,https://github.com/DependencyTrack/dependency-track,[],"['security', 'owasp', 'bom', 'vulnerabilities', 'vulndb', 'appsec', 'component-analysis', 'nvd', 'vulnerability-detection', 'sca', 'software-security', 'security-automation', 'devsecops', 'software-composition-analysis', 'bill-of-materials', 'ossindex', 'purl', 'package-url', 'sbom', 'cyclonedx']",,19000,69,454,47.0,4.8.2,,,92,584,961,18,959,"3,992",Java,CycloneDX
sbom-cli,"🦙 MegaLinter analyzes 50 languages, 22 formats, 21 tooling formats, excessive copy-pastes, spelling mistakes and security issues in your repository sources with a GitHub Action, other CI tools or locally.",https://github.com/oxsecurity/megalinter,[],"['kotlin', 'python', 'java', 'markdown', 'golang', 'jenkins', 'groovy', 'security', 'formatter', 'terraform', 'best-practices', 'linter', 'gitlab-ci', 'apex', 'autofix', 'code-quality', 'linters', 'azure-pipelines', 'sarif-report', 'megalinter']",AGPL-3.0 license,15000,14,192,137.0,MegaLinter v7.4.0,129.0,722,98,48,641,12,2237,"2,575",Dockerfile,CycloneDX
pip-audit,A suite of tools to automate software compliance checks.,https://github.com/oss-review-toolkit/ort,[],"['package-manager', 'open-source-licensing', 'dependency-graph', 'compliance', 'dependencies', 'license', 'spdx', 'copyright', 'hacktoberfest', 'license-management', 'sca', 'license-checking', 'license-scan', 'package-scan', 'copyright-scan', 'ospo', 'oss-compliance', 'sbom', 'cyclonedx', 'sbom-generator']",Apache-2.0 license,13000,42,260,3.0,1.1.0,2.0,,74,287,800,40,6420,"13,942",Kotlin,CycloneDX
cyclonedx-maven-plugin,Tribuo - A Java machine learning library,https://github.com/oracle/tribuo,[],"['java', 'nlp', 'machine-learning', 'deep-learning', 'clustering', 'ml', 'regression', 'classification']",,12000,54,167,10.0,Tribuo v4.3.1,,,17,25,79,4,241,277,Java,CycloneDX
cyclonedx-python,OCR powered screen-capture tool to capture information instead of images,https://github.com/dynobo/normcap,[],"['python', 'screenshot', 'ocr', 'tool', 'multiplatform', 'tesserocr']",View license,12000,15,58,43.0,v0.4.4,,,6,32,147,1,307,"1,399",Python,CycloneDX
cyclonedx-gomod,Active Directory ACL Visualizer and Explorer - who's really Domain Admin? (Commerical versions available from NetSection),https://github.com/lkarlslund/Adalanche,[],"['ldap', 'active-directory', 'acl', 'activedirectory', 'graph-theory', 'infosec', 'blueteam', 'reconnaissance', 'ad-audit', 'acl-audit', 'ldap-audit']",,12000,21,119,16.0,v2023.5.3,,,,0,21,0,4,484,Go,CycloneDX
ko-build/ko,📦 The default bucket for Scoop.,https://github.com/ScoopInstaller/Main,[],"['scoop', 'scoop-apps', 'scoop-bucket']",Unlicense license,12000,33,800,,,,,678,36,2426,13,2581,"43,522",PowerShell,CycloneDX
build-info-go,Auto configurations for Language Server for vim-lsp,https://github.com/mattn/vim-lsp-settings,[],"['vim', 'language-server']",MIT license,12000,19,210,1.0,v0.0.1,0.0,,154,70,130,9,490,"1,237",Vim,CycloneDX
cyclonedx-gomod,KubeClarity is a tool for detection and management of Software Bill Of Materials (SBOM) and vulnerabilities of container images and filesystems,https://github.com/openclarity/kubeclarity,[],"['kubernetes', 'security', 'scanner', 'supply-chain', 'vulnerabilities', 'sbom', 'kubernetes-security', 'effortless-integrations']",Apache-2.0 license,11000,28,134,61.0,kubeclarity-v2.21.0-helm,5.0,,29,17,99,4,389,322,Go,CycloneDX
cyclonedx-python-lib,DefectDojo is a DevSecOps and vulnerability management platform.,https://github.com/DefectDojo/django-DefectDojo,[],"['python', 'kubernetes', 'security', 'automation', 'django', 'analytics', 'owasp', 'vulnerability-databases', 'appsec', 'vulnerability-management', 'hacktoberfest', 'security-orchestration', 'security-automation', 'devsecops', 'vulnerability-correlation']",,3000,209,14000,135.0,2.26.4 🌈,,,366,330,2099,41,6124,"9,071",HTML,CycloneDX
ko-build/ko,🌻 Flexible and fast ZSH plugin manager,https://github.com/zdharma-continuum/zinit,[],"['shell', 'zsh', 'plugin-manager', 'zsh-plugin', 'zsh-configuration', 'z-shell', 'zinit']",MIT license,2000,18,120,5.0,v3.12.0,1.0,,58,60,134,22,309,"3,814",Shell,CycloneDX
cyclonedx-cli,EMBA - The firmware security analyzer,https://github.com/e-m-b-a/emba,[],"['linux', 'shell', 'iot', 'security', 'firmware', 'reverse-engineering', 'hacking', 'artificial-intelligence', 'embedded-systems', 'penetration-testing', 'infosec', 'pentesting', 'static-analyzer', 'binary-analysis', 'vulnerability-scanners', 'embedded-linux', 'security-tools', 'firmware-tools', 'vulnerability-scanner', 'firmware-analysis']",GPL-3.0 license,2000,40,186,14.0,EMBA v1.3.0 - AI-Assisted Firmware Analysis,,,11,18,165,0,597,"3,573",Shell,CycloneDX
cyclonedx-python-lib,GUAC aggregates software security metadata into a high fidelity graph database.,https://github.com/guacsec/guac,[],[],Apache-2.0 license,1000,44,126,5.0,v0.1.2,1.0,1,44,102,208,15,994,962,Go,CycloneDX
pip-audit,"Tern is a software composition analysis tool and Python library that generates a Software Bill of Materials for container images and Dockerfiles. The SBOM that Tern generates will give you a layer-by-layer view of what's inside your container in a variety of formats including human-readable, JSON, HTML, SPDX and more.",https://github.com/tern-tools/tern,[],"['python', 'docker', 'open-source', 'tool', 'containers', 'compliance', 'dependencies', 'spdx', 'metadata-extraction', 'risk-management', 'software-composition-analysis', 'oss-compliance', 'sbom', 'supply-chain-security']",,892,30,187,23.0,Release 2.12.1,0.0,,65,49,473,2,707,"1,101",Python,CycloneDX
cyclonedx-go,OpenSCA is a Software Composition Analysis (SCA) solution that supports detection of open source component dependencies and vulnerabilities.,https://github.com/XmirrorSecurity/OpenSCA-cli,[],"['security', 'sca', 'devsecops', 'opensca']",Apache-2.0 license,890,152,284,13.0,v1.0.13,,,6,7,22,0,48,307,Go,CycloneDX
cyclonedx-node-npm,Medplum is a healthcare platform that helps you quickly develop high-quality compliant applications.,https://github.com/medplum/medplum,[],"['react', 'graphql', 'typescript', 'healthcare', 'fhir', 'ehr', 'hipaa', 'electronic-health-record', 'fhir-server', 'soc2']",,889,14,152,99.0,Version 2.1.1,0.0,,49,167,539,12,2168,"2,351",TypeScript,CycloneDX
cyclonedx-python-lib,FreeBSD ports tree (read-only mirror),https://github.com/freebsd/freebsd-ports,[],[],,873,116,671,,,0.0,,718,20,158,20,158,"634,762",,CycloneDX
ko-build/ko,Build OCI images from APK packages directly without Dockerfile,https://github.com/chainguard-dev/apko,[],"['docker', 'containers', 'oci']",Apache-2.0 license,841,11,71,,,2.0,10,34,65,135,8,691,"1,678",Go,CycloneDX
cyclonedx-python-lib,Audits Python environments and dependency trees for known vulnerabilities,https://github.com/pypa/pip-audit,[],"['python', 'security', 'security-audit', 'supply-chain', 'pip']",Apache-2.0 license,835,23,59,53.0,v2.6.1,,,25,50,200,3,426,525,Python,CycloneDX
cyclonedx-gradle-plugin,🚀 Release projects quickly and easily with JReleaser,https://github.com/jreleaser/jreleaser,[],"['java', 'rust', 'cli', 'elixir', 'csharp', 'gradle', 'tool', 'maven', 'ant', 'ci-cd', 'release', 'hacktoberfest']",Apache-2.0 license,822,14,96,28.0,Release v1.8.0,,5,64,69,927,5,227,"2,136",Java,CycloneDX
cyclonedx-gomod,"Apache Camel K is a lightweight integration platform, born on Kubernetes, with serverless superpowers",https://github.com/apache/camel-k,[],"['kubernetes', 'integration', 'serverless', 'openshift', 'camel', 'operator', 'knative']",Apache-2.0 license,794,58,321,79.0,v2.0.1,0.0,20,107,160,1710,3,2892,"5,920",Go,CycloneDX
cyclonedx-maven-plugin,Jenkins shared library for Continuous Delivery pipelines.,https://github.com/SAP/jenkins-library,[],"['cli', 'golang', 'open-source', 'jenkins', 'ci-cd']",Apache-2.0 license,741,40,569,328.0,v1.311.0,,3,182,20,917,34,3624,"4,652",Go,CycloneDX
cyclonedx-go,Kubernetes-native security toolkit,https://github.com/aquasecurity/trivy-operator,[],"['kubernetes', 'golang', 'security', 'operator', 'cloud-native', 'vulnerability-detection', 'vulnerability-scanners', 'security-tools', 'misconfiguration', 'octoberfest']",Apache-2.0 license,695,8,135,88.0,v0.16.1,1.0,7,74,60,386,2,985,925,Go,CycloneDX
gh-dotnet-generate-sbom,An open-source tool for auditing your software supply chain stack for security compliance based on a new CIS Software Supply Chain benchmark.,https://github.com/aquasecurity/chain-bench,[],"['go', 'golang', 'security', 'cis', 'software-supply-chain', 'vulnera', 'security-tools', 'devsecops', 'misconfiguration', 'open-policy-agent', 'software-supply-chain-security']",Apache-2.0 license,661,11,58,11.0,v0.1.7,,,15,16,27,0,60,60,Go,CycloneDX
ko-build/ko,Catalog of shared Tasks and Pipelines.,https://github.com/tektoncd/catalog,[],"['task', 'catalog', 'pipeline', 'k8s', 'hacktoberfest', 're-useable', 'tekton']",Apache-2.0 license,609,18,542,,,0.0,1,180,20,261,13,891,"1,058",Shell,CycloneDX
cyclonedx-python,Convert poetry projects to nix automagically [maintainer=@adisbladis],https://github.com/nix-community/poetry2nix,[],"['python', 'nix']",MIT license,567,8,290,75.0,2023.09.22.45780,0.0,,202,122,243,14,935,"2,358",Nix,CycloneDX
ko-build/ko,Shipwright - a framework for building container images on Kubernetes,https://github.com/shipwright-io/build,[],['hacktoberfest'],Apache-2.0 license,534,15,92,14.0,Shipwright Build release v0.11.0,16.0,22,39,117,318,9,940,"1,746",Go,CycloneDX
cyclonedx-python,"Lightweight web API for visualizing and exploring all types of datasets - computer vision, speech, text, and tabular - stored on the Hugging Face Hub",https://github.com/huggingface/datasets-server,[],"['nlp', 'data', 'machine-learning', 'api-rest', 'datasets', 'huggingface']",Apache-2.0 license,525,36,43,125.0,0.21.0,,,21,94,638,6,1124,"1,432",Python,CycloneDX
ko-build/ko,Main package repository for production Wolfi images,https://github.com/wolfi-dev/os,[],['wolfi'],View license,500,10,93,,,0.0,,64,64,462,58,5347,"10,865",Shell,CycloneDX
build-info-go,JFrog CLI is a client that provides a simple interface that automates access to the JFrog products.,https://github.com/jfrog/jfrog-cli,[],[],Apache-2.0 license,482,63,199,235.0,2.48.0,0.0,6,61,429,465,18,1296,"2,285",Go,CycloneDX
cyclonedx-maven-plugin,,https://github.com/sonatype-nexus-community/search-maven-org,[],[],,479,36,165,,,0.0,,22,40,92,19,27,215,TypeScript,CycloneDX
cyclonedx-maven-plugin,"Vaadin platform 10+ is a Java web development platform based on Vaadin web components. If you don't know to which repository your bug report should be filed, use this and we'll move it to the right one.",https://github.com/vaadin/platform,[],"['javascript', 'java', 'flow', 'vaadin', 'vaadin-platform']",,474,55,75,656.0,Vaadin 24.1.10,0.0,79000,50,75,414,1,3854,"1,681",Java,CycloneDX
gh-sbom,Production-ready detection & response queries for osquery,https://github.com/chainguard-dev/osquery-defense-kit,[],"['security', 'threat-hunting', 'osquery', 'defense']",,454,10,27,19.0,v1.11.0,0.0,,3,0,6,0,315,"1,030",Makefile,CycloneDX
ko-build/ko,Release infrastructure for Kubernetes and related components,https://github.com/kubernetes/release,[],"['kubernetes', 'release-infrastructure']",Apache-2.0 license,454,87,508,23.0,v0.15.1,0.0,,175,71,552,7,2654,"5,706",Go,CycloneDX
cyclonedx-python-lib,FreeBSD ports tree with pfSense changes,https://github.com/pfsense/FreeBSD-ports,[],"['freebsd', 'pfsense']",,430,69,538,,,0.0,,671,31,1266,31,1266,"1,236,322",,CycloneDX
ko-build/ko,Making local Kubernetes clusters fun and easy to set up,https://github.com/tilt-dev/ctlptl,[],[],Apache-2.0 license,425,8,33,54.0,v0.8.22,0.0,4,22,10,65,1,238,271,Go,CycloneDX
cyclonedx-gomod,"kawipiko -- blazingly fast static HTTP server -- focused on low latency and high concurrency, by leveraging Go, `fasthttp` and the CDB embedded database",https://github.com/volution/kawipiko,[],"['go', 'golang', 'http', 'web-server', 'http2', 'static-site', 'http-server', 'quic', 'quic-server', 'fasthttp', 'static-server', 'http3', 'cdb', 'http2-server', 'http3-server']",,366,7,9,,,,,,2,3,0,1,396,Go,CycloneDX
cyclonedx-python,A web news aggregator.,https://github.com/cedricbonhomme/newspipe,[],"['rss', 'news-aggregator', 'news-reader']",,366,14,40,15.0,Release 9.5.0,,,6,0,12,0,12,"3,124",Python,CycloneDX
cyclonedx-go,Scans Software Bill of Materials (SBOMs) for security vulnerabilities,https://github.com/devops-kung-fu/bomber,[],"['golang', 'security', 'oss', 'supply-chain', 'spdx', 'vulnerability-scanners', 'security-automation', 'security-tools', 'devsecops', 'supplychain', 'syft', 'sbom', 'gomodule', 'cyclonedx']",MPL-2.0 license,354,5,28,15.0,v0.4.4,,,11,14,63,7,89,60,Go,CycloneDX
cyclonedx-python,Oracle Cloud Infrastructure SDK for Python,https://github.com/oracle/oci-python-sdk,[],[],,333,33,277,262.0,2.112.2,0.0,16000,29,29,229,7,313,594,Python,CycloneDX
cyclonedx-maven-plugin,Creates CycloneDX Software Bill-of-Materials (SBOM) for your projects from source and container images. Supports many languages and package managers. Integrate in your CI//CD pipeline with automatic submission to Dependency Track server. Slack: https://cyclonedx.slack.com/archives/C04NFFE1962,https://github.com/CycloneDX/cdxgen,[],"['docker', 'containers', 'supply-chain', 'owasp', 'bom', 'oci', 'sca', 'software-bill-of-materials', 'purl', 'package-url', 'sbom', 'cyclonedx', 'saasbom', 'mlbom']",Apache-2.0 license,303,9,90,238.0,Release v9.8.4,4.0,10,21,127,214,1,206,953,JavaScript,CycloneDX
cyclonedx-go,A programming language exclusively designed for cybersecurity,https://github.com/yaklang/yaklang,[],"['go', 'security', 'dsl', 'cybersecurity', 'security-tools']",,276,8,31,43.0,Release v1.2.6-sp9,0.0,2,15,1,8,11,477,"1,906",Go,CycloneDX
cyclonedx-python-lib,"Automatic conversion of the NetBSD pkgsrc CVS module, use with care",https://github.com/NetBSD/pkgsrc,[],[],,274,28,151,,,0.0,,41,6,30,2,84,"386,027",,CycloneDX
cyclonedx-node-module,"CycloneDX is a full-stack Bill of Materials (BOM) standard that provides advanced supply chain capabilities for cyber risk reduction. SBOM, SaaSBOM, HBOM, ML-BOM, OBOM, MBOM, VDR, and VEX",https://github.com/CycloneDX/specification,[],"['machine-learning', 'supply-chain', 'owasp', 'specification', 'standard', 'bom', 'software', 'vex', 'license', 'spdx', 'cpe', 'software-security', 'swid', 'bill-of-materials', 'software-bill-of-materials', 'sbom', 'cyclonedx', 'obom', 'mbom', 'saasbom']",Apache-2.0 license,272,26,47,4.0,1.5,,,11,69,126,8,97,627,XSLT,CycloneDX
cyclonedx-gradle-plugin,Self service Jenkins job generation using Jenkins Job DSL plugin groovy scripts. Reads .jervis.yml and generates a job in Jenkins.,https://github.com/samrocketman/jervis,[],"['github', 'jenkins', 'groovy', 'automation', 'travis-ci', 'job-dsl', 'hacktoberfest', 'jenkins-pipeline-library']",Apache-2.0 license,267,23,45,11.0,jervis-2.0,,,,22,126,0,15,"1,760",Groovy,CycloneDX
cyclonedx-editor-validator,Play with AgoraSDK and have fun! Everything you need to start learning Agora.,https://github.com/AgoraIO/API-Examples,[],[],,258,45,210,25.0,4.2.2,0.0,,18,73,33,2,249,"1,263",C++,CycloneDX
ko-build/ko,Open source analysis tools,https://github.com/X-lab2017/open-digger,[],"['github', 'data-analysis', 'hacktoberfest', 'openrank']",Apache-2.0 license,252,19,76,2.0,Labeled_data_release_v0.0.2,,,39,20,488,2,872,775,Jupyter,CycloneDX
build-info-go,🐸 Scans your Git repository with JFrog Xray for security vulnerabilities. 🤖,https://github.com/jfrog/frogbot,[],"['python', 'go', 'bot', 'npm', 'gradle', 'maven', 'vulnerability', 'action', 'artifactory', 'jfrog', 'jfrog-xray', 'github-actions']",Apache-2.0 license,238,30,47,73.0,v2.15.1,,,18,37,45,2,432,483,Go,CycloneDX
cyclonedx-gomod,A feature flag daemon with a Unix philosophy,https://github.com/open-feature/flagd,[],"['go', 'golang', 'openfeature']",Apache-2.0 license,229,14,36,72.0,core: v0.6.6,3.0,,25,35,202,15,678,713,Go,CycloneDX
build-info-go,All go clients for JFrog products,https://github.com/jfrog/jfrog-client-go,[],[],Apache-2.0 license,229,16,121,164.0,v1.32.3,0.0,,69,61,33,9,729,"1,374",Go,CycloneDX
build-info-go,Json language extension for coc.nvim,https://github.com/neoclide/coc-json,[],"['vim', 'json', 'neovim', 'coc']",,222,8,20,,,0.0,23000,13,1,51,0,21,123,TypeScript,CycloneDX
cyclonedx-webpack-plugin,Silk Linked Data Integration Framework,https://github.com/silk-framework/silk,[],[],View license,221,30,63,13.0,Release v3.6.0,0.0,,31,38,60,19,597,"14,797",Scala,CycloneDX
cyclonedx-python,Concrete-Numpy: A library to turn programs into their homomorphic equivalent.,https://github.com/zama-ai/concrete-numpy,[],"['python', 'data-science', 'privacy', 'numpy', 'homomorphic-encryption', 'fhe', 'tfhe']",View license,216,3,21,15.0,v0.11.1,0.0,,13,4,10,5,103,"1,106",Python,CycloneDX
cyclonedx-go,"A scanner for end-of-life (EOL) software in container images, filesystems, and SBOMs",https://github.com/xeol-io/xeol,[],"['go', 'security', 'static-analysis', 'compliance', 'eol', 'outdated-packages', 'end-of-life', 'sbom', 'release-schedule', 'release-policy']",Apache-2.0 license,216,4,9,36.0,v0.9.0,0.0,,7,8,13,2,160,168,Go,CycloneDX
cyclonedx-go,"Chainloop is an open source software supply chain control plane, a single source of truth for artifacts plus a declarative attestation crafting process.",https://github.com/chainloop-dev/chainloop,[],"['security', 'open-source-licensing', 'compliance', 'license', 'spdx', 'attestation', 'devsecops', 'ospo', 'oss-compliance', 'sbom', 'in-toto', 'cyclonedx', 'slsa', 'supply-chain-security', 'sbom-distribution', 'slsa-provenance', 'metadata-platform', 'sbom-discovery', 'regulated-industry']",,210,5,10,22.0,v0.18.0,4.0,,11,57,66,1,236,223,Go,CycloneDX
cyclonedx-dotnet-library,"CycloneDX CLI tool for SBOM analysis, merging, diffs and format conversions.",https://github.com/CycloneDX/cyclonedx-cli,[],"['owasp', 'bom', 'vex', 'spdx', 'hacktoberfest', 'bill-of-materials', 'software-bill-of-materials', 'purl', 'package-url', 'sbom', 'cyclonedx', 'sbom-generator', 'obom', 'mbom', 'saasbom']",Apache-2.0 license,205,9,51,44.0,0.25.0,,,11,79,48,21,196,392,C#,CycloneDX
cyclonedx-go,KBOM - Kubernetes Bill of Materials,https://github.com/ksoclabs/kbom,[],[],Apache-2.0 license,191,7,11,9.0,v0.2.2,0.0,,7,2,1,4,78,147,Go,CycloneDX
