tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
cyclonedx-php-composer,The repository for high quality TypeScript type definitions.,https://github.com/DefinitelyTyped/DefinitelyTyped,[],"['definition', 'typescript', 'types', 'typescript-definitions', 'dts', 'typings', 'hacktoberfest']",View license,453000,663,295000,,,,216m,5000+,703,7221,207,56365,"84,804",TypeScript,CycloneDX
swift-package-sbom,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,[],"['python', 'workflow', 'airflow', 'scheduler', 'apache', 'hacktoberfest', 'apache-airflow']",Apache-2.0 license,318000,764,129000,70.0,Apache Airflow 2.7.1,86.0,75000,2619,712,7306,169,22884,"21,547",Python,CycloneDX
cyclonedx-go,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",https://github.com/aquasecurity/trivy,[],"['go', 'docker', 'kubernetes', 'golang', 'security', 'containers', 'iac', 'vulnerability', 'infrastructure-as-code', 'vulnerability-detection', 'hacktoberfest', 'vulnerability-scanners', 'security-tools', 'devsecops', 'misconfiguration']",Apache-2.0 license,187000,163,19000,126.0,v0.45.1,1.0,1,333,157,2055,27,2184,"2,364",Go,CycloneDX
build-info-go,IntelliJ IDEA Community Edition & IntelliJ Platform,https://github.com/JetBrains/intellij-community,[],"['intellij', 'ide', 'code-editor', 'intellij-platform', 'intellij-community']",,158000,527,5000,,,0.0,35,954,241,2253,241,2253,"419,210",,CycloneDX
ko-build/ko,Easy and Repeatable Kubernetes Development,https://github.com/GoogleContainerTools/skaffold,[],"['docker', 'kubernetes', 'containers', 'developer-tools']",Apache-2.0 license,142000,192,16000,170.0,v2.7.1 Release,8.0,18,401,676,3293,14,5102,"8,787",Go,CycloneDX
cyclonedx-python-lib,Nix Packages collection & NixOS,https://github.com/NixOS/nixpkgs,[],"['linux', 'nix', 'nixos', 'nixpkgs', 'hacktoberfest']",,132000,270,106000,,,,,5000+,6973,25693,4589,219059,"529,360",Nix,CycloneDX
cyclonedx-gomod,🍻 Default formulae for the missing package manager for macOS (or Linux),https://github.com/Homebrew/homebrew-core,[],"['ruby', 'homebrew', 'formulae', 'tap', 'core', 'hacktoberfest']",,127000,299,118000,,,,,5000+,27,5199,93,140539,"406,640",Ruby,CycloneDX
voltone/rebar3_sbom,"The most scalable open-source MQTT broker for IoT, IIoT, and connected vehicles",https://github.com/emqx/emqx,[],"['mqtt', 'iot', 'coap', 'm2m', 'erlang', 'messaging', 'pubsub', 'message-queue', 'mqtt-broker', 'iot-middleware', 'broker', 'manufacturing', 'iiot', 'mqtt-server', 'lwm2m', 'lorawan', 'mqtt-protocol', 'aiot', 'emqx', 'industry-40']",View license,122000,397,21000,325.0,EMQX v5.2.1,,,113,202,3524,33,7331,"17,797",Erlang,CycloneDX
ko-build/ko,Automatically provision and manage TLS certificates in Kubernetes,https://github.com/cert-manager/cert-manager,[],"['letsencrypt', 'tls', 'kubernetes', 'certificate', 'hacktoberfest', 'crd']",Apache-2.0 license,107000,147,19000,170.0,v1.13.0,0.0,372,404,158,2942,50,3013,"8,047",Go,CycloneDX
cyclonedx-go,"Agent-less vulnerability scanner for Linux, FreeBSD, Container, WordPress, Programming language libraries, Network devices",https://github.com/future-architect/vuls,[],"['go', 'linux', 'golang', 'freebsd', 'security', 'security-audit', 'administrator', 'cybersecurity', 'security-vulnerability', 'vulnerabilities', 'security-hardening', 'vulnerability-detection', 'vulnerability-management', 'vulnerability-scanners', 'security-scanner', 'vulnerability-assessment', 'vuls', 'security-automation', 'security-tools', 'vulnerability-scanner']",GPL-3.0 license,103000,329,11000,98.0,v0.24.1,0.0,11,119,62,492,20,1174,"1,377",Go,CycloneDX
