tool_used,link,creation_date,,stars,watchers,forks,releases,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
cyclonedx-gomod,https://github.com/apache/camel-k,2018-08-31T08:38:42Z,,165000,310,24000,250,645,913,7319,187,19797,25670,SPDX
cyclonedx-maven-plugin,https://github.com/apache/commons-parent,2017-08-29T07:00:08Z,,17,3,3,3859,,3,6,0,0,24999,CycloneDX
bom,https://github.com/apache/solr-site,2021-02-20T11:54:24Z,,2,2,0,,535,0,0,10,14,24635,SPDX
swift-package-sbom,https://github.com/appknox/irene,2014-11-04T06:26:08Z,,0,1,0,,,0,0,0,0,23197,SPDX
cyclonedx-cli,https://github.com/aquaproj/aqua-registry,2021-09-02T03:49:29Z,,0,1,0,,475,0,0,12,13,22855,SPDX
gh-dotnet-generate-sbom,https://github.com/aquasecurity/chain-bench,2022-05-12T09:08:00Z,,0,2,0,,469,0,0,11,13,22614,SPDX
cyclonedx-go,https://github.com/aquasecurity/trivy,2019-04-11T01:01:07Z,,2,5,5,,439,0,0,11,13,21747,SPDX
cyclonedx-go,https://github.com/aquasecurity/trivy-operator,2022-05-08T06:31:32Z,,318000,764,129000,70,2619,712,7306,169,22884,21547,CycloneDX
pip-audit,https://github.com/aquasecurity/trivy-plugin-referrer,2023-03-26T09:04:33Z,,87000,151,78000,202,110,9,761,0,1318,19304,CycloneDX
bom,https://github.com/argoproj/argo-cd,2018-02-09T11:12:01Z,,1,2,1,,,0,0,0,0,18657,SPDX
bom,https://github.com/argoproj/argo-events,2018-05-17T15:06:49Z,,63,1,55,395,49,29,543,59,15105,18212,CycloneDX
bom,https://github.com/argoproj/argo-rollouts,2018-11-17T18:28:39Z,,535,35,76,112,35,15,3317,15,3317,18188,SPDX
bom,https://github.com/argoproj/argo-workflows,2017-08-21T18:50:44Z,,122000,397,21000,325,113,202,3524,33,7331,17797,CycloneDX
ort,https://github.com/aws-containers/retail-store-sample-app,2022-10-04T16:30:46Z,,23000,488,11000,162,457,545,790,456,17783,15033,CycloneDX
cyclonedx-python,https://github.com/aws-samples/cdk-fargate-gitlab-runner,2021-10-22T12:24:42Z,,59000,58,956,1742,322,111,1375,33,4065,14980,CycloneDX
bom,https://github.com/axenox/PackageManager,2015-11-08T12:24:02Z,,221,30,63,13,31,38,60,19,597,14797,CycloneDX
sbom-tool,https://github.com/Azure/azure-functions-dapr-extension,2020-04-02T21:13:42Z,,13000,42,260,3,74,287,800,40,6420,13942,CycloneDX
tools-golang,https://github.com/Azure/obom,2023-07-14T19:06:54Z,,112000,698,51000,,1247,89,1573,38,5773,12700,SPDX
spdx-maven-plugin,https://github.com/BabelZilla/WTS,2014-06-11T21:02:38Z,,27,3,2,3,63,0,0,0,23,11676,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-beslab,2023-08-08T05:53:57Z,,500,10,93,,64,64,462,58,5347,10865,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-sbomGenerator,2022-09-08T15:52:46Z,,18000,69,504,68,314,861,1412,18,1167,10739,SPDX
sbom-tool,https://github.com/Be-Secure/BeS-dev-kit,2023-03-14T08:42:46Z,,43,3,1,1,2,15,17,1,1,10426,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/besecure-ce-env-repo,2021-03-17T06:53:45Z,,336000,691,47000,157,524,992,9161,41,3736,10350,SPDX
spdx-sbomgenerator,https://github.com/Be-Secure/BeSLab,2023-05-04T07:12:45Z,,413,32,157,104,82,52,65,16,3334,9917,SPDX
cyclonedx-python,https://github.com/benji6/moodtracker,2020-04-07T07:22:55Z,,677,59,358,41,108,356,916,28,1230,9499,SPDX
bom,https://github.com/bespoke-silicon-group/bsg_motherboards,2020-06-19T23:18:56Z,,3000,209,14000,135,366,330,2099,41,6124,9071,CycloneDX
cyclonedx-python,https://github.com/bmwiedemann/openSUSE,2019-09-11T14:31:22Z,,142000,192,16000,170,401,676,3293,14,5102,8787,CycloneDX
cyclonedx-go,https://github.com/bom-squad/protobom,2023-06-04T20:11:52Z,,12,6,17,,134,2,0,2,0,8335,CycloneDX
protobom,https://github.com/bom-squad/sbom-convert,2023-07-06T21:27:27Z,,48000,124,1000,184,282,67,1209,50,5985,8333,SPDX
cyclonedx-python-lib,https://github.com/bridgecrewio/checkov,2019-11-27T08:55:14Z,,107000,147,19000,170,404,158,2942,50,3013,8047,CycloneDX
ko-build/ko,https://github.com/buildkite/agent-stack-k8s,2022-09-30T15:29:28Z,,13,4,4,350,4,3,996,15,6401,7388,CycloneDX
cyclonedx-go,https://github.com/buildpacks/libcnb,2020-02-25T20:02:59Z,,34000,256,12000,2148,329,197,3821,62,4475,7219,CycloneDX
cyclonedx-go,https://github.com/carbonetes/diggity,2023-01-06T13:55:57Z,,26,3,12,,52,15,16,0,11,6617,SPDX
cyclonedx-go,https://github.com/carbonetes/jacked,2023-01-06T13:56:49Z,,46000,165,578,1667,219,101,442,86,4215,6437,CycloneDX
cyclonedx-python,https://github.com/carstencodes/pdm-bump,2021-09-11T19:27:18Z,,32,9,25,54,35,105,1362,19,3573,6353,SPDX
cyclonedx-python,https://github.com/cedricbonhomme/freshermeat,2017-10-01T21:07:36Z,,794,58,321,79,107,160,1710,3,2892,5920,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/newspipe,2013-12-02T20:24:52Z,,142000,192,42000,323,1113,2612,4061,375,7055,5887,SPDX
cyclonedx-python,https://github.com/cedricbonhomme/pyEnigma,2017-03-15T09:05:15Z,,2,5,2,,259,0,0,3,21,5808,SPDX
ko-build/ko,https://github.com/cert-manager/cert-manager,2017-05-24T16:25:59Z,,71000,115,1000,98,198,637,1020,87,2465,5784,SPDX
bom,https://github.com/CERTCC/SBOM,2020-06-01T17:08:22Z,,454,87,508,23,175,71,552,7,2654,5706,CycloneDX
tools-java,https://github.com/chainguard-dev/actions,2022-02-21T17:03:15Z,,43000,93,405,58,91,136,1016,4,5441,5331,CycloneDX
ko-build/ko,https://github.com/chainguard-dev/apko,2022-02-08T17:04:37Z,,48000,162,21000,,1043,36,185,8,3890,5079,CycloneDX
cyclonedx-gomod,https://github.com/chainguard-dev/bom-shelter,2022-02-15T20:01:14Z,,16,12,10,90,21,5,334,20,907,5077,CycloneDX
bom,https://github.com/chainguard-dev/melange,2022-03-07T19:53:27Z,,2,6,1,,235,1,0,7,7,4879,SPDX
gh-sbom,https://github.com/chainguard-dev/osquery-defense-kit,2022-08-31T18:33:46Z,,135000,202,29000,267,770,851,4504,46,5488,4724,SPDX
cyclonedx-go,https://github.com/chainloop-dev/chainloop,2023-03-06T14:30:50Z,,741,40,569,328,182,20,917,34,3624,4652,CycloneDX
spdx-sbomgenerator,https://github.com/chamilad/kibana-prometheus-exporter,2020-03-08T08:38:38Z,,19000,69,454,47,92,584,961,18,959,3992,CycloneDX
bom,https://github.com/chaos-mesh/chaos-mesh,2019-09-04T02:29:38Z,,68,3,28,,22,17,41,1,70,3850,CycloneDX
bom,https://github.com/chintal/tendril,2015-07-28T20:38:43Z,,2000,18,120,5,58,60,134,22,309,3814,CycloneDX
tools-java,https://github.com/chris-toenjes-deye/salus-spdx-to-osv,2022-08-10T12:58:33Z,,2000,40,186,14,11,18,165,0,597,3573,CycloneDX
cyclonedx-python,https://github.com/ciaranmccormick/python-bods-client,2021-02-20T20:19:06Z,,48,2,25,71,21,72,135,9,1839,3482,SPDX
bom,https://github.com/cilium/cilium,2015-12-16T12:33:31Z,,173,11,39,114,19,364,1207,11,960,3477,CycloneDX
bom,https://github.com/cilium/proxy,2018-10-29T23:24:15Z,,47,10,50,,30,26,114,1,503,3333,SPDX
bom,https://github.com/cilium/tetragon,2022-03-23T10:25:36Z,,131,13,65,109,51,8,265,5,1805,3296,SPDX
ko-build/ko,https://github.com/cncf/clomonitor,2022-01-14T17:06:04Z,,366,14,40,15,6,0,12,0,12,3124,CycloneDX
ko-build/ko,https://github.com/cncf/devstats,2023-03-30T07:49:21Z,,97,451,43,161,92,43,63,9,954,3114,CycloneDX
ko-build/ko,https://github.com/cncf/tag-contributor-strategy,2020-02-28T18:59:56Z,,25000,34,14000,,1183,51,400,12,2789,3072,CycloneDX
ko-build/ko,https://github.com/cncf/velocity,2017-04-26T14:07:13Z,,144,53,152,,72,154,83,6,515,2930,CycloneDX
ko-build/ko,https://github.com/codepraxis-io/docker-deep-dive,2022-08-25T21:05:50Z,,30,29,32,,26,60,236,0,581,2813,SPDX
sbom-tool,https://github.com/cognitedata/opcua-extractor-net,2019-07-01T12:47:26Z,,373,5,55,41,29,52,534,13,1765,2649,SPDX
build-info-go,https://github.com/conan-io/conan-extensions,2023-02-24T14:51:01Z,,15000,14,192,137,98,48,641,12,2237,2575,CycloneDX
bom,https://github.com/containerbuildsystem/atomic-reactor,2014-10-21T14:45:11Z,,96,9,31,,7,0,3,0,1051,2403,CycloneDX
cyclonedx-editor-validator,https://github.com/coshx/caravel,2015-05-28T19:20:24Z,,187000,163,19000,126,333,157,2055,27,2184,2364,CycloneDX
bom,https://github.com/cpanato/kubepug-installer,2021-11-05T15:40:33Z,,567,8,290,75,202,122,243,14,935,2358,CycloneDX
bom,https://github.com/cri-o/cri-o,2016-09-09T19:56:31Z,,889,14,152,99,49,167,539,12,2168,2351,CycloneDX
bom,https://github.com/cuiyeshuai/cilium,2023-05-11T14:47:15Z,,58,6,34,6,41,26,263,17,440,2288,CycloneDX
cyclonedx-php-composer,https://github.com/CycloneDX/bom-examples,2020-07-31T19:03:34Z,,482,63,199,235,61,429,465,18,1296,2285,CycloneDX
cyclonedx-maven-plugin,https://github.com/CycloneDX/cdxgen,2019-12-30T13:55:18Z,,13,4,11,,,1,0,0,0,2281,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-bom-repo-server,2021-05-27T10:57:35Z,,3,9,14,23,14,3,412,3,412,2259,SPDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-cli,2020-10-22T11:25:26Z,,2,4,7,8,16,0,73,0,73,2237,SPDX
bom,https://github.com/CycloneDX/cyclonedx-core-java,2018-05-30T22:50:46Z,,29,30,46,182,56,20,9,17,926,2198,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-dotnet,2018-10-02T21:58:30Z,,101000,209,18000,17,71,128,462,20,359,2143,CycloneDX
cyclonedx-gomod,https://github.com/CycloneDX/cyclonedx-go,2021-03-02T11:20:02Z,,822,14,96,28,64,69,927,5,227,2136,CycloneDX
cyclonedx-cli,https://github.com/CycloneDX/cyclonedx-gomod,2021-03-07T19:21:22Z,,26000,44,241,10,59,131,157,72,1149,2022,SPDX
bom,https://github.com/CycloneDX/cyclonedx-linux-generator,2021-05-20T15:48:46Z,,4,1,2,43,6,7,29,4,1453,1980,SPDX
cyclonedx-node-npm,https://github.com/CycloneDX/cyclonedx-node-module,2017-06-04T04:34:48Z,,571,14,85,12,35,21,194,3,1676,1948,SPDX
cyclonedx-python-lib,https://github.com/CycloneDX/cyclonedx-python,2018-11-15T05:53:33Z,,276,8,31,43,15,1,8,11,477,1906,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-web-tool,2021-05-21T12:46:14Z,,10,27,23,,69,2,92,2,92,1890,SPDX
cyclonedx-gomod,https://github.com/CycloneDX/license-scanner,2023-01-13T02:43:33Z,,103,27,87,25,45,345,732,18,939,1831,SPDX
cyclonedx-node-npm,https://github.com/CycloneDX/sbom-utility,2023-01-10T04:00:14Z,,267,23,45,11,,22,126,0,15,1760,CycloneDX
cyclonedx-node-module,https://github.com/CycloneDX/specification,2017-05-29T02:22:06Z,,40,34,34,,37,1,19,4,1147,1759,CycloneDX
cyclonedx-maven-plugin,https://github.com/cycodehq-public/cycode-cli,2022-07-04T16:39:28Z,,534,15,92,14,39,117,318,9,940,1746,CycloneDX
cyclonedx-gomod,https://github.com/dadrus/heimdall,2022-04-12T08:54:37Z,,6000,128,748,68,178,338,1169,16,2485,1739,SPDX
bom,https://github.com/daemon1024/scratchpad-k8s-sig-resource,2021-12-04T05:52:10Z,,86,27,172,,157,16,66,14,513,1696,CycloneDX
ort,https://github.com/danf425/jhttp_isolated,2022-04-05T20:37:16Z,,474,55,75,656,50,75,414,1,3854,1681,CycloneDX
cyclonedx-go,https://github.com/DataDog/datadog-agent,2016-01-19T17:40:41Z,,841,11,71,,34,65,135,8,691,1678,CycloneDX
cyclonedx-php-composer,https://github.com/DataDog/datadog-ci,2019-06-26T15:15:17Z,,47000,57,435,151,120,256,573,21,1311,1625,CycloneDX
swift-package-sbom,https://github.com/davideshay/vulnscan,2021-12-28T01:35:56Z,,30,6,1,,2,18,0,0,0,1621,CycloneDX
cyclonedx-python-lib,https://github.com/DefectDojo/django-DefectDojo,2015-02-19T17:53:47Z,,24,32,27,,26,1,304,1,304,1616,CycloneDX
ort,https://github.com/DefectDojo/sample-scan-files,2018-03-13T14:21:34Z,,66,31,52,9,45,89,270,17,652,1609,CycloneDX
cyclonedx-php-composer,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,,164000,194,977,,123,70,451,2,872,1574,SPDX
tools-golang,https://github.com/deislabs/ratify,2021-08-13T16:17:52Z,,38,5,15,1,29,57,155,2,335,1570,CycloneDX
cyclonedx-cli,https://github.com/DependencyTrack/dependency-track,2013-07-16T19:16:43Z,,20,3,1,10,6,2,123,17,279,1541,CycloneDX
cyclonedx-node-npm,https://github.com/DependencyTrack/frontend,2019-10-23T19:50:03Z,,270,9,53,,38,58,64,19,578,1502,SPDX
cyclonedx-go,https://github.com/DependencyTrack/hyades,2022-09-30T08:44:20Z,,72,5,4,18,7,33,164,5,734,1489,CycloneDX
cyclonedx-cli,https://github.com/devcontainers-contrib/features,2022-10-15T09:45:18Z,,867,31,270,29,95,54,283,12,770,1463,SPDX
ort,https://github.com/devonfw/solicitor,2019-08-25T11:05:22Z,,13,4,10,,26,0,3,0,3,1462,SPDX
cyclonedx-go,https://github.com/devops-kung-fu/bomber,2022-07-08T15:05:44Z,,21000,35,684,64,250,112,855,5,1680,1452,SPDX
cyclonedx-gomod,https://github.com/devops-kung-fu/hookz,2021-03-03T18:59:10Z,,22000,35,684,61,218,272,752,45,1741,1447,SPDX
cyclonedx-gomod,https://github.com/devops-kung-fu/lucha,2021-06-01T16:10:49Z,,525,36,43,125,21,94,638,6,1124,1432,CycloneDX
bom,https://github.com/dhercher/beam-old,2020-10-09T01:14:56Z,,25,6,8,,7,0,9,0,53,1417,SPDX
ort,https://github.com/diegopereiraeng/payments-validation,2022-11-25T13:49:49Z,,38,6,6,,3,1,2,0,258,1401,CycloneDX
sbom-tool,https://github.com/digitaltwinconsortium/DTDLParser,2022-08-06T14:39:37Z,,12000,15,58,43,6,32,147,1,307,1399,CycloneDX
bom,https://github.com/dims/k8s-code.appspot.com,2018-04-10T13:18:34Z,,103000,329,11000,98,119,62,492,20,1174,1377,CycloneDX
ort,https://github.com/dmitmel/dotfiles,2018-01-13T11:10:25Z,,229,16,121,164,69,61,33,9,729,1374,CycloneDX
tools-golang,https://github.com/docker/go-imageinspect,2022-07-28T03:02:28Z,,24,2,2,,4,3,225,1,258,1350,CycloneDX
sbom-cli-plugin,https://github.com/docker/packaging,2022-08-29T08:36:14Z,,393,8,37,,20,24,90,26,774,1346,SPDX
bom,https://github.com/dokc/operator-feature-matrix,2023-01-27T00:07:35Z,,63,11,103,15,39,98,90,41,371,1338,CycloneDX
ort,https://github.com/DoktorLenz/anmelde-tool,2023-03-10T15:42:08Z,,35,11,11,32,18,18,13,6,169,1314,CycloneDX
cyclonedx-dotnet,https://github.com/DotPurpleApp/DotPurple-App,2020-05-12T12:58:39Z,,17,11,7,6,9,11,20,5,67,1274,CycloneDX
sbom-tool,https://github.com/dpvreony/net-repo-template,2022-12-03T10:57:53Z,,17,7,5,1396,14,27,39,22,1317,1271,SPDX
sbom-tool,https://github.com/dpvreony/whipstaff,2017-09-19T20:05:12Z,,258,45,210,25,18,73,33,2,249,1263,CycloneDX
sbom-tool,https://github.com/ds2/docker-templates,2019-02-28T13:14:28Z,,27,6,5,5,18,43,113,0,670,1237,CycloneDX
cyclonedx-python,https://github.com/duo-labs/narrow,2022-12-13T13:53:51Z,,12000,19,210,1,154,70,130,9,490,1237,CycloneDX
cyclonedx-maven-plugin,https://github.com/duosecurity/duo_client_java,2012-12-12T20:36:14Z,,74,11,5,18,4,2,29,1,14,1224,CycloneDX
cyclonedx-cli,https://github.com/duosecurity/duo_client_python,2012-11-27T15:49:33Z,,31,1,1,,11,58,123,2,365,1219,SPDX
cyclonedx-cli,https://github.com/duosecurity/duo_universal_python,2020-10-16T00:45:23Z,,58,5,170,,11,16,7,23,9,1216,SPDX
ko-build/ko,https://github.com/duzyn/scoop-cn,2020-06-20T01:59:09Z,,4,10,4,54,10,0,1,2,861,1211,SPDX
cyclonedx-python,https://github.com/dynobo/normcap,2019-08-14T18:07:03Z,,0,0,0,,11,0,0,0,0,1206,SPDX
cyclonedx-cli,https://github.com/e-m-b-a/emba,2020-08-25T07:59:12Z,,295,2,49,,4,28,72,1,8,1202,SPDX
tools-golang,https://github.com/earthly/buildkit,2023-04-20T19:09:48Z,,52,14,59,4,29,43,186,14,251,1170,SPDX
cyclonedx-go,https://github.com/eBay/sbom-scorecard,2022-11-03T22:58:57Z,,14,9,19,,14,25,111,2,444,1138,CycloneDX
sbom-tool,https://github.com/echapmanFromBunnings/medium-sbom,2022-08-13T21:50:08Z,,52,3,0,61,,60,110,1,155,1132,CycloneDX
ort,https://github.com/eclipse-leda/leda,2022-06-07T13:13:35Z,,5,1,1,1,,0,0,1,5,1107,SPDX
cyclonedx-cli,https://github.com/eclipse-leda/leda-distro,2022-06-13T15:21:46Z,,216,3,21,15,13,4,10,5,103,1106,CycloneDX
ort,https://github.com/eclipse-leda/leda-utils,2022-06-13T15:22:48Z,,892,30,187,23,65,49,473,2,707,1101,CycloneDX
spdx-maven-plugin,https://github.com/eclipse-sw360/sw360,2018-04-16T15:54:19Z,,609,18,542,,180,20,261,13,891,1058,CycloneDX
tools-java,https://github.com/eclipse-sw360/sw360.website.published,2022-10-05T20:24:17Z,,34000,67,450,,88,36,273,6,226,1038,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-AdminAPI,2022-10-18T15:25:53Z,,65000,70,445,107,71,209,439,11,844,1036,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-API-Publisher,2021-03-02T19:42:00Z,,2,2,2,,2,0,17,0,4,1035,SPDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-Compatibility-Libraries,2022-12-08T22:05:30Z,,14,2,2,,,0,0,0,0,1032,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,2022-10-10T19:05:06Z,,454,10,27,19,3,0,6,0,315,1030,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,2020-05-05T17:37:29Z,,148,27,50,,7,2,13,0,14,1023,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,2021-12-07T20:39:20Z,,110,18,75,23,19,25,111,3,166,1015,SPDX
tools-golang,https://github.com/elastic/cloudbeat,2022-02-14T10:43:26Z,,66,7,7,,2,0,1,0,17,1005,SPDX
cyclonedx-gomod,https://github.com/elastic/harp,2020-11-25T10:11:02Z,,1000,44,126,5,44,102,208,15,994,962,CycloneDX
voltone/rebar3_sbom,https://github.com/emqx/emqx,2012-12-17T10:07:44Z,,303,9,90,238,21,127,214,1,206,953,CycloneDX
tools-python,https://github.com/emzeat/mz-cmaketools,2012-09-25T14:15:19Z,,57,6,47,,25,21,41,10,257,938,SPDX
sbom-tool,https://github.com/Enchoseon/2based2wait,2022-02-05T04:30:46Z,,695,8,135,88,74,60,386,2,985,925,CycloneDX
bom,https://github.com/ep-infosec/33_apache_beam,2022-12-11T01:16:12Z,,0,1,5,427,3,33,10,59,131,922,SPDX
bom,https://github.com/ep-infosec/36_linkedin_beam,2022-12-12T14:33:44Z,,27000,27,283,68,92,28,279,4,560,922,CycloneDX
bom,https://github.com/espv/beam-plus-wrapper,2020-06-05T09:31:48Z,,9,3,3,,19,0,0,74,53,909,SPDX
bom,https://github.com/evereux/pycatia,2018-11-25T20:04:31Z,,230,12,68,10,29,6,186,2,257,909,SPDX
bom,https://github.com/evhart/counsel,2023-03-16T21:40:46Z,,130,25,89,,34,68,77,10,370,906,CycloneDX
tools-golang,https://github.com/Exynos-AOSP-Master/android_build,2023-07-24T17:55:29Z,,83,10,60,46,36,8,192,2,1035,902,CycloneDX
cyclonedx-python,https://github.com/fla-sil/PyTorrent,2021-01-10T20:30:30Z,,125,8,12,36,11,6,108,1,439,896,SPDX
tools-java,https://github.com/fossology/fossology,2014-01-13T11:22:57Z,,257,10,33,9,28,8,54,0,286,891,SPDX
cyclonedx-python-lib,https://github.com/FraunhoferISST/diva,2021-06-30T11:14:23Z,,28,5,4,,,1,2,0,9,889,CycloneDX
ort,https://github.com/frazrepo/vimrc,2019-01-09T15:26:04Z,,140,23,38,19,9,6,101,2,45,879,SPDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports,2011-05-26T11:15:35Z,,132,11,69,34,31,61,85,28,588,857,CycloneDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports-kde,2017-05-21T10:48:44Z,,88,7,10,110,21,22,383,2,827,844,CycloneDX
cyclonedx-maven-plugin,https://github.com/freenowtech/sauron,2021-03-22T16:00:24Z,,34000,87,430,11,95,2,230,0,186,844,SPDX
cyclonedx-python,https://github.com/FrodeHus/ludvig,2022-12-28T20:10:54Z,,95,10,38,38,17,17,33,2,182,836,CycloneDX
tools-golang,https://github.com/fullsushidev/qmstr-1,2020-12-09T15:40:11Z,,24,5,10,,8,5,2,1,157,832,CycloneDX
cyclonedx-go,https://github.com/future-architect/vuls,2016-03-27T02:29:09Z,,100,10,44,14,28,24,51,2,193,827,SPDX
cyclonedx-maven-plugin,https://github.com/G3G4X5X6/ultimate-cube,2021-08-24T01:35:03Z,,45,76,76,,36,4,1631,4,1631,814,CycloneDX
cyclonedx-gomod,https://github.com/gatewayd-io/gatewayd,2022-07-14T18:54:38Z,,3,2,25,,7,0,0,0,687,812,SPDX
cyclonedx-python-lib,https://github.com/ghostbsd/ghostbsd-ports,2019-08-22T16:53:53Z,,63000,44,382,28,78,50,298,17,787,776,CycloneDX
bom,https://github.com/gitlabhq/gitlabhq,2011-10-02T16:25:27Z,,252,19,76,2,39,20,488,2,872,775,CycloneDX
tools-golang,https://github.com/gnoliyil/fuchsia,2022-01-08T16:09:33Z,,24,13,35,,35,3,34,1,138,770,SPDX
swift-package-sbom,https://github.com/gokrazy/tools,2017-03-04T10:41:14Z,,81,14,79,32,15,194,407,7,321,766,SPDX
sbom-tool,https://github.com/gon1942/git_command,2018-07-04T08:05:08Z,,102,22,41,,19,9,22,7,330,748,SPDX
sbom-tool,https://github.com/gon1942/how2github,2023-09-17T13:51:33Z,,15,3,2,9,3,0,19,0,19,746,CycloneDX
tools-java,https://github.com/goneall/spdx-model-to-java,2023-07-09T00:34:24Z,,128,2,10,6,9,43,157,17,596,744,SPDX
cyclonedx-go,https://github.com/google/osv-scanner,2022-11-14T01:05:20Z,,17000,86,418,32,11,47,241,2,22,725,SPDX
