tool_used,link,creation_date,,stars,watchers,forks,releases,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
bom,https://github.com/06kellyjac/nur-packages,2020-12-08T10:21:02Z,,430,69,538,,671,31,1266,31,1266,1236322,CycloneDX
bom,https://github.com/a0x8o/beam,2016-09-22T22:29:58Z,,28,5,11,,700,0,38,0,38,1199202,CycloneDX
bom,https://github.com/a0x8o/drill,2016-09-22T22:28:32Z,,873,116,671,,718,20,158,20,158,634762,CycloneDX
bom,https://github.com/a0x8o/druid,2019-07-17T00:27:22Z,,51,22,43,,657,1,85,1,85,634668,CycloneDX
bom,https://github.com/a0x8o/kafka,2016-09-22T22:28:02Z,,132000,270,106000,,5000,6973,25693,4589,219059,529360,CycloneDX
bom,https://github.com/a0x8o/presto,2018-03-19T19:30:26Z,,158000,527,5000,,954,241,2253,241,2253,419210,CycloneDX
sbom-tool,https://github.com/aasim/Sample2,2020-12-04T21:35:57Z,,127000,299,118000,,5000,27,5199,93,140539,406640,CycloneDX
cyclonedx-python,https://github.com/abilian/nua,2021-06-25T04:52:39Z,,274,28,151,,41,6,30,2,84,386027,CycloneDX
sbom-tool,https://github.com/actions-marketplace-validations/philips-software_post-to-medium-action,2023-03-07T04:13:55Z,,4,1,1,,557,0,0,1,0,145892,SPDX
sbom-tool,https://github.com/adriandiglio/Demo-for-Microsoft-SBOM-Tool,2019-09-12T20:40:10Z,,29,7,8,,,0,0,0,0,116540,CycloneDX
cyclonedx-editor-validator,https://github.com/AgoraIO/API-Examples,2020-04-21T07:46:07Z,,234000,977,58000,,1969,13,3609,13,3609,111285,SPDX
bom,https://github.com/aj-stein-nist/oscal-cat,2022-07-22T23:18:15Z,,73000,97,35000,,2361,774,2282,517,116934,105871,SPDX
cyclonedx-python,https://github.com/AlbanAndrieu/ansible-jenkins-slave,2014-09-19T19:26:41Z,,459000,15000,57000,210,607,165,4995,165,4995,104983,SPDX
bom,https://github.com/alexander-dev-hub/apache-beam,2019-09-11T11:31:07Z,,420,62,738,,513,0,13,0,13,85611,SPDX
ort,https://github.com/alexethier/utilities,2016-09-18T20:37:02Z,,0,0,0,,555,0,0,0,0,85435,SPDX
cyclonedx-python,https://github.com/algorand-devrel/beaker,2022-07-06T19:42:04Z,,0,0,0,,566,0,0,0,0,85319,SPDX
cyclonedx-python,https://github.com/algorand-devrel/beaker-auction,2022-09-15T00:22:12Z,,453000,663,295000,,5000,703,7221,207,56365,84804,CycloneDX
cyclonedx-python,https://github.com/algorand-devrel/bootcamp,2022-12-20T01:35:17Z,,33000,125,881,,26,68,42,68,42,83819,CycloneDX
cyclonedx-python,https://github.com/algorandfoundation/algokit-cli,2022-11-11T08:03:16Z,,70,7,15,,10,9,155,0,26,66959,CycloneDX
cyclonedx-python,https://github.com/algorandfoundation/algorun,2023-06-29T12:54:34Z,,37000,131,26000,,1227,139,4133,114,26305,55456,SPDX
tools-golang,https://github.com/anchore/go-logger,2022-02-07T18:13:22Z,,0,1,0,,1099,0,0,0,0,51783,SPDX
cyclonedx-go,https://github.com/anchore/grype,2020-05-26T13:44:38Z,,16000,38,12000,,941,390,5377,173,5907,49574,SPDX
tools-golang,https://github.com/anchore/grype-db,2020-07-13T18:15:41Z,,12000,33,800,,678,36,2426,13,2581,43522,CycloneDX
cyclonedx-cli,https://github.com/anchore/syft,2020-05-07T18:19:29Z,,72000,259,4000,33,1136,4131,1908,123,22474,40491,SPDX
sbom-tool,https://github.com/anderlli0053/AppArchive,2023-06-10T10:45:29Z,,7,6,7,,901,0,0,0,16,35634,SPDX
ko-build/ko,https://github.com/anderlli0053/DEV-tools,2022-06-28T08:20:49Z,,87,9,12,,2,2,6,0,5,35581,SPDX
tools-golang,https://github.com/AOSP-14-RMX2020/platform_build,2023-07-29T05:40:08Z,,1,1,0,,817,0,0,0,0,32994,SPDX
tools-golang,https://github.com/aosp-mirror/platform_build,2008-10-21T18:19:56Z,,0,1,0,,677,0,0,1,0,29100,SPDX
swift-package-sbom,https://github.com/apache/airflow,2015-04-13T18:04:58Z,,1,2,0,,2,0,0,4,18,26882,SPDX
bom,https://github.com/apache/beam,2016-02-02T08:00:06Z,,129,28,105,,8,4,115,0,47,26176,CycloneDX
